energy_ev,total_up,S_s_up,S_p_up,Si_p_up,Si_d_up,Y_p_up,Y_d_up
-6.00000000,3.33654198,0.02618738,0.11323217,0.01379806,0.00000000,3.72469772,1.40861245
-5.99399700,3.27498756,0.02600454,0.11140471,0.01311513,0.00000000,3.66624806,1.38604030
-5.98799400,3.20608710,0.02574762,0.10934678,0.01242453,0.00000000,3.59924542,1.35998695
-5.98199100,3.13038874,0.02542423,0.10706187,0.01172920,0.00000000,3.52430176,1.33066627
-5.97598799,3.04854416,0.02504248,0.10455830,0.01103226,0.00000000,3.44214288,1.29834423
-5.96998499,2.96128944,0.02461061,0.10184899,0.01033700,0.00000000,3.35358470,1.26333089
-5.96398199,2.86942147,0.02413663,0.09895103,0.00964692,0.00000000,3.25950515,1.22597016
-5.95797899,2.77377155,0.02362801,0.09588507,0.00896561,0.00000000,3.16081333,1.18662814
-5.95197599,2.67517786,0.02309139,0.09267445,0.00829673,0.00000000,3.05841825,1.14568077
-5.94597299,2.57445859,0.02253244,0.08934431,0.00764391,0.00000000,2.95319891,1.10350149
-5.93996998,2.47238750,0.02195566,0.08592068,0.00701063,0.00000000,2.84597780,1.06044980
-5.93396698,2.36967339,0.02136438,0.08242952,0.00640021,0.00000000,2.73749946,1.01686143
-5.92796398,2.26694458,0.02076075,0.07889598,0.00581563,0.00000000,2.62841514,0.97304053
-5.92196098,2.16473927,0.02014585,0.07534367,0.00525951,0.00000000,2.51927451,0.92925436
-5.91595798,2.06350191,0.01951981,0.07179427,0.00473402,0.00000000,2.41052443,0.88573067
-5.90995498,1.96358562,0.01888209,0.06826712,0.00424085,0.00000000,2.30251447,0.84265764
-5.90395198,1.86525992,0.01823161,0.06477922,0.00378115,0.00000000,2.19550845,0.80018624
-5.89794897,1.76872286,0.01756712,0.06134526,0.00335558,0.00000000,2.08970065,0.75843464
-5.89194597,1.67411640,0.01688737,0.05797783,0.00296426,0.00000000,1.98523530,0.71749413
-5.88594297,1.58154356,0.01619139,0.05468774,0.00260683,0.00000000,1.88222754,0.67743598
-5.87993997,1.49108602,0.01547872,0.05148447,0.00228250,0.00000000,1.78078436,0.63831863
-5.87393697,1.40282078,0.01474955,0.04837648,0.00199010,0.00000000,1.68102375,0.60019472
-5.86793397,1.31683465,0.01400485,0.04537170,0.00172812,0.00000000,1.58309086,0.56311720
-5.86193097,1.23323570,0.01324644,0.04247778,0.00149481,0.00000000,1.48717006,0.52714444
-5.85592796,1.15216100,0.01247699,0.03970239,0.00128824,0.00000000,1.39349217,0.49234370
-5.84992496,1.07378031,0.01169999,0.03705330,0.00110634,0.00000000,1.30233677,0.45879301
-5.84392196,0.99829570,0.01091963,0.03453847,0.00094702,0.00000000,1.21402941,0.42658146
-5.83791896,0.92593747,0.01014065,0.03216590,0.00080814,0.00000000,1.12893445,0.39580772
-5.83191596,0.85695688,0.00936823,0.02994349,0.00068764,0.00000000,1.04744408,0.36657741
-5.82591296,0.79161631,0.00860772,0.02787876,0.00058354,0.00000000,0.96996453,0.33899928
-5.81990995,0.73017793,0.00786453,0.02597852,0.00049393,0.00000000,0.89690056,0.31318068
-5.81390695,0.67289153,0.00714387,0.02424852,0.00041709,0.00000000,0.82863928,0.28922271
-5.80790395,0.61998253,0.00645060,0.02269313,0.00035141,0.00000000,0.76553441,0.26721536
-5.80190095,0.57164091,0.00578909,0.02131500,0.00029543,0.00000000,0.70789191,0.24723301
-5.79589795,0.52801167,0.00516306,0.02011478,0.00024785,0.00000000,0.65595771,0.22933055
-5.78989495,0.48918734,0.00457552,0.01909096,0.00020751,0.00000000,0.60990816,0.21354027
-5.78389195,0.45520293,0.00402872,0.01823972,0.00017340,0.00000000,0.56984352,0.19986984
-5.77788894,0.42603324,0.00352409,0.01755491,0.00014463,0.00000000,0.53578452,0.18830119
-5.77188594,0.40159271,0.00306228,0.01702811,0.00012042,0.00000000,0.50767210,0.17879050
-5.76588294,0.38173750,0.00264321,0.01664881,0.00010010,0.00000000,0.48536980,0.17126909
