energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,3.62792714,0.01179331,0.34322094,0.95826899,0.44328430,1.24937305,1.54762395,0.01832013,1.32883143
-5.99399700,3.71502564,0.01192368,0.36103838,0.97967053,0.44897158,1.28140630,1.59431216,0.01777821,1.34964462
-5.98799400,3.79843310,0.01202863,0.37936511,0.99901082,0.45417820,1.31158743,1.64007456,0.01719131,1.36803859
-5.98199100,3.87746412,0.01210993,0.39806183,1.01605981,0.45886402,1.33953829,1.68459492,0.01656334,1.38384256
-5.97598799,3.95159838,0.01217021,0.41698114,1.03065709,0.46301018,1.36493436,1.72762124,0.01589889,1.39697311
-5.96998499,4.02048271,0.01221279,0.43596906,1.04271394,0.46661820,1.38750989,1.76896672,0.01520317,1.40743325
-5.96398199,4.08392684,0.01224144,0.45486705,1.05221265,0.46970822,1.40706117,1.80850841,0.01448194,1.41530786
-5.95797899,4.14189313,0.01226017,0.47351420,1.05920297,0.47231645,1.42344780,1.84618363,0.01374138,1.42075562
-5.95197599,4.19448078,0.01227293,0.49174970,1.06379589,0.47449195,1.43659205,1.88198435,0.01298802,1.42399803
-5.94597299,4.24190532,0.01228341,0.50941547,1.06615522,0.47629292,1.44647610,1.91594982,0.01222852,1.42530586
-5.93996998,4.28447446,0.01229473,0.52635885,1.06648727,0.47778274,1.45313771,1.94815770,0.01146955,1.42498384
-5.93396698,4.32256164,0.01230932,0.54243520,1.06502928,0.47902590,1.45666421,1.97871425,0.01071763,1.42335435
-5.92796398,4.35657832,0.01232866,0.55751037,1.06203714,0.48008409,1.45718534,2.00774394,0.00997897,1.42074105
-5.92196098,4.38694674,0.01235322,0.57146278,1.05777317,0.48101274,1.45486522,2.03537891,0.00925929,1.41745313
-5.91595798,4.41407412,0.01238236,0.58418528,1.05249442,0.48185801,1.44989388,2.06174875,0.00856378,1.41377123
-5.90995498,4.43832965,0.01241438,0.59558639,1.04644222,0.48265456,1.44247863,2.08697114,0.00789691,1.40993548
-5.90395198,4.46002522,0.01244650,0.60559104,1.03983333,0.48342421,1.43283580,2.11114350,0.00726242,1.40613646
-5.89794897,4.47940066,0.01247507,0.61414086,1.03285315,0.48417534,1.42118300,2.13433612,0.00666329,1.40250921
-5.89194597,4.49661387,0.01249566,0.62119381,1.02565114,0.48490334,1.40773240,2.15658693,0.00610165,1.39913079
-5.88594297,4.51173626,0.01250333,0.62672339,1.01833862,0.48559176,1.39268500,2.17789816,0.00557893,1.39602105
-5.87993997,4.52475320,0.01249287,0.63071740,1.01098879,0.48621423,1.37622628,2.19823482,0.00509578,1.39314662
-5.87393697,4.53556937,0.01245901,0.63317641,1.00363886,0.48673696,1.35852315,2.21752512,0.00465222,1.39042766
-5.86793397,4.54401829,0.01239675,0.63411204,0.99629396,0.48712157,1.33972227,2.23566271,0.00424771,1.38774682
-5.86193097,4.54987541,0.01230156,0.63354521,0.98893249,0.48732813,1.31994973,2.25251053,0.00388121,1.38495973
-5.85592796,4.55287382,0.01216965,0.63150444,0.98151238,0.48731810,1.29931185,2.26790618,0.00355133,1.38190639
-5.84992496,4.55272165,0.01199813,0.62802441,0.97397789,0.48705713,1.27789710,2.28166844,0.00325643,1.37842263
-5.84392196,4.54912016,0.01178517,0.62314477,0.96626643,0.48651728,1.25577879,2.29360460,0.00299471,1.37435103
-5.83791896,4.54178149,0.01153010,0.61690938,0.95831506,0.48567879,1.23301843,2.30351841,0.00276430,1.36955061
-5.83191596,4.53044532,0.01123344,0.60936594,0.95006615,0.48453116,1.20966937,2.31121810,0.00256338,1.36390478
-5.82591296,4.51489340,0.01089688,0.60056597,0.94147211,0.48307344,1.18578061,2.31652427,0.00239023,1.35732720
-5.81990995,4.49496149,0.01052324,0.59056523,0.93249880,0.48131388,1.16140042,2.31927712,0.00224332,1.34976532
-5.81390695,4.47054817,0.01011631,0.57942430,0.92312764,0.47926889,1.13657956,2.31934294,0.00212131,1.34120155
-5.80790395,4.44162020,0.00968073,0.56720938,0.91335634,0.47696148,1.11137405,2.31661932,0.00202315,1.33165208
-5.80190095,4.40821434,0.00922181,0.55399309,0.90319836,0.47441919,1.08584698,2.31103902,0.00194803,1.32116378
-5.79589795,4.37043574,0.00874530,0.53985512,0.89268112,0.47167193,1.06006967,2.30257240,0.00189541,1.30980931
-5.78989495,4.32845320,0.00825719,0.52488269,0.88184341,0.46874959,1.03412178,2.29122811,0.00186502,1.29768103
-5.78389195,4.28249163,0.00776350,0.50917060,0.87073193,0.46567992,1.00809049,2.27705233,0.00185680,1.28488425
-5.77788894,4.23282238,0.00727011,0.49282088,0.85939751,0.46248657,0.98206883,2.26012641,0.00187087,1.27153009
-5.77188594,4.17975192,0.00678251,0.47594193,0.84789109,0.45918763,0.95615323,2.24056327,0.00190747,1.25772876
