energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,5.11467812,-6.87124404,0.02922379,-0.08537165,0.44754813,-0.67276187,1.03572736,-1.14544548,0.70611676,-0.59624984,0.09784492,-0.08551696,2.19879813,-3.16583291,0.66273308,-1.16832726,0.40725204,-0.39088548
-5.99399700,5.31140771,-6.73609353,0.03166325,-0.08200359,0.46970042,-0.67250713,1.07830065,-1.13691815,0.73757180,-0.58680681,0.10159756,-0.08326053,2.27746357,-3.08738157,0.69052346,-1.15684236,0.43006524,-0.38194266
-5.98799400,5.51564590,-6.61049005,0.03419872,-0.07889700,0.49290402,-0.67232193,1.12532523,-1.12887237,0.76956385,-0.57805542,0.10533995,-0.08116113,2.35923276,-3.01426752,0.72040287,-1.14672125,0.45313576,-0.37384085
-5.98199100,5.72369045,-6.49487491,0.03679749,-0.07604925,0.51679273,-0.67205343,1.17606569,-1.12128135,0.80152300,-0.56995523,0.10898979,-0.07922944,2.44259689,-2.94698440,0.75197433,-1.13791462,0.47614993,-0.36665351
-5.97598799,5.93175573,-6.38925754,0.03942458,-0.07345032,0.54098166,-0.67152352,1.22970283,-1.11406687,0.83287854,-0.56242809,0.11246549,-0.07747147,2.52601533,-2.88580658,0.78480831,-1.13030254,0.49878642,-0.36042706
-5.96998499,6.13605555,-6.29325859,0.04204343,-0.07108380,0.56507514,-0.67053860,1.28534794,-1.10711022,0.86307225,-0.55536421,0.11568855,-0.07588909,2.60794929,-2.83080099,0.81844932,-1.12370329,0.52072279,-0.35518217
-5.96398199,6.33288387,-6.20616920,0.04461665,-0.06892802,0.58867475,-0.66890050,1.34205838,-1.10026538,0.89157110,-0.54862952,0.11858592,-0.07448070,2.68689440,-2.78184694,0.85242295,-1.11788518,0.54164239,-0.35091615
-5.95797899,6.51869152,-6.12702267,0.04710682,-0.06695726,0.61138736,-0.66641789,1.39885441,-1.09337384,0.91787907,-0.54207390,0.12109206,-0.07324191,2.76141167,-2.73866276,0.88624352,-1.11258049,0.56124098,-0.34760610
-5.95197599,6.69015761,-6.05467433,0.04947734,-0.06514312,0.63283295,-0.66291775,1.45473703,-1.08628014,0.94154771,-0.53553990,0.12315079,-0.07216633,2.83015629,-2.70083727,0.91942222,-1.10750097,0.57923329,-0.34521262
-5.94597299,6.84425423,-5.98788496,0.05169334,-0.06345587,0.65265209,-0.65825614,1.50870697,-1.07884731,0.96218512,-0.52887156,0.12471676,-0.07124634,2.89190378,-2.66786436,0.95147603,-1.10235395,0.59535906,-0.34368386
-5.93996998,6.97830359,-5.92540332,0.05372245,-0.06186575,0.67051298,-0.65232780,1.55978441,-1.07097126,0.97946330,-0.52192274,0.12575654,-0.07047380,2.94557329,-2.63917867,0.98193726,-1.09685827,0.60938852,-0.34295970
-5.93396698,7.09002692,-5.86604330,0.05553565,-0.06034426,0.68611779,-0.64507402,1.60702934,-1.06259331,0.99312352,-0.51456482,0.12624931,-0.06984061,2.99024768,-2.61419043,1.01036372,-1.09075916,0.62112714,-0.34297580
-5.92796398,7.17758444,-5.80875207,0.05710793,-0.05886522,0.69920835,-0.63648843,1.64956219,-1.05371028,1.00297986,-0.50669317,0.12618703,-0.06933922,3.02519028,-2.59231778,1.03634940,-1.08384143,0.63041949,-0.34366735
-5.92196098,7.23960624,-5.75266588,0.05841891,-0.05740579,0.70957096,-0.62662037,1.68658431,-1.04438141,1.00892072,-0.49823234,0.12557433,-0.06896297,3.04985816,-2.57301508,1.05953539,-1.07594024,0.63715218,-0.34497231
-5.91595798,7.27521364,-5.69715148,0.05945325,-0.05594719,0.71704031,-0.61557572,1.71739777,-1.03473192,1.01090857,-0.48913964,0.12442788,-0.06870628,3.06391171,-2.55579601,1.07962082,-1.06694899,0.64125574,-0.34683403
-5.90995498,7.28403107,-5.64183173,0.06020104,-0.05447527,0.72150243,-0.60351517,1.74142393,-1.02495288,1.00897791,-0.47940709,0.12277547,-0.06856468,3.06722055,-2.54025083,1.09637333,-1.05682416,0.64270544,-0.34920317
-5.90395198,7.26618825,-5.58659507,0.06065785,-0.05298087,0.72289662,-0.59065000,1.75822005,-1.01529751,1.00323165,-0.46906171,0.12065474,-0.06853471,3.05986545,-2.52605732,1.10963871,-1.04558676,0.64152101,-0.35203891
-5.89794897,7.22231280,-5.53158951,0.06082476,-0.05145990,0.72121625,-0.57723565,1.76749328,-1.00607407,0.99383627,-0.45816427,0.11811174,-0.06861375,3.04213633,-2.51298545,1.11934914,-1.03332068,0.63776536,-0.35530945
-5.89194597,7.15351331,-5.47720255,0.06070818,-0.04991332,0.71650861,-0.56356347,1.76911139,-0.99763575,0.98101572,-0.44680662,0.11519927,-0.06879974,3.01452617,-2.50089623,1.12552963,-1.02016793,0.63154227,-0.35899174
-5.88594297,7.06135307,-5.42402914,0.06031948,-0.04834680,0.70887356,-0.54995095,1.76310957,-0.99036795,0.96504459,-0.43510785,0.11197509,-0.06909084,2.97772067,-2.48973541,1.12830202,-1.00632141,0.62299319,-0.36307074
-5.87993997,6.94781482,-5.37283039,0.05967456,-0.04677039,0.69846118,-0.53673098,1.74969276,-0.98467377,0.94624066,-0.42320949,0.10850019,-0.06948511,2.93258394,-2.47952285,1.12788629,-0.99201540,0.61229326,-0.36753817
-5.87393697,6.81525683,-5.32448583,0.05879320,-0.04519786,0.68546843,-0.52424068,1.72923319,-0.98095817,0.92495700,-0.41127014,0.10483698,-0.06998022,2.88013999,-2.47033891,1.12459872,-0.97751461,0.59964665,-0.37239085
-5.86793397,6.66636117,-5.27994236,0.05769845,-0.04364617,0.67013480,-0.51281022,1.70226287,-0.97961170,0.90157400,-0.39945973,0.10104765,-0.07057319,2.82155046,-2.46230864,1.11884665,-0.96310223,0.58528139,-0.37762894
-5.86193097,6.50407461,-5.24016276,0.05641585,-0.04213466,0.65273707,-0.50275206,1.66946097,-0.98099433,0.87649134,-0.38795371,0.09719260,-0.07126023,2.75808871,-2.45558524,1.11111989,-0.94906766,0.56944389,-0.38325400
-5.85592796,6.33154355,-5.20607647,0.05497265,-0.04068441,0.63358337,-0.49435116,1.63163643,-0.98542019,0.85012015,-0.37692746,0.09332909,-0.07203662,2.69111081,-2.45033369,1.10197869,-0.93569454,0.55239317,-0.38926712
-5.84992496,6.15204384,-5.17853475,0.05339704,-0.03931745,0.61300648,-0.48785626,1.58970608,-0.99314363,0.82287542,-0.36655106,0.08951005,-0.07289677,2.62202395,-2.44671545,1.09203857,-0.92324957,0.53439514,-0.39566721
-5.84392196,5.96890710,-5.15827217,0.05171739,-0.03805609,0.59135664,-0.48347274,1.54466897,-1.00434736,0.79516870,-0.35698469,0.08578311,-0.07383429,2.55225299,-2.44487502,1.08195236,-0.91197266,0.51571693,-0.40244949
-5.83791896,5.78544510,-5.14587543,0.04996153,-0.03692223,0.56899396,-0.48135699,1.49757771,-1.01913274,0.76740123,-0.34837455,0.08218987,-0.07484221,2.48320586,-2.44492886,1.07239000,-0.90206865,0.49662152,-0.40960425
