energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.35830135,0.05430371,0.00097258,0.07882675,0.58095698,0.45987854,0.26963278
-5.99399700,1.42894982,0.05756910,0.00102491,0.08313998,0.60903383,0.48632380,0.28351085
-5.98799400,1.49595390,0.06070667,0.00107574,0.08715652,0.63566434,0.51140120,0.29654570
-5.98199100,1.55817057,0.06366420,0.00112433,0.09080961,0.66035571,0.53471959,0.30851192
-5.97598799,1.61453990,0.06639206,0.00116995,0.09403849,0.68265166,0.55591617,0.31920218
-5.96998499,1.66411422,0.06884440,0.00121192,0.09679038,0.70214516,0.57466720,0.32843306
-5.96398199,1.70608429,0.07098030,0.00124966,0.09902232,0.71848976,0.59069779,0.33605037
-5.95797899,1.73980183,0.07276481,0.00128264,0.10070258,0.73140932,0.60379046,0.34193344
-5.95197599,1.76479723,0.07416990,0.00131043,0.10181187,0.74070556,0.61379203,0.34599858
-5.94597299,1.78079199,0.07517523,0.00133271,0.10234404,0.74626333,0.62061850,0.34820118
-5.93996998,1.78770530,0.07576866,0.00134923,0.10230643,0.74805334,0.62425785,0.34853679
-5.93396698,1.78565456,0.07594666,0.00135989,0.10171969,0.74613224,0.62477048,0.34704069
-5.92796398,1.77494974,0.07571443,0.00136466,0.10061720,0.74064005,0.62228725,0.34378640
-5.92196098,1.75608207,0.07508572,0.00136362,0.09904408,0.73179510,0.61700525,0.33888291
-5.91595798,1.72970714,0.07408255,0.00135695,0.09705582,0.71988665,0.60918142,0.33247081
-5.90995498,1.69662350,0.07273462,0.00134492,0.09471651,0.70526547,0.59912418,0.32471764
-5.90395198,1.65774725,0.07107850,0.00132788,0.09209694,0.68833272,0.58718350,0.31581243
-5.89794897,1.61408384,0.06915673,0.00130625,0.08927247,0.66952766,0.57373968,0.30595978
-5.89194597,1.56669791,0.06701666,0.00128049,0.08632078,0.64931445,0.55919129,0.29537372
-5.88594297,1.51668244,0.06470929,0.00125112,0.08331965,0.62816870,0.54394276,0.28427148
-5.87993997,1.46512816,0.06228792,0.00121867,0.08034481,0.60656419,0.52839199,0.27286747
-5.87393697,1.41309422,0.05980687,0.00118370,0.07746791,0.58496006,0.51291849,0.26136765
-5.86793397,1.36158113,0.05732013,0.00114676,0.07475471,0.56378911,0.49787241,0.24996446
-5.86193097,1.31150668,0.05488005,0.00110839,0.07226347,0.54344742,0.48356485,0.23883248
-5.85592796,1.26368542,0.05253614,0.00106909,0.07004368,0.52428553,0.47025976,0.22812480
-5.84992496,1.21881237,0.05033394,0.00102933,0.06813507,0.50660156,0.45816768,0.21797036
-5.84392196,1.17745105,0.04831400,0.00098954,0.06656693,0.49063626,0.44744143,0.20847221
-5.83791896,1.14002612,0.04651107,0.00095009,0.06535773,0.47657006,0.43817394,0.19970657
-5.83191596,1.10682046,0.04495334,0.00091129,0.06451513,0.46452214,0.43039815,0.19172283
-5.82591296,1.07797666,0.04366201,0.00087339,0.06403613,0.45455141,0.42408888,0.18454439
-5.81990995,1.05350245,0.04265089,0.00083658,0.06390764,0.44665910,0.41916666,0.17817014
-5.81390695,1.03327969,0.04192623,0.00080100,0.06410713,0.44079300,0.41550318,0.17257662
-5.80790395,1.01707648,0.04148682,0.00076671,0.06460362,0.43685276,0.41292812,0.16772061
