energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.87401031,0.05129730,0.00143165,0.08422428,0.92943650,0.86831442,0.45055623
-5.99399700,1.75329595,0.04865657,0.00135799,0.07844116,0.86652661,0.82363114,0.41862567
-5.98799400,1.63262312,0.04595904,0.00128210,0.07269229,0.80403915,0.77701079,0.38709648
-5.98199100,1.51304081,0.04322257,0.00120456,0.06702625,0.74253562,0.72901252,0.35623979
-5.97598799,1.39557229,0.04046837,0.00112599,0.06148847,0.68255181,0.68021112,0.32630890
-5.96998499,1.28119661,0.03772040,0.00104707,0.05612055,0.62458975,0.63118276,0.29753597
-5.96398199,1.17083265,0.03500457,0.00096847,0.05095961,0.56911126,0.58249160,0.27012955
-5.95797899,1.06532597,0.03234801,0.00089089,0.04603788,0.51653346,0.53467777,0.24427301
-5.95197599,0.96543861,0.02977830,0.00081500,0.04138240,0.46722587,0.48824684,0.22012396
-5.94597299,0.87184205,0.02732277,0.00074141,0.03701494,0.42150921,0.44366130,0.19781427
-5.93996998,0.78511309,0.02500784,0.00067072,0.03295197,0.37965558,0.40133395,0.17745090
-5.93396698,0.70573257,0.02285843,0.00060341,0.02920486,0.34188990,0.36162347,0.15911720
-5.92796398,0.63408647,0.02089753,0.00053994,0.02578014,0.30839223,0.32483198,0.14287465
-5.92196098,0.57046920,0.01914577,0.00048065,0.02267989,0.27930074,0.29120455,0.12876473
-5.91595798,0.51508834,0.01762120,0.00042581,0.01990217,0.25471498,0.26093047,0.11681096
-5.90995498,0.46807042,0.01633902,0.00037559,0.01744156,0.23469927,0.23414597,0.10702088
-5.90395198,0.42946737,0.01531152,0.00033011,0.01528967,0.21928579,0.21093819,0.09938777
-5.89794897,0.39926285,0.01454795,0.00028938,0.01343569,0.20847724,0.19135003,0.09389208
-5.89194597,0.37737838,0.01405452,0.00025336,0.01186694,0.20224891,0.17538572,0.09050255
-5.88594297,0.36367873,0.01383435,0.00022193,0.01056938,0.20055007,0.16301663,0.08917686
-5.87993997,0.35797659,0.01388750,0.00019493,0.00952812,0.20330461,0.15418742,0.08986186
-5.87393697,0.36003625,0.01421092,0.00017217,0.00872780,0.21041113,0.14882206,0.09249346
-5.86793397,0.36957663,0.01479852,0.00015341,0.00815305,0.22174253,0.14682985,0.09699618
-5.86193097,0.38627377,0.01564111,0.00013840,0.00778879,0.23714541,0.14811128,0.10328249
-5.85592796,0.40976314,0.01672647,0.00012686,0.00762054,0.25643948,0.15256379,0.11125220
-5.84992496,0.43964227,0.01803939,0.00011855,0.00763467,0.27941747,0.16008750,0.12079176
-5.84392196,0.47547407,0.01956174,0.00011320,0.00781863,0.30584577,0.17059088,0.13177397
-5.83791896,0.51679156,0.02127271,0.00011057,0.00816114,0.33546608,0.18399669,0.14405803
-5.83191596,0.56310414,0.02314897,0.00011045,0.00865233,0.36799861,0.20024803,0.15749012
-5.82591296,0.61390607,0.02516507,0.00011266,0.00928393,0.40314672,0.21931468,0.17190471
-5.81990995,0.66868718,0.02729385,0.00011704,0.01004937,0.44060346,0.24119977,0.18712650
-5.81390695,0.72694590,0.02950704,0.00012351,0.01094395,0.48005968,0.26594661,0.20297324
-5.80790395,0.78820455,0.03177593,0.00013203,0.01196491,0.52121394,0.29364571,0.21925915
-5.80190095,0.85202641,0.03407209,0.00014260,0.01311156,0.56378364,0.32444158,0.23579909
-5.79589795,0.91803415,0.03636832,0.00015533,0.01438533,0.60751716,0.35853927,0.25241315
-5.78989495,0.98592872,0.03863947,0.00017036,0.01578983,0.65220646,0.39621007,0.26893167
-5.78389195,1.05550804,0.04086343,0.00018793,0.01733081,0.69769960,0.43779620,0.28520027
-5.77788894,1.12668428,0.04302209,0.00020837,0.01901616,0.74391235,0.48371383,0.30108490
-5.77188594,1.19949897,0.04510216,0.00023208,0.02085572,0.79083847,0.53445421,0.31647640
-5.76588294,1.27413475,0.04709600,0.00025956,0.02286115,0.83855787,0.59058236,0.33129457
-5.75987994,1.35092307,0.04900233,0.00029140,0.02504559,0.88724211,0.65273311,0.34549150
-5.75387694,1.43034708,0.05082671,0.00032825,0.02742335,0.93715688,0.72160405,0.35905387
-5.74787394,1.51303920,0.05258195,0.00037087,0.03000948,0.98866107,0.79794552,0.37200439
-5.74187094,1.59977329,0.05428823,0.00042007,0.03281921,1.04220238,0.88254734,0.38440206
-5.73586793,1.69145132,0.05597310,0.00047673,0.03586743,1.09830954,0.97622276,0.39634155
-5.72986493,1.78908510,0.05767125,0.00054175,0.03916807,1.15758137,1.07978961,0.40795153
-5.72386193,1.89377356,0.05942411,0.00061606,0.04273347,1.22067314,1.19404939,0.41939241
-5.71785893,2.00667649,0.06127925,0.00070061,0.04657375,1.28828080,1.31976481,0.43085330
-5.71185593,2.12898581,0.06328967,0.00079630,0.05069622,1.36112378,1.45763637,0.44254877
-5.70585293,2.26189538,0.06551297,0.00090397,0.05510485,1.43992699,1.60827904,0.45471529
-5.69984992,2.40657064,0.06801036,0.00102440,0.05979979,1.52540284,1.77219960,0.46760774
-5.69384692,2.56411892,0.07084564,0.00115825,0.06477704,1.61823395,1.94977562,0.48149596
-5.68784392,2.73556159,0.07408410,0.00130604,0.07002819,1.71905697,2.14123678,0.49666156
-5.68184092,2.92180850,0.07779140,0.00146812,0.07554030,1.82844797,2.34664913,0.51339484
-5.67583792,3.12363519,0.08203229,0.00164467,0.08129595,1.94690972,2.56590285,0.53199184
-5.66983492,3.34166311,0.08686940,0.00183564,0.08727339,2.07486056,2.79870369,0.55275135
-5.66383192,3.57634242,0.09236190,0.00204077,0.09344677,2.21262500,3.04456823,0.57597164
-5.65782891,3.82793714,0.09856405,0.00225956,0.09978652,2.36042537,3.30282282,0.60194664
-5.65182591,4.09651178,0.10552378,0.00249127,0.10625981,2.51837421,3.57260578,0.63096143
-5.64582291,4.38191878,0.11328103,0.00273492,0.11283098,2.68646672,3.85287227,0.66328653
