energy_ev,total_up,Hg_p_up,Hg_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.62310061,0.30585737,0.16152193,0.12828929,0.00000000,0.00259565,0.05907340,0.22653360,0.00000000
-5.99399700,0.64900605,0.32405281,0.16755108,0.14013250,0.00000000,0.00226503,0.06259488,0.23618842,0.00000000
-5.98799400,0.67386039,0.34214638,0.17303989,0.15324534,0.00000000,0.00200550,0.06605753,0.24572256,0.00000000
-5.98199100,0.69746089,0.36001049,0.17792608,0.16761925,0.00000000,0.00180863,0.06944805,0.25504541,0.00000000
-5.97598799,0.71967757,0.37753693,0.18216532,0.18325205,0.00000000,0.00166728,0.07275796,0.26409189,0.00000000
-5.96998499,0.74045764,0.39464054,0.18573234,0.20014868,0.00000000,0.00157571,0.07598419,0.27282435,0.00000000
-5.96398199,0.75982712,0.41126229,0.18862146,0.21832150,0.00000000,0.00152951,0.07912955,0.28123333,0.00000000
-5.95797899,0.77788972,0.42737143,0.19084638,0.23779010,0.00000000,0.00152560,0.08220294,0.28933745,0.00000000
-5.95197599,0.79482281,0.44296693,0.19243944,0.25858041,0.00000000,0.00156216,0.08521934,0.29718218,0.00000000
-5.94597299,0.81087055,0.45807766,0.19345016,0.28072308,0.00000000,0.00163851,0.08819958,0.30483764,0.00000000
-5.93996998,0.82633451,0.47276161,0.19394338,0.30425111,0.00000000,0.00175506,0.09116978,0.31239539,0.00000000
-5.93396698,0.84156190,0.48710376,0.19399679,0.32919657,0.00000000,0.00191316,0.09416061,0.31996440,0.00000000
-5.92796398,0.85693196,0.50121285,0.19369834,0.35558651,0.00000000,0.00211502,0.09720618,0.32766616,0.00000000
-5.92196098,0.87284083,0.51521695,0.19314323,0.38343818,0.00000000,0.00236357,0.10034283,0.33562924,0.00000000
-5.91595798,0.88968570,0.52925802,0.19243092,0.41275357,0.00000000,0.00266237,0.10360760,0.34398340,0.00000000
-5.90995498,0.90784859,0.54348557,0.19166216,0.44351372,0.00000000,0.00301552,0.10703670,0.35285352,0.00000000
-5.90395198,0.92768072,0.55804977,0.19093616,0.47567280,0.00000000,0.00342755,0.11066376,0.36235357,0.00000000
-5.89794897,0.94948796,0.57309427,0.19034805,0.50915252,0.00000000,0.00390336,0.11451823,0.37258090,0.00000000
-5.89194597,0.97351808,0.58874902,0.18998669,0.54383719,0.00000000,0.00444813,0.11862380,0.38361114,0.00000000
