energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up
-6.00000000,1.55480122,0.02244141,0.02555012,0.64580928,0.18534725,0.70628610,0.00000000,0.00853370,1.17983786
-5.99399700,1.59318729,0.02326215,0.02578504,0.66305556,0.19003135,0.72451288,0.00000000,0.00862803,1.20969634
-5.98799400,1.62744739,0.02398561,0.02588837,0.67824685,0.19425304,0.74211241,0.00000000,0.00868096,1.23640371
-5.98199100,1.65664125,0.02459712,0.02585502,0.69102614,0.19789961,0.75850168,0.00000000,0.00868995,1.25924744
-5.97598799,1.67994939,0.02508419,0.02568305,0.70108713,0.20087168,0.77314054,0.00000000,0.00865349,1.27760480
-5.96998499,1.69668420,0.02543678,0.02537358,0.70817845,0.20308455,0.78553974,0.00000000,0.00857114,1.29095148
-5.96398199,1.70629769,0.02564752,0.02493069,0.71210642,0.20446916,0.79526773,0.00000000,0.00844352,1.29886767
-5.95797899,1.70838596,0.02571181,0.02436117,0.71273669,0.20497276,0.80195633,0.00000000,0.00827224,1.30104179
-5.95197599,1.70269075,0.02562791,0.02367417,0.70999442,0.20455923,0.80530520,0.00000000,0.00805980,1.29727196
-5.94597299,1.68909832,0.02539688,0.02288084,0.70386355,0.20320915,0.80508527,0.00000000,0.00780948,1.28746554
-5.93996998,1.66763582,0.02502250,0.02199397,0.69438489,0.20091956,0.80114093,0.00000000,0.00752521,1.27163670
-5.93396698,1.63846549,0.02451108,0.02102747,0.68165344,0.19770349,0.79339113,0.00000000,0.00721147,1.24990241
-5.92796398,1.60187690,0.02387128,0.01999600,0.66581477,0.19358930,0.78182914,0.00000000,0.00687307,1.22247685
-5.92196098,1.55827733,0.02311373,0.01891456,0.64706079,0.18861972,0.76652105,0.00000000,0.00651508,1.18966439
-5.91595798,1.50818050,0.02225082,0.01779808,0.62562472,0.18285076,0.74760294,0.00000000,0.00614267,1.15185126
-5.90995498,1.45219385,0.02129626,0.01666110,0.60177567,0.17635038,0.72527662,0.00000000,0.00576097,1.10949608
-5.90395198,1.39100454,0.02026474,0.01551751,0.57581259,0.16919696,0.69980400,0.00000000,0.00537501,1.06311925
-5.89794897,1.32536423,0.01917156,0.01438032,0.54805789,0.16147764,0.67150021,0.00000000,0.00498960,1.01329152
-5.89194597,1.25607317,0.01803225,0.01326149,0.51885077,0.15328651,0.64072543,0.00000000,0.00460930,0.96062175
-5.88594297,1.18396360,0.01686223,0.01217186,0.48854036,0.14472262,0.60787581,0.00000000,0.00423836,0.90574417
-5.87993997,1.10988292,0.01567645,0.01112109,0.45747881,0.13588804,0.57337357,0.00000000,0.00388072,0.84930548
-5.87393697,1.03467709,0.01448915,0.01011771,0.42601451,0.12688577,0.53765657,0.00000000,0.00354004,0.79195190
-5.86793397,0.95917449,0.01331357,0.00916917,0.39448558,0.11781779,0.50116778,0.00000000,0.00321969,0.73431661
-5.86193097,0.88417085,0.01216173,0.00828196,0.36321376,0.10878316,0.46434486,0.00000000,0.00292286,0.67700800
-5.85592796,0.81041555,0.01104435,0.00746177,0.33249897,0.09987625,0.42761034,0.00000000,0.00265257,0.62059884
-5.84992496,0.73859974,0.00997063,0.00671368,0.30261449,0.09118521,0.39136252,0.00000000,0.00241184,0.56561691
-5.84392196,0.66934664,0.00894828,0.00604233,0.27380311,0.08279070,0.35596767,0.00000000,0.00220371,0.51253717
-5.83791896,0.60320414,0.00798345,0.00545220,0.24627420,0.07476486,0.32175340,0.00000000,0.00203141,0.46177584
-5.83191596,0.54064007,0.00708077,0.00494776,0.22020184,0.06717070,0.28900379,0.00000000,0.00189848,0.41368643
-5.82591296,0.48204001,0.00624341,0.00453379,0.19572389,0.06006171,0.25795599,0.00000000,0.00180883,0.36855773
-5.81990995,0.42770766,0.00547320,0.00421550,0.17294225,0.05348185,0.22879858,0.00000000,0.00176693,0.32661387
-5.81390695,0.37786760,0.00477069,0.00399879,0.15192391,0.04746584,0.20167149,0.00000000,0.00177785,0.28801615
-5.80790395,0.33267007,0.00413536,0.00389042,0.13270299,0.04203969,0.17666750,0.00000000,0.00184739,0.25286664
-5.80190095,0.29219758,0.00356572,0.00389809,0.11528345,0.03722150,0.15383492,0.00000000,0.00198213,0.22121305
-5.79589795,0.25647269,0.00305947,0.00403058,0.09964234,0.03302233,0.13318148,0.00000000,0.00218945,0.19305476
-5.78989495,0.22546672,0.00261371,0.00429771,0.08573356,0.02944727,0.11467899,0.00000000,0.00247753,0.16834957
-5.78389195,0.19910867,0.00222502,0.00471034,0.07349178,0.02649643,0.09826861,0.00000000,0.00285529,0.14702080
-5.77788894,0.17729417,0.00188967,0.00528020,0.06283643,0.02416601,0.08386641,0.00000000,0.00333231,0.12896445
-5.77188594,0.15989368,0.00160372,0.00601970,0.05367561,0.02244917,0.07136900,0.00000000,0.00391862,0.11405606
-5.76588294,0.14675991,0.00136312,0.00694157,0.04590980,0.02133682,0.06065904,0.00000000,0.00462453,0.10215697
-5.75987994,0.13773395,0.00116386,0.00805852,0.03943520,0.02081825,0.05161034,0.00000000,0.00546028,0.09311985
-5.75387694,0.13264998,0.00100199,0.00938271,0.03414666,0.02088145,0.04409256,0.00000000,0.00643576,0.08679323
-5.74787394,0.13133856,0.00087375,0.01092520,0.02994015,0.02151338,0.03797527,0.00000000,0.00756008,0.08302505
-5.74187094,0.13362832,0.00077553,0.01269531,0.02671470,0.02269987,0.03313138,0.00000000,0.00884111,0.08166513
-5.73586793,0.13934638,0.00070397,0.01469996,0.02437387,0.02442548,0.02943998,0.00000000,0.01028509,0.08256662
-5.72986493,0.14831751,0.00065593,0.01694300,0.02282677,0.02667312,0.02678841,0.00000000,0.01189606,0.08558662
-5.72386193,0.16036244,0.00062853,0.01942455,0.02198863,0.02942364,0.02507388,0.00000000,0.01367546,0.09058597
-5.71785893,0.17529556,0.00061909,0.02214039,0.02178098,0.03265537,0.02420443,0.00000000,0.01562168,0.09742859
-5.71185593,0.19292244,0.00062514,0.02508149,0.02213163,0.03634366,0.02409948,0.00000000,0.01772969,0.10598035
-5.70585293,0.21303746,0.00064440,0.02823364,0.02297435,0.04046059,0.02469007,0.00000000,0.01999077,0.11610796
-5.69984992,0.23542198,0.00067476,0.03157728,0.02424846,0.04497474,0.02591864,0.00000000,0.02239231,0.12767779
-5.69384692,0.25984336,0.00071424,0.03508752,0.02589827,0.04985127,0.02773875,0.00000000,0.02491780,0.14055506
-5.68784392,0.28605495,0.00076098,0.03873445,0.02787261,0.05505218,0.03011453,0.00000000,0.02754692,0.15460337
-5.68184092,0.31379747,0.00081321,0.04248364,0.03012430,0.06053691,0.03302003,0.00000000,0.03025580,0.16968481
-5.67583792,0.34280157,0.00086928,0.04629699,0.03260972,0.06626318,0.03643849,0.00000000,0.03301746,0.18566055
-5.66983492,0.37279173,0.00092759,0.05013368,0.03528846,0.07218814,0.04036152,0.00000000,0.03580232,0.20239204
-5.66383192,0.40349130,0.00098661,0.05395156,0.03812303,0.07826977,0.04478816,0.00000000,0.03857896,0.21974265
-5.65782891,0.43462846,0.00104493,0.05770852,0.04107873,0.08446839,0.04972395,0.00000000,0.04131489,0.23757971
-5.65182591,0.46594266,0.00110120,0.06136410,0.04412347,0.09074840,0.05517974,0.00000000,0.04397743,0.25577676
-5.64582291,0.49719134,0.00115417,0.06488118,0.04722772,0.09707996,0.06117045,0.00000000,0.04653463,0.27421578
-5.63981991,0.52815637,0.00120272,0.06822760,0.05036447,0.10344059,0.06771366,0.00000000,0.04895616,0.29278934
-5.63381691,0.55864976,0.00124586,0.07137774,0.05350908,0.10981666,0.07482797,0.00000000,0.05121414,0.31140222
-5.62781391,0.58851827,0.00128274,0.07431386,0.05663921,0.11620449,0.08253124,0.00000000,0.05328392,0.32997265
-5.62181091,0.61764656,0.00131267,0.07702730,0.05973461,0.12261118,0.09083860,0.00000000,0.05514468,0.34843267
-5.61580790,0.64595848,0.00133514,0.07951923,0.06277683,0.12905488,0.09976038,0.00000000,0.05677984,0.36672778
-5.60980490,0.67341656,0.00134979,0.08180111,0.06574892,0.13556463,0.10929991,0.00000000,0.05817735,0.38481576
-5.60380190,0.70001931,0.00135647,0.08389468,0.06863495,0.14217953,0.11945133,0.00000000,0.05932974,0.40266461
-5.59779890,0.72579674,0.00135520,0.08583150,0.07141961,0.14894747,0.13019742,0.00000000,0.06023394,0.42024984
-5.59179590,0.75080408,0.00134614,0.08765205,0.07408765,0.15592322,0.14150771,0.00000000,0.06089103,0.43755115
-5.58579290,0.77511412,0.00132964,0.08940437,0.07662347,0.16316608,0.15333676,0.00000000,0.06130567,0.45454877
-5.57978989,0.79880857,0.00130617,0.09114236,0.07901066,0.17073709,0.16562294,0.00000000,0.06148559,0.47121976
-5.57378689,0.82196894,0.00127629,0.09292368,0.08123170,0.17869594,0.17828760,0.00000000,0.06144084,0.48753437
-5.56778389,0.84466740,0.00124069,0.09480741,0.08326775,0.18709769,0.19123497,0.00000000,0.06118313,0.50345293
-5.56178089,0.86695830,0.00120010,0.09685157,0.08509866,0.19598942,0.20435262,0.00000000,0.06072512,0.51892333
-5.55577789,0.88887061,0.00115529,0.09911054,0.08670309,0.20540697,0.21751267,0.00000000,0.06007981,0.53387941
