energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,2.26560572,0.00793609,0.17277243,0.56878362,0.52552985,0.96079718,0.47882842,0.01307446,1.03930636
-5.99399700,2.25108201,0.00814253,0.16882222,0.56611336,0.52982211,0.93084542,0.47649879,0.01355318,1.03661559
-5.98799400,2.23654636,0.00838200,0.16491569,0.56312148,0.53457428,0.89961803,0.47393702,0.01406909,1.03422943
-5.98199100,2.22250265,0.00864765,0.16118805,0.56000553,0.53970201,0.86784078,0.47124364,0.01461146,1.03231461
-5.97598799,2.20947336,0.00893208,0.15778151,0.55698282,0.54511090,0.83626723,0.46853305,0.01516811,1.03103752
-5.96998499,2.19798354,0.00922747,0.15484135,0.55428373,0.55069853,0.80565704,0.46593057,0.01572569,1.03055771
-5.96398199,2.18854645,0.00952565,0.15251211,0.55214481,0.55635723,0.77675507,0.46356935,0.01627017,1.03102242
-5.95797899,2.18165121,0.00981828,0.15093379,0.55080164,0.56197757,0.75027173,0.46158735,0.01678731,1.03256232
-5.95197599,2.17775281,0.01009701,0.15023836,0.55048187,0.56745243,0.72686525,0.46012440,0.01726311,1.03528851
-5.94597299,2.17726443,0.01035372,0.15054649,0.55139841,0.57268146,0.70712605,0.45931944,0.01768438,1.03929072
-5.93996998,2.18055214,0.01058067,0.15196458,0.55374304,0.57757569,0.69156377,0.45930797,0.01803916,1.04463678
-5.93396698,2.18793144,0.01077076,0.15458225,0.55768050,0.58206221,0.68059679,0.46021971,0.01831718,1.05137300
-5.92796398,2.19966560,0.01091775,0.15847018,0.56334324,0.58608841,0.67454461,0.46217649,0.01851024,1.05952538
-5.92196098,2.21596514,0.01101643,0.16367838,0.57082694,0.58962571,0.67362285,0.46529045,0.01861252,1.06910128
-5.91595798,2.23698819,0.01106283,0.17023495,0.58018679,0.59267252,0.67794094,0.46966232,0.01862078,1.08009146
-5.90995498,2.26284133,0.01105434,0.17814531,0.59143482,0.59525607,0.68750226,0.47538002,0.01853450,1.09247215
-5.90395198,2.29358047,0.01098983,0.18739187,0.60453821,0.59743321,0.70220670,0.48251735,0.01835587,1.10620704
-5.89794897,2.32921183,0.01086968,0.19793427,0.61941873,0.59928988,0.72185537,0.49113290,0.01808972,1.12124907
-5.89194597,2.36969271,0.01069582,0.20971007,0.63595341,0.60093934,0.74615731,0.50126906,0.01774333,1.13754195
-5.88594297,2.41493217,0.01047165,0.22263598,0.65397641,0.60251917,0.77473808,0.51295128,0.01732615,1.15502146
-5.87993997,2.46479184,0.01020198,0.23660956,0.67328215,0.60418722,0.80714990,0.52618737,0.01684947,1.17361659
-5.87393697,2.51908686,0.00989284,0.25151137,0.69362979,0.60611655,0.84288324,0.54096717,0.01632597,1.19325051
-5.86793397,2.57758736,0.00955137,0.26720761,0.71474875,0.60848984,0.88137948,0.55726225,0.01576932,1.21384168
-5.86193097,2.64002064,0.00918551,0.28355305,0.73634545,0.61149324,0.92204456,0.57502603,0.01519368,1.23530500
-5.85592796,2.70607425,0.00880386,0.30039433,0.75811087,0.61531015,0.96426304,0.59419406,0.01461323,1.25755325
-5.84992496,2.77540013,0.00841537,0.31757339,0.77972887,0.62011513,1.00741243,0.61468467,0.01404176,1.28049875
-5.84392196,2.84761971,0.00802906,0.33493109,0.80088491,0.62606814,1.05087733,0.63639983,0.01349218,1.30405523
-5.83791896,2.92233007,0.00765384,0.35231071,0.82127488,0.63330945,1.09406292,0.65922645,0.01297621,1.32813995
-5.83191596,2.99911074,0.00729819,0.36956138,0.84061378,0.64195525,1.13640744,0.68303782,0.01250405,1.35267578
-5.82591296,3.07753102,0.00696998,0.38654121,0.85864379,0.65209416,1.17739328,0.70769544,0.01208413,1.37759315
-5.81990995,3.15715722,0.00667623,0.40312006,0.87514142,0.66378468,1.21655620,0.73305098,0.01172296,1.40283170
-5.81390695,3.23755968,0.00642297,0.41918181,0.88992358,0.67705362,1.25349250,0.75894847,0.01142500,1.42834131
-5.80790395,3.31831882,0.00621507,0.43462605,0.90285204,0.69189532,1.28786382,0.78522654,0.01119266,1.45408238
-5.80190095,3.39903006,0.00605614,0.44936921,0.91383630,0.70827186,1.31939946,0.81172079,0.01102631,1.48002524
-5.79589795,3.47930726,0.00594847,0.46334496,0.92283472,0.72611382,1.34789622,0.83826607,0.01092440,1.50614844
-5.78989495,3.55878436,0.00589294,0.47650402,0.92985377,0.74532178,1.37321580,0.86469872,0.01088357,1.53243614
-5.78389195,3.63711536,0.00588907,0.48881331,0.93494551,0.76576822,1.39528012,0.89085868,0.01089887,1.55887442
-5.77788894,3.71397254,0.00593500,0.50025464,0.93820360,0.78729984,1.41406470,0.91659136,0.01096396,1.58544688
-5.77188594,3.78904326,0.00602760,0.51082278,0.93975775,0.80974013,1.42959071,0.94174935,0.01107135,1.61212964
-5.76588294,3.86202569,0.00616250,0.52052335,0.93976719,0.83289219,1.44191601,0.96619380,0.01121269,1.63888613
-5.75987994,3.93262379,0.00633424,0.52937035,0.93841335,0.85654168,1.45112585,0.98979554,0.01137897,1.66566195
-5.75387694,4.00054220,0.00653641,0.53738363,0.93589208,0.88045988,1.45732366,1.01243587,0.01156087,1.69238031
-5.74787394,4.06548138,0.00676183,0.54458635,0.93240592,0.90440696,1.46062247,1.03400699,0.01174894,1.71893826
-5.74187094,4.12713356,0.00700271,0.55100259,0.92815653,0.92813522,1.46113741,1.05441213,0.01193391,1.74520403
-5.73586793,4.18517988,0.00725087,0.55665516,0.92333781,0.95139254,1.45897956,1.07356535,0.01210687,1.77101591
-5.72986493,4.23928891,0.00749797,0.56156368,0.91812973,0.97392585,1.45425150,1.09139093,0.01225954,1.79618254
-5.72386193,4.28911677,0.00773570,0.56574313,0.91269325,0.99548469,1.44704458,1.10782256,0.01238440,1.82048487
-5.71785893,4.33430884,0.00795603,0.56920263,0.90716627,1.01582478,1.43743792,1.12280213,0.01247487,1.84367960
-5.71185593,4.37450292,0.00815143,0.57194479,0.90166069,1.03471153,1.42549906,1.13627836,0.01252546,1.86550398
-5.70585293,4.40933358,0.00831502,0.57396531,0.89626064,1.05192343,1.41128598,1.14820515,0.01253182,1.88568166
-5.69984992,4.43843740,0.00844083,0.57525306,0.89102164,1.06725531,1.39485020,1.15853989,0.01249086,1.90392929
-5.69384692,4.46145876,0.00852389,0.57579044,0.88597066,1.08052120,1.37624056,1.16724165,0.01240075,1.91996350
-5.68784392,4.47805582,0.00856037,0.57555399,0.88110697,1.09155688,1.35550741,1.17426948,0.01226092,1.93350788
-5.68184092,4.48790628,0.00854770,0.57451534,0.87640352,1.10022200,1.33270665,1.17958085,0.01207206,1.94429956
-5.67583792,4.49071287,0.00848455,0.57264227,0.87180884,1.10640167,1.30790344,1.18313042,0.01183601,1.95209517
-5.66983492,4.48620824,0.00837089,0.56990000,0.86724923,1.11000754,1.28117530,1.18486921,0.01155572,1.95667595
-5.66383192,4.47415938,0.00820791,0.56625247,0.86263124,1.11097846,1.25261422,1.18474439,0.01123513,1.95785182
-5.65782891,4.45437162,0.00799800,0.56166388,0.85784439,1.10928052,1.22232793,1.18269963,0.01087905,1.95546440
-5.65182591,4.42669235,0.00774454,0.55610022,0.85276403,1.10490686,1.19044012,1.17867638,0.01049302,1.94938920
-5.64582291,4.39101485,0.00745187,0.54953078,0.84725445,1.09787710,1.15708975,1.17261580,0.01008317,1.93953679
-5.63981991,4.34728229,0.00712503,0.54192985,0.84117223,1.08823654,1.12242959,1.16446164,0.00965609,1.92585357
-5.63381691,4.29549246,0.00676963,0.53327834,0.83436983,1.07605536,1.08662414,1.15416389,0.00921868,1.90832194
-5.62781391,4.23570303,0.00639164,0.52356535,0.82669949,1.06142773,1.04984717,1.14168307,0.00877801,1.88696051
-5.62181091,4.16803772,0.00599720,0.51278985,0.81801740,1.04447101,1.01227916,1.12699513,0.00834121,1.86182421
-5.61580790,4.09269308,0.00559243,0.50096207,0.80818816,1.02532506,0.97410473,1.11009667,0.00791534,1.83300459
-5.60980490,4.00994569,0.00518329,0.48810493,0.79708939,1.00415159,0.93551028,1.09101012,0.00750731,1.80063045
-5.60380190,3.92015926,0.00477539,0.47425514,0.78461638,0.98113364,0.89668207,1.06978876,0.00712376,1.76486856
-5.59779890,3.82379113,0.00437388,0.45946405,0.77068669,0.95647492,0.85780456,1.04652107,0.00677101,1.72592448
-5.59179590,3.72139723,0.00398337,0.44379821,0.75524433,0.93039901,0.81905929,1.02133422,0.00645495,1.68404331
-5.58579290,3.61363502,0.00360782,0.42733939,0.73826355,0.90314828,0.78062401,0.99439617,0.00618101,1.63950991
-5.57978989,3.50126322,0.00325053,0.41018425,0.71975180,0.87498225,0.74267206,0.96591636,0.00595407,1.59264850
-5.57378689,3.38513794,0.00291413,0.39244337,0.69975168,0.84617537,0.70537190,0.93614452,0.00577839,1.54382107
-5.56778389,3.26620445,0.00260055,0.37423983,0.67834180,0.81701401,0.66888656,0.90536759,0.00565757,1.49342453
-5.56178089,3.14548421,0.00231108,0.35570719,0.65563633,0.78779261,0.63337284,0.87390468,0.00559444,1.44188621
-5.55577789,3.02405723,0.00204639,0.33698699,0.63178314,0.75880896,0.59898032,0.84210018,0.00559101,1.38965764
-5.54977489,2.90303980,0.00180664,0.31822577,0.60696055,0.73035858,0.56584987,0.81031503,0.00564836,1.33720652
-5.54377189,2.78355831,0.00159148,0.29957185,0.58137285,0.70272845,0.53411174,0.77891674,0.00576661,1.28500718
-5.53776888,2.66671994,0.00140018,0.28117173,0.55524461,0.67619014,0.50388331,0.74826825,0.00594480,1.23352949
-5.53176588,2.55358148,0.00123166,0.26316657,0.52881411,0.65099268,0.47526649,0.71871635,0.00618082,1.18322695
-5.52576288,2.44511770,0.00108460,0.24568857,0.50232611,0.62735544,0.44834492,0.69058004,0.00647140,1.13452424
-5.51975988,2.34219072,0.00095747,0.22885777,0.47602433,0.60546149,0.42318119,0.66413951,0.00681205,1.08780494
-5.51375688,2.24552219,0.00084863,0.21277903,0.45014406,0.58545161,0.39981434,0.63962628,0.00719706,1.04340005
-5.50775388,2.15566983,0.00075637,0.19753969,0.42490512,0.56741960,0.37825768,0.61721504,0.00761953,1.00157798
-5.50175088,2.07300959,0.00067892,0.18320781,0.40050557,0.55140895,0.35849742,0.59701766,0.00807145,0.96253661
-5.49574787,1.99772498,0.00061457,0.16983108,0.37711658,0.53741139,0.34049199,0.57907975,0.00854381,0.92639797
