energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.65515144,0.09371719,0.00138735,0.02294211,1.01232996,0.97159979,0.31292882
-5.99399700,1.60893809,0.09276698,0.00135507,0.02198742,0.98219308,0.94331713,0.30233238
-5.98799400,1.56495175,0.09200621,0.00132616,0.02106063,0.95357547,0.91653624,0.29208522
-5.98199100,1.52434796,0.09150137,0.00130131,0.02017849,0.92719873,0.89187941,0.28243397
-5.97598799,1.48819799,0.09131282,0.00128121,0.01935673,0.90372718,0.86992568,0.27360652
-5.96998499,1.45744832,0.09149211,0.00126645,0.01860957,0.88374391,0.85118679,0.26580524
-5.96398199,1.43288444,0.09207955,0.00125753,0.01794939,0.86772954,0.83608500,0.25920131
-5.95797899,1.41510038,0.09310207,0.00125478,0.01738646,0.85604476,0.82493418,0.25393009
-5.95197599,1.40447527,0.09457167,0.00125838,0.01692866,0.84891711,0.81792463,0.25008790
-5.94597299,1.40115793,0.09648431,0.00126830,0.01658143,0.84643261,0.81511261,0.24773016
-5.93996998,1.40506015,0.09881942,0.00128432,0.01634766,0.84853268,0.81641505,0.24687089
-5.93396698,1.41585887,0.10154009,0.00130600,0.01622778,0.85501627,0.82160962,0.24748365
-5.92796398,1.43300725,0.10459382,0.00133271,0.01621980,0.86554719,0.83034049,0.24950372
-5.92196098,1.45575413,0.10791400,0.00136366,0.01631953,0.87966645,0.84212939,0.25283148
-5.91595798,1.48317116,0.11142186,0.00139786,0.01652073,0.89680882,0.85639165,0.25733669
-5.90995498,1.51418622,0.11502900,0.00143423,0.01681539,0.91632324,0.87245673,0.26286363
-5.90395198,1.54762201,0.11864022,0.00147158,0.01719398,0.93749595,0.88959214,0.26923667
-5.89794897,1.58223804,0.12215677,0.00150872,0.01764569,0.95957559,0.90703007,0.27626626
-5.89194597,1.61677420,0.12547959,0.00154441,0.01815875,0.98179912,0.92399536,0.28375484
-5.88594297,1.64999436,0.12851267,0.00157750,0.01872066,1.00341763,0.93973384,0.29150276
-5.87993997,1.68072794,0.13116624,0.00160694,0.01931840,1.02372088,0.95353969,0.29931369
-5.87393697,1.70790811,0.13335971,0.00163177,0.01993871,1.04205985,0.96478077,0.30699965
-5.86793397,1.73060506,0.13502426,0.00165127,0.02056825,1.05786630,0.97292079,0.31438534
-5.86193097,1.74805308,0.13610489,0.00166486,0.02119378,1.07066874,0.97753759,0.32131175
-5.85592796,1.75967097,0.13656199,0.00167223,0.02180235,1.08010451,0.97833655,0.32763913
-5.84992496,1.76507488,0.13637232,0.00167327,0.02238143,1.08592747,0.97515897,0.33324917
-5.84392196,1.76408379,0.13552935,0.00166811,0.02291905,1.08801145,0.96798496,0.33804650
-5.83791896,1.75671773,0.13404303,0.00165711,0.02340399,1.08634946,0.95693105,0.34195965
-5.83191596,1.74318939,0.13193903,0.00164082,0.02382588,1.08104924,0.94224269,0.34494149
-5.82591296,1.72388981,0.12925747,0.00162000,0.02417541,1.07232528,0.92428219,0.34696930
-5.81990995,1.69936943,0.12605123,0.00159551,0.02444445,1.06048827,0.90351286,0.34804455
-5.81390695,1.67031547,0.12238400,0.00156838,0.02462626,1.04593248,0.88048013,0.34819254
-5.80790395,1.63752708,0.11832806,0.00153966,0.02471566,1.02912168,0.85579063,0.34746187
-5.80190095,1.60188927,0.11396201,0.00151048,0.02470917,1.01057457,0.83009025,0.34592392
-5.79589795,1.56434704,0.10936846,0.00148194,0.02460521,0.99085005,0.80404216,0.34367224
-5.78989495,1.52588045,0.10463178,0.00145511,0.02440417,0.97053304,0.77830562,0.34082189
-5.78389195,1.48748152,0.09983603,0.00143101,0.02410854,0.95022123,0.75351659,0.33750873
-5.77788894,1.45013360,0.09506310,0.00141056,0.02372297,0.93051304,0.73027052,0.33388841
-5.77188594,1.41479336,0.09039101,0.00139458,0.02325418,0.91199696,0.70910811,0.33013519
-5.76588294,1.38237562,0.08589260,0.00138378,0.02271097,0.89524225,0.69050413,0.32644032
-5.75987994,1.35374082,0.08163441,0.00137875,0.02210399,0.88079099,0.67485949,0.32300991
-5.75387694,1.32968483,0.07767578,0.00137998,0.02144558,0.86915117,0.66249651,0.32006222
-5.74787394,1.31093054,0.07406833,0.00138782,0.02074946,0.86079064,0.65365715,0.31782424
-5.74187094,1.29812091,0.07085546,0.00140258,0.02003038,0.85613164,0.64850382,0.31652753
-5.73586793,1.29181264,0.06807217,0.00142443,0.01930371,0.85554549,0.64712234,0.31640321
-5.72986493,1.29247009,0.06574495,0.00145350,0.01858503,0.85934735,0.64952651,0.31767634
-5.72386193,1.30045906,0.06389180,0.00148984,0.01788964,0.86779063,0.65566378,0.32055946
-5.71785893,1.31603989,0.06252226,0.00153346,0.01723208,0.88106118,0.66542144,0.32524565
-5.71185593,1.33936007,0.06163763,0.00158431,0.01662572,0.89927104,0.67863288,0.33190126
-5.70585293,1.37044613,0.06123108,0.00164227,0.01608226,0.92245205,0.69508361,0.34065841
-5.69984992,1.40919538,0.06128786,0.00170716,0.01561141,0.95054938,0.71451663,0.35160769
-5.69384692,1.45536774,0.06178558,0.00177874,0.01522055,0.98341554,0.73663705,0.36479135
-5.68784392,1.50857857,0.06269447,0.00185668,0.01491444,1.02080520,0.76111594,0.38019726
-5.68184092,1.56829307,0.06397772,0.00194052,0.01469514,1.06237140,0.78759351,0.39775405
-5.67583792,1.63382339,0.06559197,0.00202970,0.01456186,1.10766377,0.81568171,0.41732784
-5.66983492,1.70432908,0.06748778,0.00212352,0.01451107,1.15612919,0.84496669,0.43872075
-5.66383192,1.77882201,0.06961033,0.00222111,0.01453655,1.20711560,0.87501130,0.46167157
-5.65782891,1.85617618,0.07190021,0.00232146,0.01462967,1.25987915,0.90535808,0.48585873
-5.65182591,1.93514318,0.07429440,0.00242339,0.01477967,1.31359521,0.93553309,0.51090574
-5.64582291,2.01437326,0.07672734,0.00252558,0.01497405,1.36737303,0.96505077,0.53638894
-5.63981991,2.09244211,0.07913226,0.00262657,0.01519899,1.42027413,0.99342016,0.56184770
-5.63381691,2.16788274,0.08144252,0.00272477,0.01543986,1.47133398,1.02015250,0.58679656
-5.62781391,2.23922173,0.08359313,0.00281855,0.01568176,1.51958638,1.04477019,0.61073905
-5.62181091,2.30501860,0.08552235,0.00290621,0.01590996,1.56408965,1.06681697,0.63318278
-5.61580790,2.36390692,0.08717319,0.00298610,0.01611049,1.60395380,1.08586899,0.65365501
-5.60980490,2.41463540,0.08849507,0.00305659,0.01627056,1.63836744,1.10154640,0.67171829
-5.60380190,2.45610722,0.08944514,0.00311621,0.01637904,1.66662321,1.11352481,0.68698526
-5.59779890,2.48741573,0.08998967,0.00316363,0.01642673,1.68814066,1.12154628,0.69913215
-5.59179590,2.50787473,0.09010506,0.00319775,0.01640672,1.70248536,1.12542901,0.70791008
-5.58579290,2.51704189,0.08977863,0.00321772,0.01631451,1.70938327,1.12507528,0.71315385
-5.57978989,2.51473387,0.08900917,0.00322299,0.01614815,1.70872961,1.12047713,0.71478753
-5.57378689,2.50103249,0.08780703,0.00321330,0.01590814,1.70059178,1.11171926,0.71282673
-5.56778389,2.47628137,0.08619393,0.00318873,0.01559741,1.68520595,1.09897902,0.70737728
-5.56178089,2.44107307,0.08420241,0.00314967,0.01522105,1.66296763,1.08252318,0.69863039
-5.55577789,2.39622742,0.08187490,0.00309682,0.01478606,1.63441642,1.06270164,0.68685454
-5.54977489,2.34276182,0.07926252,0.00303115,0.01430099,1.60021579,1.03993824,0.67238439
-5.54377189,2.28185497,0.07642363,0.00295388,0.01377553,1.56112878,1.01471887,0.65560731
-5.53776888,2.21480568,0.07342208,0.00286643,0.01322013,1.51799067,0.98757759,0.63694812
-5.53176588,2.14298862,0.07032540,0.00277036,0.01264552,1.47167998,0.95908106,0.61685279
-5.52576288,2.06780887,0.06720288,0.00266735,0.01206231,1.42308907,0.92981204,0.59577189
-5.51975988,1.99065739,0.06412358,0.00255911,0.01148060,1.37309555,0.90035262,0.57414444
-5.51375688,1.91286911,0.06115447,0.00244734,0.01090962,1.32253570,0.87126768,0.55238299
-5.50775388,1.83568515,0.05835859,0.00233370,0.01035744,1.27218096,0.84308936,0.53086057
-5.50175088,1.76022075,0.05579340,0.00221974,0.00983075,1.22271832,0.81630285,0.50989989
-5.49574787,1.68743957,0.05350935,0.00210687,0.00933472,1.17473507,0.79133416,0.48976531
-5.48974487,1.61813518,0.05154858,0.00199634,0.00887289,1.12870837,0.76854000,0.47065778
-5.48374187,1.55291993,0.04994401,0.00188922,0.00844722,1.08499980,0.74820013,0.45271277
-5.47773887,1.49222099,0.04871857,0.00178638,0.00805811,1.04385447,0.73051231,0.43600118
-5.47173587,1.43628335,0.04788476,0.00168850,0.00770457,1.00540471,0.71558980,0.42053294
-5.46573287,1.38517884,0.04744449,0.00159604,0.00738437,0.96967753,0.70346145,0.40626301
-5.45972986,1.33882057,0.04738915,0.00150930,0.00709428,0.93660544,0.69407425,0.39309935
-5.45372686,1.29698163,0.04769997,0.00142837,0.00683032,0.90603972,0.68729816,0.38091233
-5.44772386,1.25931697,0.04834860,0.00135323,0.00658797,0.87776562,0.68293307,0.36954501
-5.44172086,1.22538757,0.04929795,0.00128369,0.00636251,0.85151850,0.68071757,0.35882388
-5.43571786,1.19468567,0.05050319,0.00121947,0.00614916,0.82700045,0.68033937,0.34856945
-5.42971486,1.16666021,0.05191300,0.00116022,0.00594341,0.80389653,0.68144703,0.33860616
-5.42371186,1.14074166,0.05347094,0.00110552,0.00574112,0.78189031,0.68366270,0.32877145
-5.41770885,1.11636547,0.05511694,0.00105490,0.00553873,0.76067802,0.68659554,0.31892345
-5.41170585,1.09299362,0.05678898,0.00100790,0.00533335,0.73998121,0.68985553,0.30894713
-5.40570285,1.07013370,0.05842470,0.00096406,0.00512286,0.71955739,0.69306723,0.29875891
-5.39969985,1.04735531,0.05996315,0.00092294,0.00490588,0.69920877,0.69588307,0.28830950
-5.39369685,1.02430350,0.06134643,0.00088417,0.00468185,0.67878880,0.69799580,0.27758517
-5.38769385,1.00070897,0.06252125,0.00084740,0.00445091,0.65820664,0.69914974,0.26660747
-5.38169085,0.97639519,0.06344047,0.00081236,0.00421388,0.63742944,0.69915018,0.25543165
-5.37568784,0.95128222,0.06406429,0.00077885,0.00397217,0.61648275,0.69787077,0.24414385
-5.36968484,0.92538740,0.06436135,0.00074675,0.00372763,0.59544888,0.69525842,0.23285746
-5.36368184,0.89882292,0.06430953,0.00071600,0.00348251,0.57446365,0.69133539,0.22170873
-5.35767884,0.87179048,0.06389641,0.00068665,0.00323925,0.55371139,0.68619843,0.21085194
-5.35167584,0.84457314,0.06311946,0.00065877,0.00300044,0.53341859,0.68001484,0.20045433
-5.34567284,0.81752466,0.06198590,0.00063255,0.00276870,0.51384628,0.67301543,0.19069087
-5.33966983,0.79105665,0.06051221,0.00060819,0.00254655,0.49528131,0.66548463,0.18173921
-5.33366683,0.76562371,0.05872342,0.00058598,0.00233635,0.47802684,0.65774797,0.17377470
-5.32766383,0.74170719,0.05665201,0.00056622,0.00214023,0.46239218,0.65015745,0.16696577
-5.32166083,0.71979782,0.05433669,0.00054922,0.00196003,0.44868225,0.64307521,0.16146952
