energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,10.72571703,0.46710106,3.23310788,0.02493359,0.71175089,3.94109010,5.82692982,0.72205169,0.00000000
-5.99399700,10.54934418,0.46818077,3.07330347,0.02481414,0.70297975,3.90621041,5.82812102,0.71315859,0.00000000
-5.98799400,10.35774654,0.46980564,2.91181976,0.02462035,0.69214800,3.85816079,5.81884552,0.70527614,0.00000000
-5.98199100,10.15240940,0.47213617,2.74997177,0.02436259,0.67931256,3.79771323,5.79897780,0.69859505,0.00000000
-5.97598799,9.93530316,0.47537564,2.58913094,0.02405189,0.66458396,3.72601118,5.76870505,0.69331670,0.00000000
-5.96998499,9.70887477,0.47977005,2.43070232,0.02369952,0.64812524,3.64454526,5.72854520,0.68965386,0.00000000
-5.96398199,9.47601810,0.48560551,2.27609902,0.02331661,0.63014868,3.55511516,5.67935165,0.68783002,0.00000000
-5.95797899,9.24002398,0.49320308,2.12671515,0.02291383,0.61091059,3.45977914,5.62230421,0.68807737,0.00000000
-5.95197599,9.00451140,0.50291088,1.98389844,0.02250107,0.59070429,3.36079280,5.55888612,0.69063325,0.00000000
-5.94597299,8.77334216,0.51509362,1.84892378,0.02208721,0.56985154,3.26053961,5.49084768,0.69573506,0.00000000
-5.93996998,8.55052206,0.53011979,1.72296879,0.02168001,0.54869286,3.16145558,5.42015766,0.70361364,0.00000000
-5.93396698,8.34009217,0.54834673,1.60709236,0.02128590,0.52757707,3.06595117,5.34894431,0.71448539,0.00000000
-5.92796398,8.14601406,0.57010409,1.50221698,0.02091004,0.50685043,2.97633322,5.27942791,0.72854304,0.00000000
-5.92196098,7.97205327,0.59567637,1.40911527,0.02055627,0.48684598,2.89472979,5.21384762,0.74594575,0.00000000
-5.91595798,7.82166515,0.62528494,1.32840119,0.02022718,0.46787325,2.82302075,5.15438530,0.76680855,0.00000000
-5.90995498,7.69788755,0.65907064,1.26052580,0.01992423,0.45020888,2.76277642,5.10308957,0.79119178,0.00000000
-5.90395198,7.60324417,0.69707752,1.20577762,0.01964782,0.43408843,2.71520657,5.06180290,0.81909103,0.00000000
-5.89794897,7.53966250,0.73923864,1.16428716,0.01939745,0.41969962,2.68112137,5.03209513,0.85042803,0.00000000
-5.89194597,7.50840974,0.78536475,1.13603525,0.01917187,0.40717730,2.66090575,5.01520606,0.88504316,0.00000000
-5.88594297,7.51004931,0.83513669,1.12086456,0.01896922,0.39660016,2.65450792,5.01199979,0.92269019,0.00000000
-5.87993997,7.54442021,0.88810203,1.11849380,0.01878718,0.38798945,2.66144240,5.02293303,0.96303359,0.00000000
-5.87393697,7.61064049,0.94367651,1.12853374,0.01862310,0.38130951,2.68080763,5.04803883,1.00564910,0.00000000
-5.86793397,7.70713520,1.00115075,1.15050460,0.01847414,0.37647029,2.71131724,5.08692692,1.05002767,0.00000000
-5.86193097,7.83168823,1.05970212,1.18385381,0.01833747,0.37333154,2.75134426,5.13880076,1.09558314,0.00000000
-5.85592796,7.98151658,1.11841177,1.22797374,0.01821031,0.37170865,2.79897655,5.20249097,1.14166352,0.00000000
-5.84992496,8.15336420,1.17628645,1.28221850,0.01809016,0.37137988,2.85208156,5.27650371,1.18756568,0.00000000
-5.84392196,8.34361204,1.23228439,1.34591920,0.01797489,0.37209465,2.90837821,5.35908219,1.23255321,0.00000000
-5.83791896,8.54839971,1.28534436,1.41839714,0.01786291,0.37358271,2.96551334,5.44827856,1.27587665,0.00000000
-5.83191596,8.76375365,1.33441696,1.49897428,0.01775326,0.37556369,3.02113985,5.54203294,1.31679541,0.00000000
-5.82591296,8.98571625,1.37849663,1.58698052,0.01764577,0.37775688,3.07299379,5.63825596,1.35460058,0.00000000
-5.81990995,9.21047009,1.41665337,1.68175757,0.01754116,0.37989069,3.11896744,5.73491104,1.38863734,0.00000000
-5.81390695,9.43445154,1.44806246,1.78265899,0.01744109,0.38171152,3.15717554,5.83009223,1.41832626,0.00000000
-5.80790395,9.65444865,1.47203117,1.88904661,0.01734818,0.38299181,3.18601232,5.92209421,1.44318222,0.00000000
-5.80190095,9.86767858,1.48802095,2.00028328,0.01726606,0.38353674,3.20419700,6.00947075,1.46283007,0.00000000
-5.79589795,10.07184125,1.49566443,2.11572245,0.01719922,0.38318962,3.21080606,6.09107906,1.47701630,0.00000000
-5.78989495,10.26514680,1.49477612,2.23469522,0.01715295,0.38183559,3.20529123,6.16610777,1.48561606,0.00000000
-5.78389195,10.44631620,1.48535668,2.35649566,0.01713311,0.37940362,3.18748264,6.23408747,1.48863517,0.00000000
-5.77788894,10.61455545,1.46759039,2.48036540,0.01714591,0.37586679,3.15757717,6.29488337,1.48620700,0.00000000
-5.77188594,10.76950576,1.44183611,2.60547880,0.01719756,0.37124087,3.11611303,6.34867080,1.47858445,0.00000000
-5.76588294,10.91117294,1.40861228,2.73092989,0.01729398,0.36558135,3.06393183,6.39589508,1.46612745,0.00000000
-5.75987994,11.03984095,1.36857672,2.85572253,0.01744039,0.35897908,3.00213029,6.43721812,1.44928655,0.00000000
-5.75387694,11.15597491,1.32250218,2.97876488,0.01764092,0.35155491,2.93200399,6.47345486,1.42858365,0.00000000
-5.74787394,11.26011999,1.27124907,3.09886947,0.01789826,0.34345339,2.85498601,6.50550310,1.40459071,0.00000000
-5.74187094,11.35280228,1.21573643,3.21475959,0.01821333,0.33483603,2.77258344,6.53427075,1.37790758,0.00000000
-5.73586793,11.43443777,1.15691262,3.32508271,0.01858495,0.32587446,2.68631479,6.56060425,1.34914013,0.00000000
-5.72986493,11.50525517,1.09572690,3.42843084,0.01900967,0.31674361,2.59765118,6.58522242,1.31887956,0.00000000
-5.72386193,11.56523683,1.03310314,3.52336782,0.01948169,0.30761537,2.50796381,6.60865893,1.28768401,0.00000000
-5.71785893,11.61408157,0.96991656,3.60846255,0.01999278,0.29865290,2.41847999,6.63121669,1.25606309,0.00000000
-5.71185593,11.65119113,0.90697421,3.68232723,0.02053249,0.29000578,2.33024929,6.65293639,1.22446597,0.00000000
-5.70585293,11.67568105,0.84499984,3.74365882,0.02108835,0.28180610,2.24412086,6.67358081,1.19327332,0.00000000
-5.69984992,11.68641482,0.78462320,3.79128199,0.02164623,0.27416559,2.16073232,6.69263552,1.16279333,0.00000000
-5.69384692,11.68205916,0.72637389,3.82419148,0.02219082,0.26717376,2.08051000,6.70932595,1.13326150,0.00000000
-5.68784392,11.66115675,0.67067953,3.84159155,0.02270622,0.26089706,2.00367976,6.72264957,1.10484397,0.00000000
-5.68184092,11.62221184,0.61786776,3.84293063,0.02317651,0.25537885,1.93028693,6.73142159,1.07764397,0.00000000
-5.67583792,11.56378364,0.56817152,3.82792898,0.02358647,0.25064023,1.86022386,6.73433145,1.05171055,0.00000000
-5.66983492,11.48458175,0.52173699,3.79659793,0.02392224,0.24668136,1.79326283,6.73000725,1.02704903,0.00000000
-5.66383192,11.38355823,0.47863343,3.74924924,0.02417196,0.24348339,1.72909227,6.71708474,1.00363236,0.00000000
-5.65782891,11.25999093,0.43886422,3.68649412,0.02432641,0.24101053,1.66735400,6.69427709,0.98141262,0.00000000
-5.65182591,11.11355346,0.40237832,3.60923151,0.02437947,0.23921244,1.60767942,6.66044228,0.96033199,0.00000000
-5.64582291,10.94436815,0.36908179,3.51862602,0.02432859,0.23802653,1.54972273,6.61464448,0.94033258,0.00000000
-5.63981991,10.75303922,0.33884858,3.41607652,0.02417502,0.23738033,1.49318958,6.55620654,0.92136468,0.00000000
-5.63381691,10.54066454,0.31153037,3.30317667,0.02392395,0.23719370,1.43785995,6.48475129,0.90339305,0.00000000
-5.62781391,10.30882578,0.28696511,3.18166919,0.02358451,0.23738081,1.38360442,6.40022959,0.88640108,0.00000000
-5.62181091,10.05955765,0.26498422,3.05339584,0.02316951,0.23785208,1.33039348,6.30293418,0.87039280,0.00000000
-5.61580790,9.79529802,0.24541823,2.92024548,0.02269520,0.23851586,1.27830004,6.19349893,0.85539282,0.00000000
-5.60980490,9.51882191,0.22810103,2.78410218,0.02218070,0.23927998,1.22749530,6.07288364,0.84144438,0.00000000
-5.60380190,9.23316244,0.21287284,2.64679575,0.02164745,0.24005317,1.17823904,5.94234569,0.82860594,0.00000000
-5.59779890,8.94152300,0.19958206,2.51005640,0.02111849,0.24074637,1.13086515,5.80339986,0.81694655,0.00000000
-5.59179590,8.64718451,0.18808615,2.37547531,0.02061772,0.24127404,1.08576358,5.65776866,0.80654042,0.00000000
-5.58579290,8.35341209,0.17825186,2.24447216,0.02016901,0.24155533,1.04336009,5.50732547,0.79746121,0.00000000
-5.57978989,8.06336505,0.16995497,2.11827068,0.01979544,0.24151532,1.00409486,5.35403329,0.78977630,0.00000000
-5.57378689,7.78001367,0.16307971,1.99788237,0.01951846,0.24108611,0.96840143,5.19988184,0.78354151,0.00000000
-5.56778389,7.50606586,0.15751810,1.88409859,0.01935711,0.24020799,0.93668682,5.04682567,0.77879643,0.00000000
-5.56178089,7.24390615,0.15316932,1.77749057,0.01932737,0.23883049,0.90931381,4.89672587,0.77556066,0.00000000
-5.55577789,6.99554850,0.14993911,1.67841668,0.01944153,0.23691335,0.88658617,4.75129763,0.77383110,0.00000000
-5.54977489,6.76260419,0.14773948,1.58703595,0.01970779,0.23442739,0.86873718,4.61206529,0.77358032,0.00000000
-5.54377189,6.54626486,0.14648850,1.50332693,0.02012989,0.23135515,0.85592184,4.48032667,0.77475597,0.00000000
-5.53776888,6.34730056,0.14611042,1.42711049,0.02070697,0.22769145,0.84821276,4.35712716,0.77728130,0.00000000
-5.53176588,6.16607181,0.14653587,1.35807554,0.02143360,0.22344362,0.84559961,4.24324445,0.78105652,0.00000000
-5.52576288,6.00255450,0.14770233,1.29580636,0.02229992,0.21863145,0.84799193,4.13918359,0.78596100,0.00000000
-5.51975988,5.85637584,0.14955461,1.23981054,0.02329198,0.21328699,0.85522486,4.04518219,0.79185601,0.00000000
-5.51375688,5.72685942,0.15204543,1.18954655,0.02439226,0.20745385,0.86706716,3.96122478,0.79858808,0.00000000
