energy_ev,total_up,In_p_up,In_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,1.63372685,0.03867492,0.00520730,1.44031022,0.68140617,0.62904326,0.00000000
-5.99399700,1.55763983,0.03762131,0.00487743,1.37086740,0.65372178,0.60530495,0.00000000
-5.98799400,1.47878124,0.03655804,0.00455167,1.29844871,0.62478216,0.57945917,0.00000000
-5.98199100,1.39816744,0.03552067,0.00423334,1.22399216,0.59499881,0.55183150,0.00000000
-5.97598799,1.31680486,0.03454552,0.00392548,1.14842436,0.56478583,0.52277284,0.00000000
-5.96998499,1.23567140,0.03366905,0.00363074,1.07264230,0.53455204,0.49265110,0.00000000
-5.96398199,1.15569897,0.03292734,0.00335139,0.99749647,0.50469335,0.46184216,0.00000000
-5.95797899,1.07775754,0.03235543,0.00308928,0.92377617,0.47558559,0.43072073,0.00000000
-5.95197599,1.00264117,0.03198682,0.00284583,0.85219699,0.44757804,0.39965124,0.00000000
-5.94597299,0.93105640,0.03185288,0.00262204,0.78339088,0.42098785,0.36897928,0.00000000
-5.93996998,0.86361313,0.03198234,0.00241848,0.71789900,0.39609544,0.33902384,0.00000000
-5.93396698,0.80081840,0.03240075,0.00223533,0.65616739,0.37314123,0.31007069,0.00000000
-5.92796398,0.74307303,0.03312999,0.00207239,0.59854547,0.35232347,0.28236705,0.00000000
-5.92196098,0.69067118,0.03418782,0.00192911,0.54528731,0.33379751,0.25611794,0.00000000
-5.91595798,0.64380271,0.03558748,0.00180464,0.49655546,0.31767620,0.23148394,0.00000000
-5.90995498,0.60255822,0.03733730,0.00169785,0.45242701,0.30403154,0.20858072,0.00000000
-5.90395198,0.56693635,0.03944039,0.00160744,0.41290175,0.29289733,0.18748006,0.00000000
-5.89794897,0.53685301,0.04189444,0.00153189,0.37791176,0.28427268,0.16821228,0.00000000
-5.89194597,0.51215226,0.04469159,0.00146962,0.34733218,0.27812619,0.15076994,0.00000000
-5.88594297,0.49261813,0.04781838,0.00141897,0.32099275,0.27440052,0.13511251,0.00000000
-5.87993997,0.47798708,0.05125592,0.00137828,0.29868948,0.27301721,0.12117177,0.00000000
-5.87393697,0.46796063,0.05498013,0.00134594,0.28019623,0.27388146,0.10885773,0.00000000
-5.86793397,0.46221763,0.05896219,0.00132042,0.26527571,0.27688669,0.09806467,0.00000000
-5.86193097,0.46042586,0.06316911,0.00130035,0.25368956,0.28191870,0.08867723,0.00000000
-5.85592796,0.46225257,0.06756454,0.00128449,0.24520724,0.28885936,0.08057616,0.00000000
-5.84992496,0.46737380,0.07210964,0.00127181,0.23961364,0.29758956,0.07364361,0.00000000
-5.84392196,0.47548209,0.07676421,0.00126150,0.23671497,0.30799158,0.06776784,0.00000000
-5.83791896,0.48629270,0.08148781,0.00125293,0.23634326,0.31995066,0.06284715,0.00000000
-5.83191596,0.49954809,0.08624104,0.00124573,0.23835906,0.33335594,0.05879301,0.00000000
-5.82591296,0.51502077,0.09098680,0.00123972,0.24265264,0.34810073,0.05553235,0.00000000
-5.81990995,0.53251455,0.09569150,0.00123491,0.24914369,0.36408219,0.05300896,0.00000000
-5.81390695,0.55186428,0.10032626,0.00123150,0.25777962,0.38120064,0.05118405,0.00000000
-5.80790395,0.57293432,0.10486785,0.00122982,0.26853256,0.39935847,0.05003602,0.00000000
-5.80190095,0.59561576,0.10929953,0.00123033,0.28139544,0.41845888,0.04955946,0.00000000
-5.79589795,0.61982264,0.11361152,0.00123356,0.29637694,0.43840449,0.04976349,0.00000000
-5.78989495,0.64548748,0.11780124,0.00124010,0.31349590,0.45909608,0.05066945,0.00000000
-5.78389195,0.67255608,0.12187320,0.00125055,0.33277499,0.48043144,0.05230815,0.00000000
-5.77788894,0.70098194,0.12583851,0.00126549,0.35423407,0.50230445,0.05471664,0.00000000
-5.77188594,0.73072052,0.12971410,0.00128547,0.37788333,0.52460449,0.05793465,0.00000000
-5.76588294,0.76172337,0.13352150,0.00131094,0.40371628,0.54721624,0.06200083,0.00000000
-5.75987994,0.79393241,0.13728548,0.00134228,0.43170293,0.57001981,0.06694887,0.00000000
-5.75387694,0.82727454,0.14103230,0.00137977,0.46178329,0.59289127,0.07280366,0.00000000
-5.74787394,0.86165670,0.14478795,0.00142355,0.49386135,0.61570352,0.07957746,0.00000000
-5.74187094,0.89696158,0.14857616,0.00147365,0.52779984,0.63832752,0.08726650,0.00000000
-5.73586793,0.93304416,0.15241657,0.00152998,0.56341594,0.66063375,0.09584784,0.00000000
-5.72986493,0.96972928,0.15632290,0.00159232,0.60047826,0.68249392,0.10527686,0.00000000
-5.72386193,1.00681038,0.16030142,0.00166034,0.63870527,0.70378291,0.11548532,0.00000000
-5.71785893,1.04404968,0.16434973,0.00173361,0.67776549,0.72438086,0.12638035,0.00000000
-5.71185593,1.08117982,0.16845588,0.00181160,0.71727954,0.74417542,0.13784417,0.00000000
-5.70585293,1.11790729,0.17259803,0.00189373,0.75682437,0.76306417,0.14973493,0.00000000
-5.69984992,1.15391756,0.17674465,0.00197936,0.79593960,0.78095726,0.16188847,0.00000000
-5.69384692,1.18888211,0.18085520,0.00206782,0.83413615,0.79778020,0.17412118,0.00000000
-5.68784392,1.22246722,0.18488141,0.00215845,0.87090690,0.81347686,0.18623375,0.00000000
-5.68184092,1.25434440,0.18876911,0.00225060,0.90573929,0.82801275,0.19801594,0.00000000
-5.67583792,1.28420236,0.19246046,0.00234371,0.93812956,0.84137846,0.20925198,0.00000000
-5.66983492,1.31175994,0.19589661,0.00243726,0.96759805,0.85359327,0.21972662,0.00000000
-5.66383192,1.33677984,0.19902055,0.00253089,0.99370509,0.86470883,0.22923150,0.00000000
-5.65782891,1.35908234,0.20178016,0.00262435,1.01606690,0.87481277,0.23757164,0.00000000
-5.65182591,1.37855856,0.20413114,0.00271758,1.03437067,0.88403207,0.24457166,0.00000000
-5.64582291,1.39518257,0.20603977,0.00281074,1.04838813,0.89253594,0.25008169,0.00000000
-5.63981991,1.40902154,0.20748534,0.00290419,1.05798703,0.90053805,0.25398245,0.00000000
-5.63381691,1.42024338,0.20846201,0.00299856,1.06313965,0.90829770,0.25618937,0.00000000
-5.62781391,1.42912119,0.20898011,0.00309472,1.06392798,0.91611979,0.25665564,0.00000000
-5.62181091,1.43603416,0.20906664,0.00319381,1.06054512,0.92435330,0.25537385,0.00000000
-5.61580790,1.44146430,0.20876500,0.00329726,1.05329258,0.93338807,0.25237635,0.00000000
-5.60980490,1.44598921,0.20813397,0.00340671,1.04257362,0.94364979,0.24773410,0.00000000
-5.60380190,1.45027054,0.20724585,0.00352408,1.02888258,0.95559311,0.24155428,0.00000000
-5.59779890,1.45503872,0.20618396,0.00365147,1.01279079,0.96969296,0.23397658,0.00000000
-5.59179590,1.46107421,0.20503949,0.00379115,0.99492937,0.98643419,0.22516849,0.00000000
-5.58579290,1.46918600,0.20390809,0.00394553,0.97596990,1.00629986,0.21531974,0.00000000
-5.57978989,1.48018821,0.20288605,0.00411707,0.95660354,1.02975845,0.20463612,0.00000000
