energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,2.42326290,0.87510717,0.85241464,0.05281347,0.21118862,0.16101671,0.07205623,0.08489859,1.17873629
-5.99399700,2.26369364,0.80327387,0.78974462,0.05113188,0.19477069,0.14816372,0.07016700,0.07936552,1.10705720
-5.98799400,2.10646589,0.73473408,0.72896533,0.04921431,0.17897607,0.13591876,0.06799577,0.07386591,1.03561111
-5.98199100,1.95258352,0.66971747,0.67037892,0.04708933,0.16389787,0.12429475,0.06556224,0.06844486,0.96489166
-5.97598799,1.80302472,0.60842583,0.61426065,0.04478934,0.14962011,0.11330315,0.06289558,0.06314474,0.89539838
-5.96998499,1.65872321,0.55102949,0.56085568,0.04234963,0.13621658,0.10295371,0.06003307,0.05800459,0.82762550
-5.96398199,1.52055176,0.49766513,0.51037673,0.03980737,0.12375006,0.09325413,0.05701855,0.05305961,0.76205144
-5.95797899,1.38930822,0.44843504,0.46300277,0.03720052,0.11227193,0.08420996,0.05390072,0.04834083,0.69912925
-5.95197599,1.26570413,0.40340761,0.41887852,0.03456687,0.10182215,0.07582446,0.05073137,0.04387480,0.63927828
-5.94597299,1.15035614,0.36261894,0.37811470,0.03194305,0.09242939,0.06809865,0.04756367,0.03968357,0.58287722
-5.93996998,1.04378001,0.32607529,0.34078893,0.02936362,0.08411142,0.06103135,0.04445041,0.03578460,0.53025855
-5.93396698,0.94638736,0.29375620,0.30694719,0.02686041,0.07687565,0.05461941,0.04144251,0.03219085,0.48170462
-5.92796398,0.85848484,0.26561825,0.27660573,0.02446181,0.07071965,0.04885795,0.03858758,0.02891096,0.43744527
-5.92196098,0.78027588,0.24159897,0.24975340,0.02219237,0.06563180,0.04374077,0.03592876,0.02594944,0.39765709
-5.91595798,0.71186454,0.22162112,0.22635429,0.02007246,0.06159197,0.03926081,0.03350379,0.02330700,0.36246411
-5.90995498,0.65326152,0.20559699,0.20635069,0.01811814,0.05857211,0.03541078,0.03134436,0.02098083,0.33194003
-5.90395198,0.60439206,0.19343277,0.18966627,0.01634117,0.05653692,0.03218384,0.02947563,0.01896502,0.30611172
-5.89794897,0.56510539,0.18503281,0.17620945,0.01474910,0.05544453,0.02957439,0.02791612,0.01725094,0.28496381
-5.89194597,0.53518564,0.18030379,0.16587698,0.01334558,0.05524720,0.02757899,0.02667778,0.01582767,0.26844438
-5.88594297,0.51436378,0.17915877,0.15855754,0.01213064,0.05589213,0.02619732,0.02576626,0.01468242,0.25647126
-5.87993997,0.50233039,0.18152086,0.15413548,0.01110119,0.05732227,0.02543317,0.02518139,0.01380097,0.24893890
-5.87393697,0.49874875,0.18732670,0.15249448,0.01025141,0.05947736,0.02529551,0.02491782,0.01316809,0.24572550
-5.86793397,0.50326807,0.19652939,0.15352110,0.00957331,0.06229509,0.02579953,0.02496576,0.01276799,0.24670007
-5.86193097,0.51553626,0.20910086,0.15710812,0.00905723,0.06571228,0.02696763,0.02531181,0.01258460,0.25172925
-5.85592796,0.53521189,0.22503353,0.16315757,0.00869229,0.06966642,0.02883036,0.02593983,0.01260204,0.26068351
-5.84992496,0.56197488,0.24434103,0.17158323,0.00846694,0.07409709,0.03142719,0.02683182,0.01280482,0.27344250
-5.84392196,0.59553539,0.26705782,0.18231261,0.00836928,0.07894770,0.03480718,0.02796872,0.01317815,0.28989929
-5.83791896,0.63564057,0.29323762,0.19528818,0.00838754,0.08416704,0.03902941,0.02933125,0.01370808,0.30996323
-5.83191596,0.68207869,0.32295030,0.21046773,0.00851031,0.08971097,0.04416313,0.03090054,0.01438167,0.33356133
-5.82591296,0.73468031,0.35627744,0.22782384,0.00872682,0.09554393,0.05028767,0.03265872,0.01518698,0.36063782
-5.81990995,0.79331629,0.39330616,0.24734233,0.00902710,0.10164025,0.05749197,0.03458933,0.01611309,0.39115206
-5.81390695,0.85789252,0.43412155,0.26901960,0.00940209,0.10798523,0.06587379,0.03667756,0.01715000,0.42507458
-5.80790395,0.92834132,0.47879767,0.29285911,0.00984369,0.11457581,0.07553844,0.03891043,0.01828841,0.46238145
-5.80190095,1.00460980,0.52738740,0.31886673,0.01034472,0.12142089,0.08659718,0.04127663,0.01951958,0.50304713
-5.79589795,1.08664557,0.57991147,0.34704543,0.01089884,0.12854108,0.09916514,0.04376639,0.02083498,0.54703608
-5.78989495,1.17438019,0.63634716,0.37738925,0.01150043,0.13596794,0.11335879,0.04637112,0.02222602,0.59429344
-5.78389195,1.26771130,0.69661704,0.40987692,0.01214446,0.14374277,0.12929296,0.04908295,0.02368369,0.64473540
-5.77788894,1.36648415,0.76057857,0.44446537,0.01282626,0.15191468,0.14707751,0.05189419,0.02519830,0.69823948
-5.77188594,1.47047354,0.82801493,0.48108344,0.01354134,0.16053831,0.16681358,0.05479677,0.02675910,0.75463564
-5.76588294,1.57936713,0.89862791,0.51962612,0.01428522,0.16967102,0.18858945,0.05778169,0.02835411,0.81369841
-5.75987994,1.69275127,0.97203333,0.55994967,0.01505322,0.17936969,0.21247620,0.06083844,0.02996988,0.87514092
-5.75387694,1.81010009,1.04775942,0.60186791,0.01584031,0.18968734,0.23852318,0.06395462,0.03159142,0.93861102
-5.74787394,1.93076894,1.12524872,0.64514986,0.01664097,0.20066949,0.26675338,0.06711555,0.03320222,1.00369018
-5.74187094,2.05399256,1.20386354,0.68951915,0.01744912,0.21235061,0.29715886,0.07030419,0.03478434,1.06989519
