energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.52549011,-2.31486397,0.70315565,-1.20097978,0.30207858,-0.28946962,0.01964023,-0.03042855,0.36636370,-0.67782342,0.00349044,-0.00608679,0.35144198,-0.55686054
-5.99399700,1.46779629,-2.18603232,0.68375406,-1.12871396,0.28936380,-0.27518721,0.01877430,-0.02923759,0.35180814,-0.63723826,0.00318224,-0.00537203,0.34013117,-0.53008478
-5.98799400,1.40743172,-2.06442579,0.66421782,-1.06114954,0.27581523,-0.26148728,0.01783754,-0.02803045,0.33633809,-0.59948026,0.00295154,-0.00478496,0.32868888,-0.50407612
-5.98199100,1.34565872,-1.94975790,0.64521789,-0.99815090,0.26166714,-0.24834430,0.01684693,-0.02680872,0.32022170,-0.56442675,0.00279933,-0.00432174,0.31746229,-0.47882846
-5.97598799,1.28379778,-1.84177271,0.62744415,-0.93957988,0.24716566,-0.23573667,0.01582014,-0.02557476,0.30373977,-0.53195198,0.00272661,-0.00397836,0.30681452,-0.45435933
-5.96998499,1.22319322,-1.74027341,0.61158648,-0.88531719,0.23256250,-0.22364975,0.01477495,-0.02433181,0.28717841,-0.50193864,0.00273442,-0.00375076,0.29711531,-0.43071254
-5.96398199,1.16517812,-1.64514361,0.59831538,-0.83527994,0.21810860,-0.21207816,0.01372878,-0.02308408,0.27082168,-0.47428715,0.00282398,-0.00363496,0.28873115,-0.40795927
-5.95797899,1.11103967,-1.55636063,0.58826280,-0.78943457,0.20404799,-0.20102713,0.01269823,-0.02183671,0.25494439,-0.44892245,0.00299663,-0.00362708,0.28201524,-0.38619750
-5.95197599,1.06198627,-1.47400084,0.58200396,-0.74780494,0.19061214,-0.19051301,0.01169866,-0.02059574,0.23980549,-0.42579799,0.00325383,-0.00372332,0.27729772,-0.36554996
-5.94597299,1.01911731,-1.39823704,0.58004072,-0.71047550,0.17801488,-0.18056284,0.01074388,-0.01936806,0.22564227,-0.40489714,0.00359707,-0.00391990,0.27487616,-0.34616064
-5.93996998,0.98339663,-1.32932864,0.58278720,-0.67758950,0.16644818,-0.17121315,0.00984584,-0.01816120,0.21266544,-0.38623189,0.00402774,-0.00421298,0.27500687,-0.32819017
-5.93396698,0.95563038,-1.26760553,0.59055833,-0.64934286,0.15607866,-0.16250802,0.00901445,-0.01698320,0.20105545,-0.36983934,0.00454698,-0.00459847,0.27789710,-0.31181029
-5.92796398,0.93645001,-1.21344665,0.60356170,-0.62597395,0.14704511,-0.15449665,0.00825750,-0.01584240,0.19095996,-0.35577614,0.00515545,-0.00507187,0.28369842,-0.29719752
-5.92196098,0.92630069,-1.16725479,0.62189326,-0.60775008,0.13945698,-0.14723041,0.00758058,-0.01474723,0.18249269,-0.34411137,0.00585317,-0.00562811,0.29250159,-0.28452652
-5.91595798,0.92543558,-1.12942890,0.64553710,-0.59495126,0.13339373,-0.14075980,0.00698714,-0.01370595,0.17573346,-0.33491848,0.00663929,-0.00626136,0.30433289,-0.27396317
-5.90995498,0.93391603,-1.10033546,0.67436960,-0.58785230,0.12890520,-0.13513131,0.00647854,-0.01272651,0.17072962,-0.32826649,0.00751187,-0.00696485,0.31915231,-0.26565785
