energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,4.23191274,0.15768632,0.18852457,1.32706519,0.46270933,2.12759993,0.00000000,0.89580655,0.93516235
-5.99399700,4.23501466,0.15568949,0.19168290,1.33744387,0.46178199,2.12668838,0.00000000,0.90514468,0.92789936
-5.98799400,4.22839427,0.15319298,0.19448160,1.34373965,0.45979383,2.12078662,0.00000000,0.91244987,0.91841062
-5.98199100,4.21205861,0.15021665,0.19686261,1.34571657,0.45675285,2.10998424,0.00000000,0.91750095,0.90687370
-5.97598799,4.18616612,0.14678813,0.19877506,1.34322121,0.45268337,2.09444688,0.00000000,0.92012008,0.89348978
-5.96998499,4.15103439,0.14294305,0.20017663,1.33618970,0.44762692,2.07441837,0.00000000,0.92018157,0.87848086
-5.96398199,4.10714416,0.13872502,0.20103466,1.32465209,0.44164260,2.05022116,0.00000000,0.91761927,0.86208702
-5.95797899,4.05513910,0.13418534,0.20132713,1.30873387,0.43480689,2.02225476,0.00000000,0.91243220,0.84456366
-5.95197599,3.99582108,0.12938242,0.20104334,1.28865462,0.42721288,1.99099225,0.00000000,0.90468814,0.82617863
-5.94597299,3.93014056,0.12438099,0.20018427,1.26472373,0.41896892,1.95697442,0.00000000,0.89452494,0.80720934
-5.93996998,3.85918218,0.11925099,0.19876275,1.23733335,0.41019671,1.92080163,0.00000000,0.88214940,0.78793956
-5.93396698,3.78414537,0.11406626,0.19680322,1.20694877,0.40102894,1.88312338,0.00000000,0.86783370,0.76865595
-5.92796398,3.70632056,0.10890304,0.19434127,1.17409659,0.39160642,1.84462568,0.00000000,0.85190932,0.74964422
-5.92196098,3.62706124,0.10383831,0.19142276,1.13935103,0.38207496,1.80601643,0.00000000,0.83475874,0.73118485
-5.91595798,3.54775274,0.09894812,0.18810271,1.10331884,0.37258193,1.76800922,0.00000000,0.81680502,0.71354845
-5.90995498,3.46977859,0.09430576,0.18444388,1.06662342,0.36327280,1.73130598,0.00000000,0.79849964,0.69699070
-5.90395198,3.39448553,0.08998012,0.18051509,1.02988852,0.35428760,1.69657901,0.00000000,0.78030901,0.68174709
-5.89794897,3.32314838,0.08603400,0.17638934,0.99372226,0.34575753,1.66445316,0.00000000,0.76270014,0.66802762
-5.89194597,3.25693624,0.08252269,0.17214176,0.95870177,0.33780185,1.63548860,0.00000000,0.74612592,0.65601158
-5.88594297,3.19688110,0.07949268,0.16784751,0.92535930,0.33052507,1.61016530,0.00000000,0.73101061,0.64584280
-5.87993997,3.14385037,0.07698061,0.16357966,0.89416979,0.32401463,1.58886944,0.00000000,0.71773611,0.63762556
-5.87393697,3.09852439,0.07501254,0.15940712,0.86554079,0.31833911,1.57188282,0.00000000,0.70662948,0.63142149
-5.86793397,3.06138008,0.07360346,0.15539278,0.83980456,0.31354696,1.55937549,0.00000000,0.69795228,0.62724763
-5.86193097,3.03268130,0.07275719,0.15159182,0.81721293,0.30966597,1.55140223,0.00000000,0.69189209,0.62507600
-5.85592796,3.01247661,0.07246650,0.14805036,0.79793477,0.30670323,1.54790294,0.00000000,0.68855658,0.62483467
-5.84992496,3.00060446,0.07271362,0.14480450,0.78205627,0.30464581,1.54870717,0.00000000,0.68797045,0.62641059
-5.84392196,2.99670572,0.07347104,0.14187971,0.76958375,0.30346197,1.55354257,0.00000000,0.69007523,0.62965391
