energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,3.47658584,0.00563125,0.71546443,0.36926700,1.78823497,1.72886471,0.00932090,0.86752473
-5.99399700,3.46603763,0.00545542,0.71312804,0.36697978,1.81376404,1.71153119,0.00996472,0.86998409
-5.98799400,3.45190309,0.00527074,0.70962067,0.36511017,1.83945498,1.69048088,0.01070651,0.87256069
-5.98199100,3.43574789,0.00508083,0.70532603,0.36380321,1.86611596,1.66657410,0.01155342,0.87552960
-5.97598799,3.41915895,0.00488912,0.70064394,0.36318439,1.89456943,1.64070999,0.01251112,0.87915226
-5.96998499,3.40369946,0.00469877,0.69597654,0.36335760,1.92562694,1.61379877,0.01358358,0.88367243
-5.96398199,3.39086323,0.00451260,0.69171377,0.36440376,1.96006280,1.58673308,0.01477274,0.88931248
-5.95797899,3.38202959,0.00433304,0.68821902,0.36637992,1.99858725,1.56035952,0.01607829,0.89626976
-5.95197599,3.37842041,0.00416214,0.68581523,0.36931884,2.04182017,1.53545144,0.01749749,0.90471319
-5.94597299,3.38106055,0.00400149,0.68477228,0.37322905,2.09026606,1.51268390,0.01902499,0.91477986
-5.93996998,3.39074344,0.00385228,0.68529614,0.37809526,2.14429140,1.49261208,0.02065278,0.92657175
-5.93396698,3.40800272,0.00371527,0.68752021,0.38387906,2.20410510,1.47565366,0.02237014,0.94015251
-5.92796398,3.43309158,0.00359084,0.69149942,0.39052002,2.26974313,1.46207624,0.02416372,0.95554452
-5.92196098,3.46597029,0.00347902,0.69720717,0.39793691,2.34105776,1.45199008,0.02601768,0.97272620
-5.91595798,3.50630295,0.00337952,0.70453555,0.40602929,2.41771227,1.44534661,0.02791390,0.99162985
-5.90995498,3.55346350,0.00329181,0.71329865,0.41467926,2.49918120,1.44194283,0.02983229,1.01214010
-5.90395198,3.60655117,0.00321511,0.72323888,0.42375347,2.58475656,1.44143120,0.03175113,1.03409320
-5.89794897,3.66441479,0.00314850,0.73403617,0.43310532,2.67355961,1.44333491,0.03364753,1.05727727
-5.89194597,3.72568515,0.00309094,0.74531949,0.44257735,2.76455811,1.44706761,0.03549789,1.08143363
-5.88594297,3.78881448,0.00304132,0.75668027,0.45200385,2.85658826,1.45195694,0.03727841,1.10625936
-5.87993997,3.85212130,0.00299852,0.76768711,0.46121359,2.94838066,1.45727074,0.03896563,1.13141111
-5.87393697,3.91383917,0.00296141,0.77790117,0.47003268,3.03858936,1.46224486,0.04053698,1.15651008
-5.86793397,3.97216758,0.00292895,0.78689152,0.47828751,3.12582285,1.46611145,0.04197126,1.18114828
-5.86193097,4.02532287,0.00290015,0.79424980,0.48580772,3.20867600,1.46812650,0.04324916,1.20489579
-5.85592796,4.07158766,0.00287417,0.79960363,0.49242917,3.28576191,1.46759556,0.04435369,1.22730898
-5.84992496,4.10935695,0.00285027,0.80262822,0.49799684,3.35574259,1.46389676,0.04527054,1.24793948
-5.84392196,4.13717947,0.00282792,0.80305579,0.50236759,3.41735765,1.45650009,0.04598843,1.26634369
-5.83791896,4.15379314,0.00280672,0.80068245,0.50541277,3.46945035,1.44498263,0.04649932,1.28209258
-5.83191596,4.15815370,0.00278649,0.79537247,0.50702064,3.51099035,1.42903907,0.04679854,1.29478153
-5.82591296,4.14945620,0.00276726,0.78705986,0.50709855,3.54109302,1.40848760,0.04688490,1.30404009
-5.81990995,4.12714889,0.00274927,0.77574735,0.50557477,3.55903496,1.38327103,0.04676066,1.30954116
-5.81390695,4.09093995,0.00273298,0.76150317,0.50240007,3.56426581,1.35345362,0.04643145,1.31100965
-5.80790395,4.04079722,0.00271910,0.74445569,0.49754898,3.55641648,1.31921391,0.04590611,1.30823017
-5.80190095,3.97694171,0.00270858,0.72478653,0.49102061,3.53530392,1.28083427,0.04519649,1.30105365
-5.79589795,3.89983559,0.00270261,0.70272248,0.48283911,3.50093270,1.23868779,0.04431717,1.28940262
-5.78989495,3.81016545,0.00270265,0.67852669,0.47305373,3.45349356,1.19322332,0.04328515,1.27327508
-5.78389195,3.70882183,0.00271035,0.65248959,0.46173848,3.39335919,1.14494931,0.04211949,1.25274663
-5.77788894,3.59687564,0.00272762,0.62491983,0.44899121,3.32107736,1.09441724,0.04084098,1.22797096
-5.77188594,3.47555247,0.00275659,0.59613578,0.43493244,3.23736142,1.04220528,0.03947171,1.19917836
