energy_ev,total_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,0.74398502,0.39642064,0.00348982,0.00023074,0.14590995,0.36484065,0.30235944
-5.99399700,0.68879428,0.36900908,0.00338396,0.00021447,0.12953587,0.33687600,0.28004071
-5.98799400,0.64325749,0.34682579,0.00332862,0.00020118,0.11485897,0.31359590,0.26164251
-5.98199100,0.60753992,0.32995648,0.00332507,0.00019092,0.10190406,0.29508781,0.24723113
-5.97598799,0.58161195,0.31838098,0.00337361,0.00018370,0.09066198,0.28134519,0.23679323
-5.96998499,0.56526185,0.31197917,0.00347356,0.00017948,0.08109424,0.27227422,0.23024093
-5.96398199,0.55811032,0.31053797,0.00362327,0.00017814,0.07313797,0.26770140,0.22741759
-5.95797899,0.55962629,0.31375893,0.00382017,0.00017952,0.06671087,0.26738167,0.22810418
-5.95197599,0.56914358,0.32126658,0.00406079,0.00018345,0.06171601,0.27100699,0.23202594
-5.94597299,0.58587835,0.33261720,0.00434086,0.00018968,0.05804630,0.27821521,0.23885945
-5.93996998,0.60894711,0.34730819,0.00465532,0.00019796,0.05558864,0.28859903,0.24823990
-5.93396698,0.63738550,0.36478804,0.00499845,0.00020798,0.05422753,0.30171525,0.25976872
-5.92796398,0.67016766,0.38446695,0.00536398,0.00021945,0.05384819,0.31709415,0.27302151
-5.92196098,0.70622639,0.40572811,0.00574518,0.00023203,0.05433923,0.33424900,0.28755628
-5.91595798,0.74447403,0.42793966,0.00613507,0.00024541,0.05559467,0.35268579,0.30292211
-5.90995498,0.78382379,0.45046725,0.00652647,0.00025925,0.05751558,0.37191292,0.31866795
-5.90395198,0.82321145,0.47268697,0.00691228,0.00027323,0.06001117,0.39145086,0.33435169
-5.89794897,0.86161687,0.49399848,0.00728555,0.00028704,0.06299943,0.41084158,0.34954917
-5.89194597,0.89808492,0.51383801,0.00763972,0.00030039,0.06640736,0.42965745,0.36386302
-5.88594297,0.93174512,0.53169077,0.00796875,0.00031301,0.07017078,0.44750938,0.37693099
-5.87993997,0.96182932,0.54710239,0.00826727,0.00032468,0.07423377,0.46405402,0.38843355
-5.87393697,0.98768677,0.55968896,0.00853069,0.00033519,0.07854782,0.47899946,0.39810041
-5.86793397,1.00879592,0.56914519,0.00875536,0.00034438,0.08307062,0.49210952,0.40571581
-5.86193097,1.02477241,0.57525039,0.00893855,0.00035214,0.08776468,0.50320615,0.41112209
-5.85592796,1.03537277,0.57787186,0.00907856,0.00035836,0.09259575,0.51216995,0.41422168
-5.84992496,1.04049381,0.57696567,0.00917467,0.00036302,0.09753114,0.51893879,0.41497715
-5.84392196,1.04016753,0.57257465,0.00922709,0.00036611,0.10253804,0.52350455,0.41340944
-5.83791896,1.03455186,0.56482370,0.00923693,0.00036765,0.10758190,0.52590814,0.40959426
-5.83191596,1.02391780,0.55391268,0.00920604,0.00036769,0.11262504,0.52623321,0.40365698
-5.82591296,1.00863342,0.54010720,0.00913694,0.00036632,0.11762548,0.52459874,0.39576608
-5.81990995,0.98914576,0.52372773,0.00903260,0.00036363,0.12253619,0.52115109,0.38612559
-5.81390695,0.96596141,0.50513759,0.00889637,0.00035973,0.12730470,0.51605579,0.37496693
-5.80790395,0.93962680,0.48473040,0.00873177,0.00035472,0.13187337,0.50948976,0.36254040
-5.80190095,0.91070923,0.46291751,0.00854236,0.00034873,0.13618004,0.50163414,0.34910689
-5.79589795,0.87977935,0.44011606,0.00833165,0.00034186,0.14015934,0.49266828,0.33493000
-5.78989495,0.84739601,0.41673801,0.00810294,0.00033420,0.14374445,0.48276507,0.32026909
-5.78389195,0.81409392,0.39318074,0.00785931,0.00032586,0.14686933,0.47208779,0.30537330
-5.77788894,0.78037449,0.36981934,0.00760349,0.00031692,0.14947136,0.46078859,0.29047687
-5.77188594,0.74670008,0.34700087,0.00733794,0.00030743,0.15149413,0.44900852,0.27579576
-5.76588294,0.71349138,0.32504057,0.00706476,0.00029746,0.15289040,0.43687887,0.26152565
-5.75987994,0.68112781,0.30422008,0.00678580,0.00028705,0.15362501,0.42452371,0.24784110
-5.75387694,0.64995030,0.28478725,0.00650266,0.00027625,0.15367748,0.41206310,0.23489587
-5.74787394,0.62026601,0.26695758,0.00621678,0.00026509,0.15304435,0.39961678,0.22282406
-5.74187094,0.59235414,0.25091670,0.00592949,0.00025359,0.15174096,0.38730785,0.21174193
-5.73586793,0.56647230,0.23682364,0.00564210,0.00024181,0.14980253,0.37526599,0.20175006
-5.72986493,0.54286257,0.22481447,0.00535594,0.00022978,0.14728463,0.36363004,0.19293562
-5.72386193,0.52175673,0.21500591,0.00507244,0.00021753,0.14426275,0.35254948,0.18537449
-5.71785893,0.50338007,0.20749861,0.00479314,0.00020512,0.14083117,0.34218472,0.17913306
-5.71185593,0.48795340,0.20237973,0.00451974,0.00019261,0.13710091,0.33270603,0.17426948
-5.70585293,0.47569301,0.19972460,0.00425407,0.00018007,0.13319709,0.32429106,0.17083428
-5.69984992,0.46680840,0.19959735,0.00399807,0.00016755,0.12925550,0.31712105,0.16887037
-5.69384692,0.46149794,0.20205039,0.00375382,0.00015514,0.12541868,0.31137587,0.16841222
-5.68784392,0.45994249,0.20712264,0.00352338,0.00014292,0.12183163,0.30722806,0.16948454
-5.68184092,0.46229744,0.21483679,0.00330882,0.00013096,0.11863719,0.30483621,0.17210029
-5.67583792,0.46868347,0.22519557,0.00311211,0.00011934,0.11597133,0.30433791,0.17625835
-5.66983492,0.47917652,0.23817727,0.00293505,0.00010814,0.11395855,0.30584269,0.18194088
-5.66383192,0.49379761,0.25373089,0.00277920,0.00009741,0.11270742,0.30942518,0.18911065
-5.65782891,0.51250298,0.27177102,0.00264578,0.00008722,0.11230659,0.31511893,0.19770842
-5.65182591,0.53517512,0.29217305,0.00253564,0.00007762,0.11282119,0.32291116,0.20765067
-5.64582291,0.56161544,0.31476881,0.00244922,0.00006865,0.11429002,0.33273866,0.21882779
-5.63981991,0.59153881,0.33934320,0.00238644,0.00006033,0.11672337,0.34448515,0.23110295
-5.63381691,0.62457067,0.36563200,0.00234677,0.00005267,0.12010175,0.35798029,0.24431172
-5.62781391,0.66024702,0.39332130,0.00232915,0.00004569,0.12437552,0.37300042,0.25826269
-5.62181091,0.69801752,0.42204859,0.00233204,0.00003937,0.12946543,0.38927107,0.27273898
-5.61580790,0.73725195,0.45140599,0.00235341,0.00003370,0.13526424,0.40647145,0.28750091
-5.60980490,0.77725000,0.48094539,0.00239083,0.00002865,0.14163909,0.42424056,0.30228964
-5.60380190,0.81725428,0.51018578,0.00244151,0.00002419,0.14843499,0.44218504,0.31683186
-5.59779890,0.85646642,0.53862250,0.00250235,0.00002029,0.15547893,0.45988850,0.33084533
-5.59179590,0.89406560,0.56573824,0.00257005,0.00001690,0.16258478,0.47692195,0.34404524
-5.58579290,0.92922924,0.59101551,0.00264121,0.00001399,0.16955872,0.49285520,0.35615110
-5.57978989,0.96115494,0.61395012,0.00271237,0.00001150,0.17620500,0.50726876,0.36689403
-5.57378689,0.98908304,0.63406522,0.00278020,0.00000939,0.18233191,0.51976582,0.37602411
-5.56778389,1.01231889,0.65092533,0.00284149,0.00000763,0.18775768,0.52998387,0.38331755
-5.56178089,1.03025391,0.66414974,0.00289332,0.00000617,0.19231612,0.53760562,0.38858342
-5.55577789,1.04238466,0.67342477,0.00293312,0.00000498,0.19586177,0.54236867,0.39166958
-5.54977489,1.04832897,0.67851425,0.00295872,0.00000402,0.19827435,0.54407361,0.39246764
-5.54377189,1.04783861,0.67926779,0.00296843,0.00000327,0.19946240,0.54259018,0.39091674
-5.53776888,1.04080771,0.67562647,0.00296109,0.00000271,0.19936586,0.53786130,0.38700578
-5.53176588,1.02727680,0.66762554,0.00293606,0.00000232,0.19795763,0.52990469,0.38077433
