energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up,W_p_up,W_d_up
-6.00000000,2.71106370,0.02267707,0.49598839,1.09762229,0.00000000,0.50984389,0.29575156,1.56266783,0.74106214
-5.99399700,2.66901205,0.02343029,0.48907258,1.07922444,0.00000000,0.50059563,0.28910372,1.56426589,0.73027515
-5.98799400,2.64860722,0.02434796,0.48668732,1.06841350,0.00000000,0.49417965,0.28491107,1.57794076,0.72743261
-5.98199100,2.64959409,0.02543025,0.48869812,1.06517577,0.00000000,0.49049651,0.28323877,1.60340271,0.73243583
-5.97598799,2.67149625,0.02667485,0.49492567,1.06942580,0.00000000,0.48943258,0.28412086,1.64022723,0.74509639
-5.96998499,2.71361976,0.02807663,0.50514888,1.08100532,0.00000000,0.49086156,0.28755796,1.68785756,0.76513681
-5.96398199,2.77505763,0.02962737,0.51910791,1.09968219,0.00000000,0.49464569,0.29351536,1.74560796,0.79219150
-5.95797899,2.85469536,0.03131556,0.53650755,1.12514943,0.00000000,0.50063663,0.30192136,1.81266799,0.82580831
-5.95197599,2.95121795,0.03312628,0.55702089,1.15702475,0.00000000,0.50867616,0.31266624,1.88810807,0.86545093
-5.94597299,3.06311914,0.03504120,0.58029319,1.19485080,0.00000000,0.51859665,0.32560184,1.97088689,0.91050237
-5.93996998,3.18871346,0.03703870,0.60594635,1.23809658,0.00000000,0.53022155,0.34054206,2.05986102,0.96026990
-5.93396698,3.32615174,0.03909411,0.63358366,1.28616030,0.00000000,0.54336582,0.35726419,2.15379708,1.01399161
-5.92796398,3.47344072,0.04118014,0.66279511,1.33837411,0.00000000,0.55783664,0.37551145,2.25138697,1.07084504
-5.92196098,3.62846717,0.04326730,0.69316317,1.39401079,0.00000000,0.57343429,0.39499652,2.35126615,1.12995780
-5.91595798,3.78902643,0.04532461,0.72426895,1.45229275,0.00000000,0.58995340,0.41540623,2.45203501,1.19042033
-5.90995498,3.95285555,0.04732029,0.75569865,1.51240315,0.00000000,0.60718456,0.43640730,2.55228312,1.25130075
-5.90395198,4.11767016,0.04922258,0.78705023,1.57349913,0.00000000,0.62491627,0.45765301,2.65061586,1.31166139
-5.89794897,4.28120448,0.05100059,0.81793998,1.63472682,0.00000000,0.64293734,0.47879066,2.74568265,1.37057676
-5.89194597,4.44125323,0.05262514,0.84800891,1.69523768,0.00000000,0.66103940,0.49946948,2.83620595,1.42715232
-5.88594297,4.59571393,0.05406966,0.87692858,1.75420564,0.00000000,0.67901971,0.51934888,2.92100986,1.48054349
-5.87993997,4.74262814,0.05531092,0.90440622,1.81084436,0.00000000,0.69668395,0.53810657,2.99904716,1.52997402
-5.87393697,4.88021982,0.05632978,0.93018890,1.86442397,0.00000000,0.71384894,0.55544637,3.06942354,1.57475320
-5.86793397,5.00692933,0.05711169,0.95406654,1.91428645,0.00000000,0.73034512,0.57110533,3.13141785,1.61429083
-5.86193097,5.12144131,0.05764719,0.97587355,1.95985908,0.00000000,0.74601867,0.58485979,3.18449732,1.64810959
-5.85592796,5.22270543,0.05793207,0.99548915,2.00066539,0.00000000,0.76073313,0.59653035,3.22832694,1.67585397
-5.84992496,5.30994900,0.05796752,1.01283628,2.03633300,0.00000000,0.77437053,0.60598530,3.26277243,1.69729542
-5.84392196,5.38268081,0.05775994,1.02787908,2.06659818,0.00000000,0.78683192,0.61314257,3.28789653,1.71233354
-5.83791896,5.44068641,0.05732068,1.04061929,2.09130695,0.00000000,0.79803724,0.61797003,3.30394876,1.72099305
-5.83191596,5.48401495,0.05666558,1.05109147,2.11041269,0.00000000,0.80792479,0.62048429,3.31134909,1.72341704
-5.82591296,5.51295862,0.05581436,1.05935764,2.12397071,0.00000000,0.81645008,0.62074788,3.31066631,1.71985643
-5.81990995,5.52802593,0.05478992,1.06550132,2.13212990,0.00000000,0.82358446,0.61886528,3.30259207,1.71065663
-5.81390695,5.52991013,0.05361755,1.06962153,2.13512221,0.00000000,0.82931340,0.61497775,3.28791195,1.69624176
-5.80790395,5.51945484,0.05232411,1.07182688,2.13325055,0.00000000,0.83363481,0.60925737,3.26747496,1.67709742
-5.80190095,5.49761848,0.05093721,1.07223020,2.12687570,0.00000000,0.83655733,0.60190062,3.24216275,1.65375275
-5.79589795,5.46543934,0.04948439,1.07094390,2.11640307,0.00000000,0.83809886,0.59312166,3.21286025,1.62676283
-5.78989495,5.42400308,0.04799240,1.06807628,2.10226984,0.00000000,0.83828538,0.58314573,3.18042865,1.59669192
-5.78389195,5.37441394,0.04648656,1.06372896,2.08493318,0.00000000,0.83715017,0.57220293,3.14568219,1.56409857
-5.77788894,5.31777086,0.04499022,1.05799543,2.06485994,0.00000000,0.83473349,0.56052251,3.10936932,1.52952304
-5.77188594,5.25514914,0.04352433,1.05096090,2.04251814,0.00000000,0.83108269,0.54832795,3.07215895,1.49347735
-5.76588294,5.18758812,0.04210721,1.04270318,2.01837054,0.00000000,0.82625274,0.53583295,3.03463203,1.45643847
-5.75987994,5.11608460,0.04075436,1.03329454,1.99287010,0.00000000,0.82030717,0.52323824,2.99727830,1.41884433
-5.75387694,5.04159165,0.03947845,1.02280437,1.96645747,0.00000000,0.81331917,0.51072943,2.96049801,1.38109290
