energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.81042755,0.00007930,0.00000000,0.00020433,0.00521529,1.18735519,0.24677778
-5.99399700,0.78043770,0.00006827,0.00000000,0.00016360,0.00489278,1.14972069,0.23830783
-5.98799400,0.75262051,0.00005887,0.00000000,0.00013007,0.00460268,1.11412423,0.23039358
-5.98199100,0.72610838,0.00005089,0.00000000,0.00010270,0.00433723,1.07940824,0.22277975
-5.97598799,0.70016422,0.00004414,0.00000000,0.00008052,0.00408996,1.04460210,0.21525049
-5.96998499,0.67419000,0.00003842,0.00000000,0.00006268,0.00385561,1.00893392,0.20763198
-5.96398199,0.64772950,0.00003359,0.00000000,0.00004846,0.00363013,0.97183387,0.19979319
-5.95797899,0.62046553,0.00002949,0.00000000,0.00003720,0.00341059,0.93292994,0.19164503
-5.95197599,0.59221246,0.00002600,0.00000000,0.00002836,0.00319505,0.89203678,0.18313810
-5.94597299,0.56290485,0.00002301,0.00000000,0.00002147,0.00298241,0.84913900,0.17425927
-5.93996998,0.53258294,0.00002042,0.00000000,0.00001614,0.00277234,0.80437001,0.16502720
-5.93396698,0.50137603,0.00001818,0.00000000,0.00001204,0.00256505,0.75798765,0.15548737
-5.92796398,0.46948455,0.00001620,0.00000000,0.00000893,0.00236119,0.71034810,0.14570660
-5.92196098,0.43716165,0.00001445,0.00000000,0.00000657,0.00216174,0.66187898,0.13576743
-5.91595798,0.40469518,0.00001288,0.00000000,0.00000480,0.00196780,0.61305312,0.12576265
-5.90995498,0.37239068,0.00001147,0.00000000,0.00000348,0.00178059,0.56436368,0.11579011
-5.90395198,0.34055592,0.00001020,0.00000000,0.00000251,0.00160127,0.51630164,0.10594798
-5.89794897,0.30948736,0.00000904,0.00000000,0.00000180,0.00143090,0.46933624,0.09633061
-5.89194597,0.27945902,0.00000798,0.00000000,0.00000128,0.00127042,0.42389874,0.08702515
-5.88594297,0.25071371,0.00000702,0.00000000,0.00000090,0.00112054,0.38036976,0.07810882
-5.87993997,0.22345666,0.00000615,0.00000000,0.00000063,0.00098177,0.33907038,0.06964700
-5.87393697,0.19785168,0.00000536,0.00000000,0.00000044,0.00085442,0.30025662,0.06169203
-5.86793397,0.17401942,0.00000464,0.00000000,0.00000030,0.00073854,0.26411733,0.05428271
-5.86193097,0.15203763,0.00000400,0.00000000,0.00000021,0.00063403,0.23077487,0.04744434
-5.85592796,0.13194305,0.00000343,0.00000000,0.00000014,0.00054058,0.20028836,0.04118937
-5.84992496,0.11373471,0.00000292,0.00000000,0.00000010,0.00045772,0.17265881,0.03551839
-5.84392196,0.09737814,0.00000247,0.00000000,0.00000006,0.00038489,0.14783575,0.03042147
-5.83791896,0.08281028,0.00000207,0.00000000,0.00000004,0.00032140,0.12572484,0.02587966
-5.83191596,0.06994471,0.00000173,0.00000000,0.00000003,0.00026651,0.10619592,0.02186665
-5.82591296,0.05867699,0.00000143,0.00000000,0.00000002,0.00021946,0.08909117,0.01835042
-5.81990995,0.04888983,0.00000118,0.00000000,0.00000001,0.00017946,0.07423307,0.01529485
-5.81390695,0.04045784,0.00000096,0.00000000,0.00000001,0.00014572,0.06143166,0.01266123
-5.80790395,0.03325193,0.00000078,0.00000000,0.00000001,0.00011749,0.05049123,0.01040962
-5.80190095,0.02714300,0.00000063,0.00000000,0.00000000,0.00009407,0.04121595,0.00849999
-5.79589795,0.02200506,0.00000051,0.00000000,0.00000000,0.00007479,0.03341472,0.00689325
-5.78989495,0.01771775,0.00000040,0.00000000,0.00000000,0.00005905,0.02690486,0.00555200
-5.78389195,0.01416815,0.00000032,0.00000000,0.00000000,0.00004629,0.02151503,0.00444111
-5.77788894,0.01125211,0.00000025,0.00000000,0.00000000,0.00003603,0.01708712,0.00352816
-5.77188594,0.00887501,0.00000019,0.00000000,0.00000000,0.00002785,0.01347751,0.00278366
-5.76588294,0.00695210,0.00000015,0.00000000,0.00000000,0.00002138,0.01055753,0.00218120
-5.75987994,0.00540845,0.00000011,0.00000000,0.00000000,0.00001629,0.00821343,0.00169740
-5.75387694,0.00417866,0.00000009,0.00000000,0.00000000,0.00001233,0.00634591,0.00131183
-5.74787394,0.00320633,0.00000007,0.00000000,0.00000000,0.00000926,0.00486934,0.00100687
-5.74187094,0.00244333,0.00000005,0.00000000,0.00000000,0.00000691,0.00371064,0.00076749
-5.73586793,0.00184909,0.00000004,0.00000000,0.00000000,0.00000512,0.00280821,0.00058100
-5.72986493,0.00138975,0.00000003,0.00000000,0.00000000,0.00000377,0.00211063,0.00043679
-5.72386193,0.00103732,0.00000002,0.00000000,0.00000000,0.00000275,0.00157540,0.00032611
-5.71785893,0.00076892,0.00000001,0.00000000,0.00000000,0.00000200,0.00116779,0.00024180
-5.71185593,0.00056604,0.00000001,0.00000000,0.00000000,0.00000144,0.00085968,0.00017805
-5.70585293,0.00041381,0.00000001,0.00000000,0.00000000,0.00000103,0.00062849,0.00013020
-5.69984992,0.00030044,0.00000001,0.00000000,0.00000000,0.00000073,0.00045630,0.00009455
-5.69384692,0.00021662,0.00000000,0.00000000,0.00000000,0.00000051,0.00032900,0.00006819
-5.68784392,0.00015510,0.00000000,0.00000000,0.00000000,0.00000036,0.00023557,0.00004884
-5.68184092,0.00011029,0.00000000,0.00000000,0.00000000,0.00000025,0.00016751,0.00003474
-5.67583792,0.00007788,0.00000000,0.00000000,0.00000000,0.00000017,0.00011828,0.00002453
-5.66983492,0.00005461,0.00000000,0.00000000,0.00000000,0.00000012,0.00008295,0.00001721
