energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Sb_p_up,Sb_p_down,Sb_d_up,Sb_d_down
-2.30215108,3.37601948,-3.37501230,0.20697998,-0.20691198,3.02482853,-3.02390921,0.00403003,-0.00403010,0.08116528,-0.08113558,0.38551629,-0.38541002,0.00902925,-0.00902870
-2.29614807,3.55024963,-3.54921373,0.22102633,-0.22095093,3.18081847,-3.17988042,0.00416104,-0.00416083,0.08714187,-0.08711080,0.40584101,-0.40572288,0.00917750,-0.00917687
-2.29014507,3.72792821,-3.72687131,0.23643230,-0.23634954,3.33851896,-3.33756957,0.00435644,-0.00435598,0.09340957,-0.09337727,0.42808314,-0.42795333,0.00933125,-0.00933057
-2.28414207,3.90768690,-3.90661617,0.25318709,-0.25309703,3.49662750,-3.49567356,0.00461164,-0.00461094,0.09994576,-0.09991235,0.45220358,-0.45206232,0.00948686,-0.00948614
-2.27813907,4.08828340,-4.08720533,0.27127230,-0.27117505,3.65397612,-3.65302369,0.00492170,-0.00492079,0.10672800,-0.10669359,0.47815284,-0.47800045,0.00964116,-0.00964042
-2.27213607,4.26861702,-4.26753736,0.29066013,-0.29055585,3.80954759,-3.80860195,0.00528132,-0.00528022,0.11373372,-0.11369841,0.50586987,-0.50570674,0.00979156,-0.00979081
-2.26613307,4.44773436,-4.44665809,0.31131106,-0.31119995,3.96248263,-3.96154826,0.00568489,-0.00568363,0.12093971,-0.12090360,0.53527988,-0.53510649,0.00993608,-0.00993534
-2.26013007,4.62482537,-4.62375677,0.33317113,-0.33305348,4.11207804,-4.11115862,0.00612648,-0.00612506,0.12832153,-0.12828471,0.56629146,-0.56610838,0.01007344,-0.01007271
-2.25412706,4.79921026,-4.79815297,0.35616913,-0.35604531,4.25777612,-4.25687467,0.00659984,-0.00659830,0.13585280,-0.13581538,0.59879304,-0.59860097,0.01020300,-0.01020228
-2.24812406,4.97031849,-4.96927566,0.38021374,-0.38008423,4.39914654,-4.39826545,0.00709851,-0.00709687,0.14350453,-0.14346660,0.63264914,-0.63244892,0.01032475,-0.01032405
