energy_ev,total_up,Ge_p_up,Ge_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,3.10572029,1.29433411,0.00000000,0.66877185,2.11891992,0.55615217,0.00000000
-5.99399700,3.03679285,1.28183087,0.00000000,0.64913913,2.08463744,0.52677846,0.00000000
-5.98799400,2.95969377,1.26389476,0.00000000,0.62955006,2.04255142,0.49767715,0.00000000
-5.98199100,2.87518712,1.24085528,0.00000000,0.61024117,1.99315013,0.46906905,0.00000000
-5.97598799,2.78426081,1.21315699,0.00000000,0.59145700,1.93710863,0.44118784,0.00000000
-5.96998499,2.68809075,1.18134196,0.00000000,0.57344339,1.87526316,0.41427322,0.00000000
-5.96398199,2.58799877,1.14602919,0.00000000,0.55644047,1.80858023,0.38856383,0.00000000
-5.95797899,2.48540613,1.10789172,0.00000000,0.54067573,1.73812191,0.36429026,0.00000000
-5.95197599,2.38178505,1.06763278,0.00000000,0.52635723,1.66500925,0.34166830,0.00000000
-5.94597299,2.27861017,1.02596189,0.00000000,0.51366733,1.59038518,0.32089279,0.00000000
-5.93996998,2.17731229,0.98357208,0.00000000,0.50275699,1.51537891,0.30213231,0.00000000
-5.93396698,2.07923621,0.94111911,0.00000000,0.49374091,1.44107305,0.28552472,0.00000000
-5.92796398,1.98560417,0.89920358,0.00000000,0.48669380,1.36847479,0.27117389,0.00000000
-5.92196098,1.89748638,0.85835649,0.00000000,0.48164776,1.29849224,0.25914758,0.00000000
-5.91595798,1.81577919,0.81902867,0.00000000,0.47859100,1.23191641,0.24947653,0.00000000
-5.90995498,1.74119156,0.78158428,0.00000000,0.47746800,1.16940919,0.24215484,0.00000000
-5.90395198,1.67423966,0.74629833,0.00000000,0.47818108,1.11149746,0.23714153,0.00000000
-5.89794897,1.61524930,0.71335801,0.00000000,0.48059344,1.05857274,0.23436327,0.00000000
-5.89194597,1.56436537,0.68286733,0.00000000,0.48453354,1.01089609,0.23371813,0.00000000
-5.88594297,1.52156738,0.65485462,0.00000000,0.48980078,0.96860729,0.23508020,0.00000000
