energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up
4.30115058,1.45595369,0.96621921,0.02646845,0.14062942,0.16626068,0.19163116,0.00000000,0.11176340,0.07918411
4.30715358,1.35639757,0.89700345,0.02452553,0.13439584,0.15414235,0.17856371,0.00000000,0.10466773,0.07362431
4.31315658,1.25601385,0.82793284,0.02257409,0.12760900,0.14197298,0.16550370,0.00000000,0.09746755,0.06807335
4.31915958,1.15624269,0.75997810,0.02064035,0.12038260,0.12992530,0.15268113,0.00000000,0.09028375,0.06260278
4.32516258,1.05845204,0.69405798,0.01874871,0.11283319,0.11815960,0.14031749,0.00000000,0.08323208,0.05728285
4.33116558,0.96390890,0.63101942,0.01692121,0.10507712,0.10682040,0.12862212,0.00000000,0.07642116,0.05218036
4.33716858,0.87375766,0.57162255,0.01517711,0.09722765,0.09603387,0.11778948,0.00000000,0.06995097,0.04735696
4.34317159,0.78900545,0.51653063,0.01353269,0.08939242,0.08590627,0.10799735,0.00000000,0.06391180,0.04286787
4.34917459,0.71051422,0.46630445,0.01200109,0.08167124,0.07652318,0.09940593,0.00000000,0.05838359,0.03876099
4.35517759,0.63899897,0.42140080,0.01059239,0.07415434,0.06794953,0.09215759,0.00000000,0.05343569,0.03507641
4.36118059,0.57503109,0.38217423,0.00931371,0.06692109,0.06023029,0.08637718,0.00000000,0.04912686,0.03184622
4.36718359,0.51904597,0.34888139,0.00816947,0.06003914,0.05339166,0.08217277,0.00000000,0.04550557,0.02909462
4.37318659,0.47135347,0.32168707,0.00716166,0.05356402,0.04744273,0.07963648,0.00000000,0.04261042,0.02683818
4.37918959,0.43215029,0.30067121,0.00629019,0.04753918,0.04237731,0.07884535,0.00000000,0.04047067,0.02508628
4.38519260,0.40153293,0.28583619,0.00555324,0.04199636,0.03817592,0.07986203,0.00000000,0.03910676,0.02384157
4.39119560,0.37951043,0.27711375,0.00494764,0.03695628,0.03480780,0.08273514,0.00000000,0.03853078,0.02310051
4.39719860,0.36601582,0.27437110,0.00446914,0.03242955,0.03223281,0.08749932,0.00000000,0.03874685,0.02285383
4.40320160,0.36091582,0.27741600,0.00411277,0.02841779,0.03040320,0.09417476,0.00000000,0.03975135,0.02308691
4.40920460,0.36401830,0.28600074,0.00387307,0.02491482,0.02926520,0.10276639,0.00000000,0.04153308,0.02378015
4.41520760,0.37507723,0.29982496,0.00374425,0.02190785,0.02876042,0.11326266,0.00000000,0.04407320,0.02490921
4.42121061,0.39379541,0.31853763,0.00372037,0.01937873,0.02882696,0.12563414,0.00000000,0.04734518,0.02644523
4.42721361,0.41982489,0.34173856,0.00379538,0.01730506,0.02940047,0.13983195,0.00000000,0.05131458,0.02835495
4.43321661,0.45276587,0.36897974,0.00396318,0.01566122,0.03041498,0.15578634,0.00000000,0.05593897,0.03060088
4.43921961,0.49216443,0.39976710,0.00421759,0.01441928,0.03180365,0.17340557,0.00000000,0.06116777,0.03314147
4.44522261,0.53750987,0.43356308,0.00455231,0.01354973,0.03349951,0.19257520,0.00000000,0.06694237,0.03593132
4.45122561,0.58823242,0.46979056,0.00496080,0.01302214,0.03543614,0.21315817,0.00000000,0.07319634,0.03892153
4.45722861,0.64370203,0.50783829,0.00543627,0.01280555,0.03754842,0.23499575,0.00000000,0.07985594,0.04206017
4.46323162,0.70322897,0.54706835,0.00597150,0.01286888,0.03977332,0.25790940,0.00000000,0.08684094,0.04529288
4.46923462,0.76606684,0.58682547,0.00655885,0.01318117,0.04205075,0.28170384,0.00000000,0.09406575,0.04856362
4.47523762,0.83141844,0.62644839,0.00719016,0.01371174,0.04432454,0.30617115,0.00000000,0.10144087,0.05181569
4.48124062,0.89844480,0.66528289,0.00785674,0.01443033,0.04654339,0.33109593,0.00000000,0.10887471,0.05499274
4.48724362,0.96627746,0.70269621,0.00854942,0.01530719,0.04866186,0.35626138,0.00000000,0.11627566,0.05803999
4.49324662,1.03403383,0.73809241,0.00925856,0.01631322,0.05064138,0.38145612,0.00000000,0.12355431,0.06090560
4.49924962,1.10083528,0.77092795,0.00997421,0.01742007,0.05245112,0.40648140,0.00000000,0.13062591,0.06354193
4.50525263,1.16582749,0.80072691,0.01068628,0.01860029,0.05406880,0.43115845,0.00000000,0.13741276,0.06590694
4.51125563,1.22820207,0.82709511,0.01138469,0.01982760,0.05548120,0.45533550,0.00000000,0.14384660,0.06796545
4.51725863,1.28721884,0.84973245,0.01205963,0.02107706,0.05668458,0.47889423,0.00000000,0.14987065,0.06969029
4.52326163,1.34222753,0.86844281,0.01270182,0.02232536,0.05768465,0.50175503,0.00000000,0.15544148,0.07106335
4.52926463,1.39268795,0.88314099,0.01330278,0.02355114,0.05849637,0.52388095,0.00000000,0.16053032,0.07207632
4.53526763,1.43818774,0.89385629,0.01385510,0.02473528,0.05914336,0.54527983,0.00000000,0.16512387,0.07273131
4.54127064,1.47845649,0.90073253,0.01435270,0.02586115,0.05965694,0.56600454,0.00000000,0.16922455,0.07304113
4.54727364,1.51337572,0.90402440,0.01479107,0.02691492,0.06007498,0.58615107,0.00000000,0.17285000,0.07302935
