energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,1.21151710,0.45212436,0.00000000,0.03657152,0.01683172,0.57657142,0.66085779
-5.99399700,1.21792013,0.45685529,0.00000000,0.03744545,0.01605446,0.58569887,0.66332195
-5.98799400,1.22619165,0.46243634,0.00000000,0.03830441,0.01528736,0.59508964,0.66726500
-5.98199100,1.23702388,0.46913573,0.00000000,0.03914839,0.01454860,0.60488634,0.67316400
-5.97598799,1.25107619,0.47721661,0.00000000,0.03997700,0.01385507,0.61522170,0.68147949
-5.96998499,1.26896676,0.48693437,0.00000000,0.04078974,0.01322200,0.62621881,0.69264913
-5.96398199,1.29126636,0.49853442,0.00000000,0.04158624,0.01266266,0.63799207,0.70708250
-5.95797899,1.31849375,0.51225010,0.00000000,0.04236647,0.01218813,0.65064846,0.72515665
-5.95197599,1.35111196,0.52830061,0.00000000,0.04313094,0.01180718,0.66428880,0.74721220
-5.94597299,1.38952481,0.54688848,0.00000000,0.04388092,0.01152618,0.67900862,0.77354937
-5.93996998,1.43407285,0.56819633,0.00000000,0.04461847,0.01134913,0.69489819,0.80442383
-5.93396698,1.48502807,0.59238284,0.00000000,0.04534644,0.01127765,0.71204142,0.84004176
-5.92796398,1.54258697,0.61957759,0.00000000,0.04606842,0.01131111,0.73051350,0.88055394
-5.92196098,1.60686149,0.64987485,0.00000000,0.04678845,0.01144677,0.75037706,0.92604877
-5.91595798,1.67786806,0.68332643,0.00000000,0.04751078,0.01167987,0.77167696,0.97654427
-5.90995498,1.75551475,0.71993365,0.00000000,0.04823942,0.01200385,0.79443389,1.03197901
-5.90395198,1.83958730,0.75963896,0.00000000,0.04897776,0.01241048,0.81863700,1.09220270
-5.89794897,1.92973469,0.80231755,0.00000000,0.04972803,0.01289006,0.84423623,1.15696663
-5.89194597,2.02545548,0.84776952,0.00000000,0.05049084,0.01343160,0.87113455,1.22591480
-5.88594297,2.12608589,0.89571322,0.00000000,0.05126474,0.01402299,0.89918103,1.29857654
-5.87993997,2.23079122,0.94578043,0.00000000,0.05204585,0.01465121,0.92816508,1.37436123
-5.87393697,2.33856163,0.99751389,0.00000000,0.05282761,0.01530249,0.95781270,1.45255613
-5.86793397,2.44821355,1.05036780,0.00000000,0.05360059,0.01596259,0.98778506,1.53232804
-5.86193097,2.55839771,1.10371172,0.00000000,0.05435256,0.01661697,1.01767996,1.61272916
-5.85592796,2.66761433,1.15683803,0.00000000,0.05506861,0.01725102,1.04703636,1.69270795
-5.84992496,2.77423584,1.20897318,0.00000000,0.05573149,0.01785039,1.07534214,1.77112475
-5.84392196,2.87653697,1.25929255,0.00000000,0.05632209,0.01840116,1.10204496,1.84677247
-5.83791896,2.97273158,1.30693863,0.00000000,0.05682002,0.01889021,1.12656594,1.91840166
-5.83191596,3.06101529,1.35104192,0.00000000,0.05720430,0.01930544,1.14831577,1.98474948
-5.82591296,3.13961245,1.39074398,0.00000000,0.05745413,0.01963606,1.16671244,2.04457166
-5.81990995,3.20682573,1.42522168,0.00000000,0.05754972,0.01987287,1.18120014,2.09667616
-5.81390695,3.26108634,1.45371170,0.00000000,0.05747300,0.02000847,1.19126816,2.13995748
-5.80790395,3.30100277,1.47553419,0.00000000,0.05720843,0.02003748,1.19646922,2.17342991
-5.80190095,3.32540594,1.49011479,0.00000000,0.05674358,0.01995671,1.19643610,2.19625856
-5.79589795,3.33338862,1.49700367,0.00000000,0.05606973,0.01976523,1.19089599,2.20778659
-5.78989495,3.32433750,1.49589110,0.00000000,0.05518220,0.01946444,1.17968180,2.20755763
-5.78389195,3.29795623,1.48661857,0.00000000,0.05408066,0.01905808,1.16273978,2.19533203
-5.77788894,3.25427847,1.46918507,0.00000000,0.05276916,0.01855215,1.14013329,2.17109658
-5.77188594,3.19367031,1.44374826,0.00000000,0.05125604,0.01795479,1.11204243,2.13506685
-5.76588294,3.11682198,1.41062045,0.00000000,0.04955375,0.01727613,1.07875961,2.08768230
-5.75987994,3.02472912,1.37025952,0.00000000,0.04767843,0.01652811,1.04068128,2.02959427
-5.75387694,2.91866474,1.32325538,0.00000000,0.04564942,0.01572427,0.99829633,1.96164735
-5.74787394,2.80014285,1.27031242,0.00000000,0.04348871,0.01487952,0.95217162,1.88485504
-5.74187094,2.67087558,1.21222881,0.00000000,0.04122029,0.01401001,0.90293540,1.80037071
-5.73586793,2.53272568,1.14987352,0.00000000,0.03886945,0.01313294,0.85125943,1.70945511
-5.72986493,2.38765627,1.08416208,0.00000000,0.03646213,0.01226650,0.79784044,1.61344190
-5.72386193,2.23768002,1.01603203,0.00000000,0.03402424,0.01142981,0.74338195,1.51370234
-5.71785893,2.08480972,0.94641893,0.00000000,0.03158105,0.01064306,0.68857697,1.41161084
-5.71185593,1.93101204,0.87623394,0.00000000,0.02915664,0.00992761,0.63409235,1.30851236
-5.70585293,1.77816605,0.80634366,0.00000000,0.02677339,0.00930628,0.58055524,1.20569290
-5.69984992,1.62802774,0.73755275,0.00000000,0.02445163,0.00880372,0.52854214,1.10435391
-5.69384692,1.48220152,0.67058988,0.00000000,0.02220930,0.00844685,0.47857069,1.00559143
-5.68784392,1.34211916,0.60609723,0.00000000,0.02006175,0.00826543,0.43109437,0.91038011
-5.68184092,1.20902632,0.54462360,0.00000000,0.01802166,0.00829262,0.38649997,0.81956259
-5.67583792,1.08397655,0.48662105,0.00000000,0.01609892,0.00856562,0.34510781,0.73384390
-5.66983492,0.96783208,0.43244488,0.00000000,0.01430078,0.00912631,0.30717424,0.65379071
-5.66383192,0.86127081,0.38235658,0.00000000,0.01263186,0.01002181,0.27289619,0.57983490
-5.65782891,0.76479826,0.33652923,0.00000000,0.01109440,0.01130496,0.24241719,0.51228084
