energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.33989817,-2.48496947,0.02962369,-0.04404676,0.10117868,-0.12742154,1.07759749,-2.23358385,0.25007925,-0.33483241,0.50777423,-1.07616010,0.00000000,-0.00000000,0.02643658,-0.03822231,0.74512116,-1.52364538
-5.99399700,1.22806886,-2.46665856,0.02745286,-0.04311324,0.09337573,-0.12963588,0.98853303,-2.21218332,0.22831314,-0.33961673,0.46454928,-1.06522538,0.00000000,-0.00000000,0.02444661,-0.03739424,0.68287811,-1.50766159
-5.98799400,1.12199800,-2.43499233,0.02526905,-0.04191220,0.08629441,-0.13157068,0.90422563,-2.17753258,0.20856714,-0.34336309,0.42325790,-1.04802794,0.00000000,-0.00000000,0.02246085,-0.03634832,0.62333023,-1.48283399
-5.98199100,1.02286082,-2.39065082,0.02310133,-0.04046664,0.08006513,-0.13326138,0.82556868,-2.13028110,0.19110226,-0.34611795,0.38429234,-1.02484689,0.00000000,-0.00000000,0.02050431,-0.03510013,0.56708014,-1.44959045
-5.97598799,0.93166743,-2.33457170,0.02097614,-0.03880391,0.07480806,-0.13474735,0.75331768,-2.07134079,0.17614723,-0.34794520,0.34797779,-0.99608178,0.00000000,-0.00000000,0.01859955,-0.03366990,0.51463679,-1.40853213
-5.96998499,0.84925740,-2.26791555,0.01891688,-0.03695476,0.07063288,-0.13606889,0.68808528,-2.00185675,0.16389964,-0.34892149,0.31457032,-0.96224043,0.00000000,-0.00000000,0.01676629,-0.03208168,0.46641163,-1.36041345
-5.96398199,0.77629862,-2.19202463,0.01694352,-0.03495246,0.06763863,-0.13726426,0.63033966,-1.92317084,0.15452731,-0.34913097,0.28425663,-0.92392371,0.00000000,-0.00000000,0.01502116,-0.03036234,0.42271739,-1.30611769
-5.95797899,0.71328948,-2.10837694,0.01507242,-0.03283173,0.06591348,-0.13836683,0.58040564,-1.83677980,0.14816960,-0.34865990,0.25715543,-0.88180751,0.00000000,-0.00000000,0.01337752,-0.02854062,0.38376919,-1.24662898
-5.95197599,0.66056367,-2.01853766,0.01331629,-0.03062774,0.06553444,-0.13940255,0.53846830,-1.74428973,0.14493844,-0.34759146,0.23332021,-0.83662301,0.00000000,-0.00000000,0.01184545,-0.02664614,0.34968767,-1.18300226
-5.94597299,0.61829667,-1.92411018,0.01168423,-0.02837516,0.06656677,-0.14038788,0.50457829,-1.64736883,0.14491867,-0.34600093,0.21274314,-0.78913582,0.00000000,-0.00000000,0.01043182,-0.02470847,0.32050373,-1.11633213
-5.93996998,0.58651342,-1.82668866,0.01018192,-0.02610724,0.06906299,-0.14132824,0.47865859,-1.54770030,0.14816769,-0.34395164,0.19535983,-0.74012498,0.00000000,-0.00000000,0.00914048,-0.02275626,0.29616452,-1.04772207
-5.93396698,0.56509625,-1.72781411,0.00881187,-0.02385508,0.07306167,-0.14221722,0.46051224,-1.44693730,0.15471409,-0.34149188,0.18105479,-0.69036253,0.00000000,-0.00000000,0.00797250,-0.02081653,0.27654035,-0.97825507
-5.92796398,0.55379288,-1.62893538,0.00757375,-0.02164689,0.07858568,-0.14303647,0.44983064,-1.34666145,0.16455554,-0.33865294,0.16966737,-0.64059442,0.00000000,-0.00000000,0.00692646,-0.01891400,0.26143227,-0.90896667
-5.92196098,0.55222400,-1.53137650,0.00646482,-0.01950757,0.08564024,-0.14375634,0.44620247,-1.24834612,0.17765569,-0.33544840,0.16099789,-0.59152327,0.00000000,-0.00000000,0.00599879,-0.01707059,0.25057996,-0.84082135
-5.91595798,0.55989038,-1.43631110,0.00548024,-0.01745831,0.09421060,-0.14433720,0.44912276,-1.15332568,0.19394049,-0.33187464,0.15481398,-0.54379354,0.00000000,-0.00000000,0.00518416,-0.01530511,0.24366986,-0.77469273
