energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,4.21888662,1.17296437,0.48910757,0.01405683,0.83366997,1.03381969,1.12296959,0.02015071,1.67401205
-5.99399700,4.21638264,1.18212486,0.48975444,0.01384974,0.83211543,1.02573146,1.12420909,0.01986797,1.67455073
-5.98799400,4.20357785,1.18965547,0.48899504,0.01356541,0.82849945,1.01550839,1.12259382,0.01947484,1.67107460
-5.98199100,4.18157710,1.19589157,0.48696297,0.01321161,0.82299304,1.00357909,1.11833574,0.01898055,1.66411537
-5.97598799,4.15163594,1.20120140,0.48381922,0.01279769,0.81578236,0.99039989,1.11168380,0.01839634,1.65428352
-5.96998499,4.11511834,1.20597200,0.47974696,0.01233437,0.80706143,0.97643934,1.10291545,0.01773507,1.64224898
-5.96398199,4.07345180,1.21059451,0.47494567,0.01183335,0.79702505,0.96216243,1.09232776,0.01701075,1.62871968
-5.95797899,4.02808188,1.21544957,0.46962474,0.01130701,0.78586235,0.94801520,1.08022836,0.01623810,1.61441922
-5.95197599,3.98042789,1.22089340,0.46399685,0.01076802,0.77375115,0.93441046,1.06692672,0.01543208,1.60006423
-5.94597299,3.93184152,1.22724529,0.45827133,0.01022900,0.76085334,0.92171515,1.05272597,0.01460741,1.58634251
-5.93996998,3.88356992,1.23477679,0.45264786,0.00970213,0.74731161,0.91023991,1.03791557,0.01377820,1.57389266
-5.93396698,3.83672440,1.24370329,0.44731068,0.00919888,0.73324731,0.90023129,1.02276496,0.01295752,1.56328596
-5.92796398,3.79225570,1.25417792,0.44242349,0.00872971,0.71875980,0.89186677,1.00751847,0.01215713,1.55501102
-5.92196098,3.75093636,1.26628824,0.43812529,0.00830377,0.70392698,0.88525266,0.99239133,0.01138722,1.54946168
-5.91595798,3.71335033,1.28005539,0.43452718,0.00792875,0.68880691,0.88042506,0.97756707,0.01065624,1.54692844
-5.90995498,3.67988982,1.29543596,0.43171025,0.00761072,0.67344050,0.87735343,0.96319598,0.00997082,1.54759357
-5.90395198,3.65075884,1.31232596,0.42972454,0.00735399,0.65785482,0.87594673,0.94939479,0.00933571,1.55152976
-5.89794897,3.62598284,1.33056699,0.42858919,0.00716108,0.64206700,0.87606151,0.93624724,0.00875389,1.55870237
-5.89194597,3.60542366,1.34995398,0.42829345,0.00703272,0.62608830,0.87751177,0.92380559,0.00822660,1.56897482
-5.88594297,3.58879875,1.37024422,0.42879877,0.00696785,0.60992823,0.88007979,0.91209273,0.00775355,1.58211691
-5.87993997,3.57570376,1.39116734,0.43004161,0.00696376,0.59359843,0.88352766,0.90110497,0.00733308,1.59781552
-5.87393697,3.56563740,1.41243573,0.43193700,0.00701613,0.57711614,0.88760893,0.89081512,0.00696240,1.61568743
-5.86793397,3.55802755,1.43375513,0.43438255,0.00711925,0.56050712,0.89207975,0.88117599,0.00663784,1.63529355
-5.86193097,3.55225786,1.45483492,0.43726289,0.00726618,0.54380783,0.89670935,0.87212404,0.00635506,1.65615418
-5.85592796,3.54769372,1.47539796,0.44045429,0.00744893,0.52706696,0.90128918,0.86358313,0.00610937,1.67776477
-5.84992496,3.54370710,1.49518943,0.44382930,0.00765874,0.51034606,0.90564065,0.85546838,0.00589588,1.69961171
-5.84392196,3.53969942,1.51398465,0.44726136,0.00788631,0.49371950,0.90962101,0.84768988,0.00570980,1.72118768
-5.83791896,3.53512196,1.53159550,0.45062909,0.00812206,0.47727368,0.91312745,0.84015646,0.00554657,1.74200608
-5.83191596,3.52949341,1.54787527,0.45382032,0.00835636,0.46110553,0.91609902,0.83277925,0.00540208,1.76161425
-5.82591296,3.52241409,1.56272183,0.45673552,0.00857986,0.44532050,0.91851676,0.82547501,0.00527279,1.77960503
-5.81990995,3.51357665,1.57607897,0.45929086,0.00878368,0.43003008,0.92040167,0.81816931,0.00515583,1.79562650
-5.81390695,3.50277313,1.58793583,0.46142054,0.00895968,0.41534892,0.92181103,0.81079926,0.00504909,1.80938958
-5.80790395,3.48989824,1.59832449,0.46307851,0.00910067,0.40139176,0.92283306,0.80331596,0.00495124,1.82067329
-5.80190095,3.47494900,1.60731575,0.46423956,0.00920058,0.38827016,0.92358023,0.79568647,0.00486173,1.82932783
-5.79589795,3.45802079,1.61501331,0.46489970,0.00925461,0.37608936,0.92418161,0.78789521,0.00478079,1.83527515
-5.78989495,3.43930021,1.62154650,0.46507593,0.00925932,0.36494505,0.92477451,0.77994481,0.00470935,1.83850738
-5.78389195,3.41905487,1.62706192,0.46480532,0.00921273,0.35492049,0.92549591,0.77185639,0.00464896,1.83908303
-5.77788894,3.39762077,1.63171444,0.46414366,0.00911425,0.34608393,0.92647396,0.76366906,0.00460168,1.83712130
