energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.08080822,0.01150614,0.00000000,0.01064234,0.56218053,0.28373285,0.20120558
-5.99399700,1.06672247,0.01142124,0.00000000,0.01077094,0.55034309,0.28097500,0.19729746
-5.98799400,1.05468916,0.01135591,0.00000000,0.01091848,0.53917006,0.27884440,0.19371619
-5.98199100,1.04507087,0.01130882,0.00000000,0.01108075,0.52906480,0.27756793,0.19057934
-5.97598799,1.03822150,0.01127841,0.00000000,0.01125329,0.52042725,0.27737753,0.18800000
-5.96998499,1.03447719,0.01126293,0.00000000,0.01143150,0.51364469,0.27850512,0.18608447
-5.96398199,1.03414834,0.01126045,0.00000000,0.01161083,0.50908314,0.28117743,0.18493036
-5.95797899,1.03751275,0.01126884,0.00000000,0.01178691,0.50707960,0.28561109,0.18462492
-5.95197599,1.04481007,0.01128582,0.00000000,0.01195572,0.50793519,0.29200777,0.18524380
-5.94597299,1.05623722,0.01130902,0.00000000,0.01211380,0.51190919,0.30054965,0.18685009
-5.93996998,1.07194468,0.01133594,0.00000000,0.01225834,0.51921397,0.31139511,0.18949353
-5.93396698,1.09203344,0.01136408,0.00000000,0.01238739,0.53001090,0.32467473,0.19321005
-5.92796398,1.11655234,0.01139093,0.00000000,0.01249991,0.54440693,0.34048759,0.19802138
-5.92196098,1.14549571,0.01141403,0.00000000,0.01259590,0.56245209,0.35889796,0.20393480
-5.91595798,1.17880109,0.01143099,0.00000000,0.01267640,0.58413774,0.37993237,0.21094295
-5.90995498,1.21634710,0.01143952,0.00000000,0.01274352,0.60939544,0.40357710,0.21902374
-5.90395198,1.25795145,0.01143744,0.00000000,0.01280037,0.63809681,0.42977619,0.22814037
-5.89794897,1.30336922,0.01142272,0.00000000,0.01285101,0.67005399,0.45843010,0.23824131
-5.89194597,1.35229172,0.01139343,0.00000000,0.01290027,0.70502105,0.48939494,0.24926054
-5.88594297,1.40434603,0.01134780,0.00000000,0.01295366,0.74269632,0.52248246,0.26111790
-5.87993997,1.45909569,0.01128417,0.00000000,0.01301714,0.78272564,0.55746093,0.27371957
-5.87393697,1.51604268,0.01120105,0.00000000,0.01309695,0.82470663,0.59405677,0.28695884
-5.86793397,1.57463101,0.01109707,0.00000000,0.01319940,0.86819401,0.63195722,0.30071720
-5.86193097,1.63425205,0.01097106,0.00000000,0.01333063,0.91270590,0.67081381,0.31486559
-5.85592796,1.69425178,0.01082201,0.00000000,0.01349647,0.95773110,0.71024691,0.32926607
-5.84992496,1.75393993,0.01064913,0.00000000,0.01370221,1.00273729,0.74985100,0.34377370
-5.84392196,1.81260083,0.01045189,0.00000000,0.01395248,1.04717988,0.78920090,0.35823876
-5.83791896,1.86950594,0.01023004,0.00000000,0.01425108,1.09051150,0.82785858,0.37250916
-5.83191596,1.92392754,0.00998368,0.00000000,0.01460092,1.13219186,0.86538063,0.38643300
-5.82591296,1.97515343,0.00971322,0.00000000,0.01500390,1.17169775,0.90132614,0.39986138
-5.81990995,2.02250195,0.00941951,0.00000000,0.01546095,1.20853290,0.93526476,0.41265107
-5.81390695,2.06533704,0.00910377,0.00000000,0.01597195,1.24223751,0.96678484,0.42466728
-5.80790395,2.10308267,0.00876764,0.00000000,0.01653582,1.27239717,0.99550143,0.43578628
-5.80190095,2.13523629,0.00841318,0.00000000,0.01715052,1.29865088,1.02106380,0.44589778
-5.79589795,2.16138062,0.00804280,0.00000000,0.01781316,1.32069802,1.04316243,0.45490706
-5.78989495,2.18119353,0.00765927,0.00000000,0.01852008,1.33830396,1.06153520,0.46273679
-5.78389195,2.19445560,0.00726564,0.00000000,0.01926694,1.35130424,1.07597254,0.46932839
-5.77788894,2.20105499,0.00686518,0.00000000,0.02004883,1.35960714,1.08632145,0.47464294
-5.77188594,2.20098948,0.00646133,0.00000000,0.02086042,1.36319451,1.09248822,0.47866163
-5.76588294,2.19436562,0.00605758,0.00000000,0.02169600,1.36212091,1.09443980,0.48138570
-5.75987994,2.18139488,0.00565741,0.00000000,0.02254963,1.35651092,1.09220366,0.48283578
-5.75387694,2.16238706,0.00526424,0.00000000,0.02341523,1.34655488,1.08586628,0.48305088
-5.74787394,2.13774099,0.00488130,0.00000000,0.02428665,1.33250295,1.07557027,0.48208671
-5.74187094,2.10793296,0.00451160,0.00000000,0.02515775,1.31465784,1.06151015,0.48001375
-5.73586793,2.07350318,0.00415788,0.00000000,0.02602243,1.29336636,1.04392703,0.47691483
-5.72986493,2.03504080,0.00382254,0.00000000,0.02687472,1.26900997,1.02310240,0.47288246
-5.72386193,1.99316797,0.00350764,0.00000000,0.02770875,1.24199479,0.99935120,0.46801595
-5.71785893,1.94852350,0.00321487,0.00000000,0.02851883,1.21274125,0.97301438,0.46241845
-5.71185593,1.90174664,0.00294555,0.00000000,0.02929940,1.18167379,0.94445144,0.45619392
-5.70585293,1.85346167,0.00270063,0.00000000,0.03004509,1.14921095,0.91403288,0.44944428
-5.69984992,1.80426371,0.00248072,0.00000000,0.03075066,1.11575609,0.88213316,0.44226670
-5.69384692,1.75470620,0.00228611,0.00000000,0.03141105,1.08168916,0.84912405,0.43475121
-5.68784392,1.70529060,0.00211683,0.00000000,0.03202136,1.04735965,0.81536886,0.42697870
-5.68184092,1.65645841,0.00197264,0.00000000,0.03257685,1.01308099,0.78121743,0.41901938
-5.67583792,1.60858582,0.00185312,0.00000000,0.03307296,0.97912651,0.74700206,0.41093167
-5.66983492,1.56198105,0.00175769,0.00000000,0.03350535,0.94572704,0.71303441,0.40276171
-5.66383192,1.51688427,0.00168563,0.00000000,0.03386992,0.91307011,0.67960328,0.39454333
-5.65782891,1.47346999,0.00163617,0.00000000,0.03416288,0.88130073,0.64697319,0.38629858
-5.65182591,1.43185162,0.00160848,0.00000000,0.03438080,0.85052363,0.61538367,0.37803875
-5.64582291,1.39208792,0.00160169,0.00000000,0.03452069,0.82080664,0.58504906,0.36976574
