energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,3.17312370,0.02667331,0.03743177,0.27290139,0.26448544,0.11930680,1.62698150,0.53808057,0.10765286
-5.99399700,3.34946381,0.02682592,0.03815606,0.29072463,0.27871065,0.12619884,1.72038403,0.56686519,0.11468066
-5.98799400,3.52441573,0.02681092,0.03868949,0.30826909,0.29285587,0.13314904,1.81338691,0.59527698,0.12182199
-5.98199100,3.69674231,0.02663129,0.03902703,0.32532853,0.30683732,0.14012674,1.90532397,0.62312957,0.12903125
-5.97598799,3.86510997,0.02629393,0.03916685,0.34169273,0.32056342,0.14709541,1.99547128,0.65022656,0.13625530
-5.96998499,4.02808286,0.02580958,0.03911021,0.35715319,0.33393308,0.15401160,2.08304499,0.67636005,0.14343301
-5.96398199,4.18412435,0.02519254,0.03886134,0.37150965,0.34683474,0.16082417,2.16720323,0.70131011,0.15049529
-5.95797899,4.33160714,0.02446042,0.03842728,0.38457730,0.35914603,0.16747392,2.24705282,0.72484554,0.15736558
-5.95197599,4.46883308,0.02363377,0.03781759,0.39619433,0.37073428,0.17389368,2.32166114,0.74672593,0.16396077
-5.94597299,4.59406301,0.02273563,0.03704406,0.40622964,0.38145812,0.18000898,2.39007336,0.76670544,0.17019272
-5.93996998,4.70555633,0.02179107,0.03612043,0.41459037,0.39116991,0.18573932,2.45133487,0.78453797,0.17597022
-5.93396698,4.80161955,0.02082679,0.03506208,0.42122872,0.39971930,0.19099992,2.50451823,0.79998398,0.18120143
-5.92796398,4.88066187,0.01987059,0.03388563,0.42614796,0.40695757,0.19570416,2.54875383,0.81281849,0.18579669
-5.92196098,4.94125573,0.01895099,0.03260870,0.42940700,0.41274268,0.19976634,2.58326282,0.82284010,0.18967156
-5.91595798,4.98219933,0.01809678,0.03124958,0.43112336,0.41694488,0.20310486,2.60739099,0.82988047,0.19275006
-5.90995498,5.00257789,0.01733666,0.02982692,0.43147422,0.41945248,0.20564560,2.62064155,0.83381388,0.19496783
-5.90395198,5.00182021,0.01669891,0.02835951,0.43069528,0.42017755,0.20732530,2.62270524,0.83456621,0.19627509
-5.89794897,4.97974705,0.01621106,0.02686599,0.42907738,0.41906121,0.20809480,2.61348578,0.83212277,0.19663936
-5.89194597,4.93660821,0.01589963,0.02536467,0.42696081,0.41607819,0.20792198,2.59311906,0.82653455,0.19604757
-5.88594297,4.87310557,0.01578985,0.02387330,0.42472747,0.41124036,0.20679411,2.56198468,0.81792213,0.19450764
-5.87993997,4.79040004,0.01590539,0.02240889,0.42279094,0.40459910,0.20471967,2.52070873,0.80647726,0.19204931
-5.87393697,4.69010131,0.01626807,0.02098753,0.42158491,0.39624610,0.20172929,2.47015741,0.79246145,0.18872419
-5.86793397,4.57424008,0.01689760,0.01962426,0.42155029,0.38631279,0.19787593,2.41142117,0.77620176,0.18460500
-5.86193097,4.44522355,0.01781120,0.01833292,0.42312158,0.37496814,0.19323410,2.34579007,0.75808370,0.17978410
-5.85592796,4.30577588,0.01902322,0.01712602,0.42671297,0.36241505,0.18789835,2.27472112,0.73854157,0.17437119
-5.84992496,4.15886608,0.02054479,0.01601465,0.43270491,0.34888538,0.18198082,2.19979918,0.71804660,0.16849050
-5.84392196,4.00762684,0.02238329,0.01500843,0.44143168,0.33463404,0.17560830,2.12269307,0.69709336,0.16227745
-5.83791896,3.85526787,0.02454194,0.01411539,0.45317070,0.31993211,0.16891858,2.04510916,0.67618517,0.15587501
-5.83191596,3.70498806,0.02701930,0.01334203,0.46813407,0.30505964,0.16205655,1.96874437,0.65581925,0.14942990
-5.82591296,3.55989052,0.02980883,0.01269327,0.48646301,0.29029825,0.15517016,1.89524113,0.63647210,0.14308882
-5.81990995,3.42290450,0.03289845,0.01217257,0.50822546,0.27592399,0.14840628,1.82614622,0.61858620,0.13699490
-5.81390695,3.29671766,0.03627025,0.01178192,0.53341721,0.26220069,0.14190690,1.76287533,0.60255827,0.13128449
-5.80790395,3.18372159,0.03990026,0.01152207,0.56196674,0.24937419,0.13580562,1.70668496,0.58872998,0.12608440
-5.80190095,3.08597262,0.04375835,0.01139261,0.59374359,0.23766750,0.13022466,1.65865267,0.57738125,0.12150978
-5.79589795,3.00516895,0.04780836,0.01139217,0.62857005,0.22727725,0.12527249,1.61966619,0.56872657,0.11766254
-5.78989495,2.94264435,0.05200839,0.01151866,0.66623586,0.21837137,0.12104212,1.59042137,0.56291432,0.11463049
-5.78389195,2.89937751,0.05631128,0.01176944,0.70651504,0.21108797,0.11761007,1.57142863,0.56002901,0.11248706
-5.77788894,2.87601528,0.06066535,0.01214157,0.74918427,0.20553559,0.11503595,1.56302667,0.56009613,0.11129156
-5.77188594,2.87290737,0.06501535,0.01263200,0.79404172,0.20179435,0.11336270,1.56540217,0.56308934,0.11108995
-5.76588294,2.89014920,0.06930359,0.01323774,0.84092542,0.19991817,0.11261727,1.57861372,0.56893916,0.11191586
-5.75987994,2.92762954,0.07347123,0.01395603,0.88972990,0.19993753,0.11281173,1.60261793,0.57754291,0.11379191
-5.75387694,2.98507913,0.07745973,0.01478438,0.94042024,0.20186279,0.11394458,1.63729572,0.58877484,0.11673104
-5.74787394,3.06211663,0.08121235,0.01572065,0.99304232,0.20568761,0.11600224,1.68247686,0.60249609,0.12073771
-5.74187094,3.15828856,0.08467571,0.01676297,1.04772857,0.21139237,0.11896041,1.73796076,0.61856360,0.12580900
-5.73586793,3.27310042,0.08780125,0.01790964,1.10469848,0.21894730,0.12278545,1.80353216,0.63683756,0.13193528
-5.72986493,3.40603686,0.09054666,0.01915895,1.16425339,0.22831511,0.12743540,1.87897044,0.65718682,0.13910059
-5.72386193,3.55656954,0.09287704,0.02050892,1.22676566,0.23945311,0.13286076,1.96405195,0.67949213,0.14728251
-5.71785893,3.72415244,0.09476596,0.02195698,1.29266217,0.25231449,0.13900501,2.05854526,0.70364681,0.15645166
-5.71185593,3.90820505,0.09619613,0.02349967,1.36240282,0.26684904,0.14580469,2.16219958,0.72955517,0.16657080
-5.70585293,4.10808501,0.09715983,0.02513220,1.43645482,0.28300296,0.15318931,2.27472737,0.75712857,0.17759361
-5.69984992,4.32305263,0.09765895,0.02684813,1.51526382,0.30071821,0.16108102,2.39578242,0.78627972,0.18946329
-5.69384692,4.55223000,0.09770475,0.02863902,1.59922330,0.31993120,0.16939416,2.52493516,0.81691554,0.20211111
-5.68784392,4.79455842,0.09731729,0.03049411,1.68864355,0.34057112,0.17803482,2.66164714,0.84892922,0.21545505
-5.68184092,5.04875769,0.09652445,0.03240017,1.78372191,0.36255809,0.18690059,2.80524680,0.88219209,0.22939869
-5.67583792,5.31329097,0.09536085,0.03434129,1.88451563,0.38580119,0.19588046,2.95490867,0.91654601,0.24383054
-5.66983492,5.58633854,0.09386643,0.03629898,1.99091902,0.41019671,0.20485520,3.10963775,0.95179676,0.25862385
-5.66383192,5.86578353,0.09208496,0.03825225,2.10264579,0.43562662,0.21369814,3.26826099,0.98770923,0.27363719
-5.65782891,6.14921158,0.09006249,0.04017791,2.21921792,0.46195750,0.22227652,3.42942680,1.02400460,0.28871560
-5.65182591,6.43392595,0.08784570,0.04205098,2.33996149,0.48903999,0.23045332,3.59161356,1.06035999,0.30369264
-5.64582291,6.71697830,0.08548042,0.04384522,2.46400995,0.51670885,0.23808973,3.75314728,1.09641075,0.31839298
-5.63981991,6.99521452,0.08301023,0.04553380,2.59031481,0.54478356,0.24504800,3.91222784,1.13175522,0.33263581
-5.63381691,7.26533413,0.08047527,0.04709004,2.71766338,0.57306958,0.25119477,4.06696329,1.16596197,0.34623865
-5.62781391,7.52396071,0.07791122,0.04848817,2.84470290,0.60136008,0.25640460,4.21541047,1.19857910,0.35902157
-5.62181091,7.76772027,0.07534862,0.04970420,2.96997023,0.62943814,0.26056359,4.35562033,1.22914517,0.37081160
-5.61580790,7.99332397,0.07281236,0.05071672,3.09192580,0.65707931,0.26357299,4.48568601,1.25720125,0.38144711
-5.60980490,8.19765150,0.07032156,0.05150759,3.20899066,0.68405433,0.26535249,4.60379125,1.28230341,0.39078199
-5.60380190,8.37783107,0.06788956,0.05206268,3.31958517,0.71013212,0.26584309,4.70825726,1.30403517,0.39868936
