energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,4.47329348,0.13251894,0.00000000,0.09722551,0.27439816,2.01859666,1.66030893,0.03283122,2.79234536
-5.99399700,4.30094382,0.12533867,0.00000000,0.09601778,0.27875692,1.89380536,1.61167899,0.03217514,2.65715112
-5.98799400,4.13137307,0.11822517,0.00000000,0.09474646,0.28197253,1.77474716,1.56275525,0.03146650,2.52591170
-5.98199100,3.96448739,0.11123040,0.00000000,0.09338049,0.28393559,1.66162938,1.51334468,0.03071095,2.39874109
-5.97598799,3.80011362,0.10439935,0.00000000,0.09189012,0.28456626,1.55453809,1.46325482,0.02991391,2.27564946
-5.96998499,3.63805195,0.09777003,0.00000000,0.09024826,0.28381849,1.45346135,1.41231659,0.02908074,2.15657412
-5.96398199,3.47812819,0.09137397,0.00000000,0.08843192,0.28168319,1.35831463,1.36040572,0.02821696,2.04141166
-5.95797899,3.32024284,0.08523675,0.00000000,0.08642340,0.27819037,1.26896698,1.30746156,0.02732847,1.93004929
-5.95197599,3.16441438,0.07937884,0.00000000,0.08421128,0.27340987,1.18526672,1.25350236,0.02642186,1.82239395
-5.94597299,3.01081486,0.07381650,0.00000000,0.08179124,0.26745089,1.10706536,1.19863644,0.02550461,1.71839764
-5.93996998,2.85979615,0.06856268,0.00000000,0.07916655,0.26046028,1.03423890,1.14306879,0.02458542,1.61807804
-5.93396698,2.71190618,0.06362795,0.00000000,0.07634824,0.25261965,0.96670560,1.08710297,0.02367439,1.52153367
-5.92796398,2.56789466,0.05902139,0.00000000,0.07335506,0.24414143,0.90443991,1.03113854,0.02278318,1.42895329
-5.92196098,2.42870870,0.05475134,0.00000000,0.07021309,0.23526414,0.84748212,0.97566431,0.02192516,1.34061945
-5.91595798,2.29547908,0.05082601,0.00000000,0.06695506,0.22624696,0.79594382,0.92124796,0.02111542,1.25690662
-5.90995498,2.16949830,0.04725402,0.00000000,0.06361953,0.21736395,0.75000935,0.86852279,0.02037072,1.17827441
-5.90395198,2.05219195,0.04404471,0.00000000,0.06024980,0.20889797,0.70993353,0.81817233,0.01970940,1.10525654
-5.89794897,1.94508497,0.04120840,0.00000000,0.05689271,0.20113471,0.67603614,0.77091358,0.01915113,1.03844665
-5.89194597,1.84976449,0.03875643,0.00000000,0.05359735,0.19435683,0.64869370,0.72747971,0.01871667,0.97848161
-5.88594297,1.76784089,0.03670117,0.00000000,0.05041371,0.18883849,0.62832906,0.68860278,0.01842752,0.92602352
-5.87993997,1.70090852,0.03505590,0.00000000,0.04739135,0.18484031,0.61539939,0.65499724,0.01830547,0.88174092
-5.87393697,1.65050732,0.03383467,0.00000000,0.04457812,0.18260490,0.61038290,0.62734445,0.01837217,0.84629021
-5.86793397,1.61808624,0.03305202,0.00000000,0.04201896,0.18235292,0.61376489,0.60627865,0.01864861,0.82029765
-5.86193097,1.60496932,0.03272279,0.00000000,0.03975483,0.18427975,0.62602327,0.59237456,0.01915458,0.80434249
-5.85592796,1.61232459,0.03286185,0.00000000,0.03782178,0.18855266,0.64761385,0.58613647,0.01990816,0.79894138
-5.84992496,1.64113623,0.03348384,0.00000000,0.03625024,0.19530851,0.67895559,0.58798905,0.02092510,0.80453429
-5.84392196,1.69217980,0.03460285,0.00000000,0.03506436,0.20465182,0.72041584,0.59826940,0.02221835,0.82147186
-5.83791896,1.76600047,0.03623226,0.00000000,0.03428174,0.21665320,0.77229572,0.61722051,0.02379750,0.85000419
-5.83191596,1.86289416,0.03838434,0.00000000,0.03391311,0.23134804,0.83481560,0.64498564,0.02566833,0.89027098
-5.82591296,1.98289126,0.04107006,0.00000000,0.03396242,0.24873546,0.90810094,0.68160370,0.02783237,0.94229283
-5.81990995,2.12574307,0.04429871,0.00000000,0.03442695,0.26877737,0.99216851,0.72700538,0.03028653,1.00596380
-5.81390695,2.29091077,0.04807759,0.00000000,0.03529761,0.29139779,1.08691329,0.78101008,0.03302286,1.08104511
-5.80790395,2.47755732,0.05241161,0.00000000,0.03655951,0.31648232,1.19209640,0.84332356,0.03602837,1.16716012
-5.80190095,2.68454262,0.05730291,0.00000000,0.03819245,0.34387790,1.30733443,0.91353665,0.03928491,1.26379084
-5.79589795,2.91042232,0.06275033,0.00000000,0.04017173,0.37339282,1.43209071,0.99112493,0.04276925,1.37027610
-5.78989495,3.15345116,0.06874903,0.00000000,0.04246891,0.40479732,1.56566916,1.07544995,0.04645326,1.48581191
-5.78389195,3.41159134,0.07528993,0.00000000,0.04505268,0.43782455,1.70721119,1.16576202,0.05030415,1.60945419
-5.77788894,3.68252677,0.08235922,0.00000000,0.04788977,0.47217234,1.85569643,1.26120503,0.05428496,1.74012451
-5.77188594,3.96368382,0.08993794,0.00000000,0.05094583,0.50750565,2.00994770,1.36082352,0.05835507,1.87661887
-5.76588294,4.25225902,0.09800155,0.00000000,0.05418632,0.54345997,2.16864075,1.46357230,0.06247084,2.01762018
-5.75987994,4.54525398,0.10651958,0.00000000,0.05757730,0.57964556,2.33031905,1.56832860,0.06658644,2.16171420
-5.75387694,4.83951742,0.11545544,0.00000000,0.06108614,0.61565274,2.49341359,1.67390702,0.07065467,2.30740916
-5.74787394,5.13179396,0.12476628,0.00000000,0.06468210,0.65105804,2.65626776,1.77907695,0.07462783,2.45315883
-5.74187094,5.41877874,0.13440306,0.00000000,0.06833678,0.68543133,2.81716658,1.88258237,0.07845873,2.59738844
-5.73586793,5.69717667,0.14431071,0.00000000,0.07202434,0.71834354,2.97436981,1.98316355,0.08210160,2.73852299
-5.72986493,5.96376476,0.15442853,0.00000000,0.07572161,0.74937505,3.12614772,2.07958020,0.08551303,2.87501701
-5.72386193,6.21545549,0.16469064,0.00000000,0.07940794,0.77812436,3.27081860,2.17063530,0.08865283,3.00538477
-5.71785893,6.44935910,0.17502664,0.00000000,0.08306495,0.80421677,3.40678622,2.25519897,0.09148484,3.12822985
-5.71185593,6.66284258,0.18536234,0.00000000,0.08667602,0.82731291,3.53257618,2.33223153,0.09397757,3.24227286
-5.70585293,6.85358299,0.19562063,0.00000000,0.09022572,0.84711654,3.64686923,2.40080493,0.09610480,3.34637613
-5.69984992,7.01961298,0.20572232,0.00000000,0.09369909,0.86338163,3.74853036,2.46012171,0.09784595,3.43956442
-5.69384692,7.15935683,0.21558711,0.00000000,0.09708090,0.87591822,3.83663236,2.50953085,0.09918632,3.52104067
-5.68784392,7.27165532,0.22513450,0.00000000,0.10035491,0.88459679,3.91047268,2.54853994,0.10011723,3.59019608
-5.68184092,7.35577883,0.23428465,0.00000000,0.10350314,0.88935120,3.96958317,2.57682309,0.10063593,3.64661443
-5.67583792,7.41142812,0.24295925,0.00000000,0.10650527,0.89017979,4.01373219,2.59422455,0.10074535,3.69007029
-5.66983492,7.43872335,0.25108234,0.00000000,0.10933827,0.88714479,4.04291938,2.60075779,0.10045386,3.72052177
-5.66383192,7.43818216,0.25858101,0.00000000,0.11197607,0.88037002,4.05736363,2.59660047,0.09977471,3.73809820
-5.65782891,7.41068842,0.26538616,0.00000000,0.11438969,0.87003704,4.05748520,2.58208547,0.09872560,3.74308390
-5.65182591,7.35745373,0.27143313,0.00000000,0.11654740,0.85637994,4.04388336,2.55768868,0.09732805,3.73589910
-5.64582291,7.27997391,0.27666241,0.00000000,0.11841535,0.83967903,4.01731094,2.52401424,0.09560676,3.71707938
-5.63981991,7.17998322,0.28102034,0.00000000,0.11995831,0.82025374,3.97864770,2.48177799,0.09358903,3.68725505
-5.63381691,7.05940865,0.28445982,0.00000000,0.12114073,0.79845511,3.92887393,2.43179007,0.09130413,3.64713174
-5.62781391,6.92032683,0.28694111,0.00000000,0.12192793,0.77465820,3.86904604,2.37493740,0.08878276,3.59747335
-5.62181091,6.76492544,0.28843266,0.00000000,0.12228748,0.74925463,3.80027532,2.31216688,0.08605653,3.53908842
-5.61580790,6.59547070,0.28891203,0.00000000,0.12219059,0.72264578,3.72371101,2.24446987,0.08315749,3.47282029
-5.60980490,6.41428176,0.28836679,0.00000000,0.12161351,0.69523655,3.64052792,2.17286848,0.08011783,3.39954155
-5.60380190,6.22371225,0.28679543,0.00000000,0.12053889,0.66743010,3.55191907,2.09840385,0.07696953,3.32015237
-5.59779890,6.02613846,0.28420821,0.00000000,0.11895689,0.63962350,3.45909256,2.02212650,0.07374416,3.23558222
-5.59179590,5.82395304,0.28062794,0.00000000,0.11686616,0.61220423,3.36327216,1.94508857,0.07047268,3.14679415
-5.58579290,5.61956246,0.27609048,0.00000000,0.11427445,0.58554757,3.26570007,1.86833757,0.06718534,3.05479032
-5.57978989,5.41538627,0.27064509,0.00000000,0.11119900,0.56001452,3.16764062,1.79291113,0.06391156,2.96061746
-5.57378689,5.21385555,0.26435444,0.00000000,0.10766642,0.53595026,3.07038301,1.71983205,0.06067985,2.86537073
-5.56778389,5.01740840,0.25729419,0.00000000,0.10371240,0.51368260,2.97524155,1.65010300,0.05751769,2.77019467
-5.56178089,4.82848005,0.24955224,0.00000000,0.09938090,0.49352037,2.88355169,1.58470012,0.05445143,2.67627982
-5.55577789,4.64948574,0.24122754,0.00000000,0.09472314,0.47575148,2.79666063,1.52456494,0.05150611,2.58485404
-5.54977489,4.48279501,0.23242838,0.00000000,0.08979626,0.46064023,2.71591160,1.47059408,0.04870529,2.49716801
-5.54377189,4.33069662,0.22327041,0.00000000,0.08466178,0.44842402,2.64262121,1.42362645,0.04607078,2.41447438
-5.53776888,4.19535432,0.21387419,0.00000000,0.07938390,0.43930914,2.57805030,1.38442782,0.04362232,2.33800112
-5.53176588,4.07875411,0.20436250,0.00000000,0.07402780,0.43346571,2.52336857,1.35367310,0.04137730,2.26891950
-5.52576288,3.98264488,0.19485743,0.00000000,0.06865783,0.43102206,2.47961473,1.33192651,0.03935034,2.20830805
-5.51975988,3.90847483,0.18547740,0.00000000,0.06333588,0.43205851,2.44765352,1.31962061,0.03755293,2.15711397
-5.51375688,3.85732653,0.17633418,0.00000000,0.05811984,0.43660103,2.42813214,1.31703502,0.03599306,2.11611376
-5.50775388,3.82985450,0.16753007,0.00000000,0.05306228,0.44461516,2.42143841,1.32427601,0.03467483,2.08587544
-5.50175088,3.82622877,0.15915531,0.00000000,0.04820940,0.45600057,2.42766339,1.34125816,0.03359820,2.06672419
-5.49574787,3.84608849,0.15128587,0.00000000,0.04360015,0.47058674,2.44657109,1.36768954,0.03275876,2.05871391
-5.48974487,3.88850921,0.14398171,0.00000000,0.03926579,0.48813030,2.47757782,1.40306164,0.03214756,2.06160646
-5.48374187,3.95198702,0.13728558,0.00000000,0.03522963,0.50831436,2.51974314,1.44664526,0.03175117,2.07486035
-5.47773887,4.03444223,0.13122234,0.00000000,0.03150706,0.53075028,2.57177418,1.49749340,0.03155176,2.09763033
-5.47173587,4.13324425,0.12579898,0.00000000,0.02810586,0.55498210,2.63204429,1.55445179,0.03152738,2.12877854
-5.46573287,4.24525859,0.12100522,0.00000000,0.02502674,0.58049375,2.69862619,1.61617760,0.03165241,2.16689757
-5.45972986,4.36691552,0.11681464,0.00000000,0.02226401,0.60671909,2.76933935,1.68116611,0.03189805,2.21034518
-5.45372686,4.49429893,0.11318643,0.00000000,0.01980642,0.63305456,2.84181009,1.74778516,0.03223308,2.25728960
-5.44772386,4.62325301,0.11006759,0.00000000,0.01763812,0.65887417,2.91354256,1.81431622,0.03262462,2.30576411
-5.44172086,4.74950287,0.10739542,0.00000000,0.01573957,0.68354630,2.98199791,1.87900115,0.03303902,2.35372878
-5.43571786,4.86878483,0.10510036,0.00000000,0.01408859,0.70645177,3.04467845,1.94009271,0.03344283,2.39913699
-5.42971486,4.97698119,0.10310894,0.00000000,0.01266126,0.72700244,3.09921325,1.99590711,0.03380372,2.44000399
