energy_ev,total_up,Pd_p_up,Pd_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,4.82954056,5.05852267,3.48747960,0.93782456,0.03109289,0.01389231,0.44552700
-5.99399700,5.00162017,5.21115092,3.61084959,0.98737357,0.03227986,0.01440385,0.46061385
-5.98799400,5.17017414,5.35248796,3.73286809,1.03693156,0.03347928,0.01491863,0.47458608
-5.98199100,5.33335038,5.48109505,3.85223586,1.08592429,0.03467334,0.01543521,0.48727656
-5.97598799,5.48931913,5.59566085,3.96765359,1.13376799,0.03584386,0.01595172,0.49853057
-5.96998499,5.63629456,5.69501067,4.07783650,1.17987757,0.03697272,0.01646583,0.50820771
-5.96398199,5.77255884,5.77811518,4.18153150,1.22367583,0.03804218,0.01697470,0.51618384
-5.95797899,5.89648879,5.84409903,4.27753649,1.26460364,0.03903526,0.01747496,0.52235289
-5.95197599,6.00658433,5.89224966,4.36472159,1.30213084,0.03993612,0.01796276,0.52662858
-5.94597299,6.10149802,5.92202633,4.44205149,1.33576755,0.04073046,0.01843384,0.52894587
-5.93996998,6.18006455,5.93306928,4.50860823,1.36507549,0.04140583,0.01888361,0.52926238
-5.93396698,6.24132889,5.92520864,4.56361312,1.38967889,0.04195196,0.01930727,0.52755939
-5.92796398,6.28457156,5.89847244,4.60644693,1.40927454,0.04236100,0.01969994,0.52384263
-5.92196098,6.30932962,5.85309305,4.63666698,1.42364030,0.04262772,0.02005685,0.51814264
-5.91595798,6.31541188,5.78951108,4.65402005,1.43264194,0.04274959,0.02037346,0.51051476
-5.90995498,6.30290706,5.70837586,4.65845013,1.43623752,0.04272681,0.02064559,0.50103860
-5.90395198,6.27218400,5.61054170,4.65010032,1.43447919,0.04256224,0.02086961,0.48981700
-5.89794897,6.22388317,5.49705919,4.62930818,1.42751221,0.04226123,0.02104250,0.47697451
-5.89194597,6.15889954,5.36916100,4.59659476,1.41557088,0.04183135,0.02116194,0.46265529
-5.88594297,6.07835690,5.22824226,4.55264716,1.39897165,0.04128213,0.02122638,0.44702055
-5.87993997,5.98357468,5.07583543,4.49829561,1.37810353,0.04062461,0.02123499,0.43024554
-5.87393697,5.87602852,4.91358044,4.43448581,1.35341610,0.03987097,0.02118772,0.41251616
-5.86793397,5.75730618,4.74319084,4.36224800,1.32540568,0.03903402,0.02108516,0.39402534
-5.86193097,5.62906100,4.56641741,4.28266403,1.29460023,0.03812683,0.02092851,0.37496922
-5.85592796,5.49296496,4.38501047,4.19683443,1.26154355,0.03716222,0.02071947,0.35554336
-5.84992496,5.35066371,4.20068272,4.10584674,1.22677969,0.03615239,0.02046011,0.33593903
-5.84392196,5.20373555,4.01507406,4.01074696,1.19083804,0.03510861,0.02015278,0.31633981
-5.83791896,5.05365637,3.82972022,3.91251538,1.15421985,0.03404088,0.01979999,0.29691849
-5.83191596,4.90177205,3.64602637,3.81204780,1.11738678,0.03295783,0.01940431,0.27783452
-5.82591296,4.74927923,3.46524691,3.71014295,1.08075182,0.03186653,0.01896832,0.25923195
-5.81990995,4.59721505,3.28847221,3.60749628,1.04467292,0.03077255,0.01849454,0.24123804
-5.81390695,4.44645569,3.11662255,3.50470011,1.00944944,0.02967998,0.01798541,0.22396246
-5.80790395,4.29772312,2.95044909,3.40224940,0.97532143,0.02859160,0.01744333,0.20749709
-5.80190095,4.15159879,2.79054145,3.30055246,0.94247134,0.02750909,0.01687060,0.19191645
-5.79589795,4.00854286,2.63734086,3.19994509,0.91102815,0.02643326,0.01626958,0.17727851
-5.78989495,3.86891692,2.49115765,3.10070705,0.88107308,0.02536439,0.01564265,0.16362601
-5.78389195,3.73300839,2.35219162,3.00307911,0.85264666,0.02430246,0.01499232,0.15098796
