energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.15077605,0.00133699,0.06002820,0.31144734,0.22024896,0.01727810,0.66756495,0.43017215,0.09210429
-5.99399700,1.17227828,0.00134911,0.05969662,0.31896887,0.22603610,0.01717858,0.68267248,0.44053607,0.09378614
-5.98799400,1.19667635,0.00136718,0.05945896,0.32797544,0.23254667,0.01709276,0.69949113,0.45119913,0.09575409
-5.98199100,1.22392621,0.00138977,0.05930688,0.33844712,0.23979441,0.01701946,0.71800597,0.46216979,0.09800711
-5.97598799,1.25404723,0.00141556,0.05923655,0.35037293,0.24781061,0.01695864,0.73823578,0.47348741,0.10054732
-5.96998499,1.28711017,0.00144337,0.05924812,0.36374757,0.25664108,0.01691115,0.76022585,0.48521738,0.10337892
-5.96398199,1.32321973,0.00147217,0.05934494,0.37856666,0.26634195,0.01687848,0.78403773,0.49744443,0.10650688
-5.95797899,1.36249272,0.00150107,0.05953251,0.39482073,0.27697416,0.01686237,0.80973646,0.51026435,0.10993511
-5.95197599,1.40503274,0.00152931,0.05981734,0.41248831,0.28859708,0.01686445,0.83737583,0.52377429,0.11366459
-5.94597299,1.45090294,0.00155627,0.06020569,0.43152849,0.30126142,0.01688592,0.86698260,0.53806228,0.11769128
-5.93996998,1.50009831,0.00158144,0.06070222,0.45187350,0.31500178,0.01692721,0.89854046,0.55319642,0.12200416
-5.93396698,1.55251916,0.00160441,0.06130887,0.47342172,0.32982927,0.01698772,0.93197476,0.56921418,0.12658335
-5.92796398,1.60794733,0.00162481,0.06202369,0.49603158,0.34572445,0.01706560,0.96713896,0.58611271,0.13139856
-5.92196098,1.66602692,0.00164239,0.06283995,0.51951699,0.36263123,0.01715764,1.00380361,0.60384034,0.13640798
-5.91595798,1.72625066,0.00165688,0.06374556,0.54364449,0.38045186,0.01725925,1.04164892,0.62229017,0.14155762
-5.90995498,1.78795335,0.00166807,0.06472265,0.56813267,0.39904358,0.01736449,1.08026129,0.64129603,0.14678126
-5.90395198,1.85031293,0.00167575,0.06574760,0.59265386,0.41821712,0.01746624,1.11913450,0.66063119,0.15200108
-5.89794897,1.91235986,0.00167972,0.06679138,0.61683845,0.43773725,0.01755641,1.15767576,0.68001016,0.15712884
-5.89194597,1.97299470,0.00167977,0.06782013,0.64028160,0.45732561,0.01762623,1.19521659,0.69909349,0.16206777
-5.88594297,2.03101356,0.00167569,0.06879619,0.66255235,0.47666576,0.01766663,1.23102828,0.71749569,0.16671499
-5.87993997,2.08514043,0.00166730,0.06967925,0.68320467,0.49541036,0.01766856,1.26434151,0.73479583,0.17096440
-5.87393697,2.13406538,0.00165439,0.07042784,0.70179025,0.51319029,0.01762343,1.29436922,0.75055062,0.17470996
-5.86793397,2.17648679,0.00163680,0.07100080,0.71787222,0.52962540,0.01752345,1.32033197,0.76430922,0.17784917
-5.86193097,2.21115600,0.00161438,0.07135899,0.73103954,0.54433641,0.01736201,1.34148452,0.77562934,0.18028660
-5.85592796,2.23692214,0.00158704,0.07146681,0.74092110,0.55695756,0.01713397,1.35714253,0.78409370,0.18193736
-5.84992496,2.25277525,0.00155473,0.07129374,0.74719910,0.56714939,0.01683589,1.36670815,0.78932621,0.18273028
-5.84392196,2.25788562,0.00151749,0.07081571,0.74962098,0.57461106,0.01646623,1.36969329,0.79100708,0.18261068
-5.83791896,2.25163741,0.00147541,0.07001613,0.74800935,0.57909171,0.01602541,1.36573938,0.78888603,0.18154264
-5.83191596,2.23365523,0.00142866,0.06888676,0.74226947,0.58040034,0.01551584,1.35463294,0.78279318,0.17951057
-5.82591296,2.20382220,0.00137752,0.06742824,0.73239394,0.57841366,0.01494182,1.33631599,0.77264685,0.17652014
-5.81990995,2.16228886,0.00132234,0.06565023,0.71846431,0.57308168,0.01430944,1.31089101,0.75845819,0.17259842
-5.81390695,2.10947270,0.00126353,0.06357127,0.70064965,0.56443063,0.01362633,1.27862026,0.74033222,0.16779326
-5.80790395,2.04604820,0.00120161,0.06121836,0.67920216,0.55256331,0.01290144,1.23991946,0.71846540,0.16217205
-5.80190095,1.97292830,0.00113712,0.05862615,0.65444995,0.53765669,0.01214469,1.19534635,0.69313988,0.15581974
-5.79589795,1.89123806,0.00107067,0.05583603,0.62678750,0.51995701,0.01136675,1.14558464,0.66471482,0.14883644
-5.78989495,1.80228200,0.00100292,0.05289494,0.59666419,0.49977262,0.01057862,1.09142419,0.63361504,0.14133452
-5.78389195,1.70750670,0.00093450,0.04985410,0.56457141,0.47746491,0.00979141,1.03373843,0.60031790,0.13343546
-5.77788894,1.60846029,0.00086609,0.04676770,0.53102889,0.45343781,0.00901600,0.97345996,0.56533874,0.12526661
-5.77188594,1.50675070,0.00079833,0.04369152,0.49657086,0.42812628,0.00826281,0.91155544,0.52921574,0.11695790
-5.76588294,1.40400435,0.00073181,0.04068165,0.46173243,0.40198435,0.00754161,0.84900088,0.49249481,0.10863865
