energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,8.25610530,0.64715233,4.07656256,0.01646836,0.72714672,1.98485505,2.13983092,1.10768426,0.00000000
-5.99399700,8.28573919,0.64631435,4.12752566,0.01591379,0.71859059,1.98294506,2.13066878,1.10452404,0.00000000
-5.98799400,8.31076532,0.64558058,4.17654052,0.01538689,0.71043733,1.98061590,2.11962440,1.10015520,0.00000000
-5.98199100,8.33116349,0.64493588,4.22338393,0.01489169,0.70265398,1.97773929,2.10689739,1.09464662,0.00000000
-5.97598799,8.34710561,0.64437104,4.26792424,0.01443191,0.69521071,1.97421703,2.09275130,1.08810041,0.00000000
-5.96998499,8.35895640,0.64388397,4.31012164,0.01401100,0.68808314,1.96998679,2.07751136,1.08065167,0.00000000
-5.96398199,8.36726393,0.64348033,4.35002362,0.01363221,0.68125394,1.96502586,2.06155913,1.07246688,0.00000000
-5.95797899,8.37274028,0.64317347,4.38775567,0.01329856,0.67471394,1.95935277,2.04532429,1.06374071,0.00000000
-5.95197599,8.37623268,0.64298387,4.42350728,0.01301288,0.66846243,1.95302662,2.02927355,1.05469163,0.00000000
-5.94597299,8.37868621,0.64293791,4.45751403,0.01277779,0.66250682,1.94614433,2.01389728,1.04555622,0.00000000
-5.93996998,8.38109961,0.64306625,4.49003635,0.01259560,0.65686157,1.93883571,1.99969418,1.03658263,0.00000000
-5.93396698,8.38447612,0.64340175,4.52133605,0.01246834,0.65154651,1.93125687,1.98715473,1.02802317,0.00000000
-5.92796398,8.38977157,0.64397720,4.55165169,0.01239760,0.64658457,1.92358207,1.97674405,1.02012662,0.00000000
-5.92196098,8.39784218,0.64482275,4.58117422,0.01238448,0.64199915,1.91599436,1.96888480,1.01313021,0.00000000
-5.91595798,8.40939446,0.64596339,4.61002404,0.01242950,0.63781116,1.90867565,1.96394109,1.00725183,0.00000000
-5.90995498,8.42493984,0.64741643,4.63823085,0.01253247,0.63403592,1.90179640,1.96220391,1.00268264,0.00000000
-5.90395198,8.44475618,0.64918920,4.66571751,0.01269245,0.63068014,1.89550550,1.96387879,0.99958031,0.00000000
-5.89794897,8.46885819,0.65127690,4.69228882,0.01290760,0.62773912,1.88992081,1.96907632,0.99806319,0.00000000
-5.89194597,8.49697851,0.65366096,4.71762609,0.01317520,0.62519431,1.88512079,1.97780585,0.99820559,0.00000000
-5.88594297,8.52856043,0.65630773,4.74128809,0.01349153,0.62301145,1.88113752,1.98997285,1.00003429,0.00000000
-5.87993997,8.56276309,0.65916768,4.76271831,0.01385190,0.62113938,1.87795158,2.00537994,1.00352652,0.00000000
-5.87393697,8.59847914,0.66217523,4.78125876,0.01425065,0.61950958,1.87548897,2.02373174,1.00860938,0.00000000
-5.86793397,8.63436452,0.66524913,4.79616955,0.01468123,0.61803668,1.87362039,2.04464328,1.01516085,0.00000000
-5.86193097,8.66887920,0.66829351,4.80665372,0.01513621,0.61661974,1.87216278,2.06765180,1.02301227,0.00000000
-5.85592796,8.70033758,0.67119956,4.81188608,0.01560749,0.61514449,1.87088339,2.09223150,1.03195240,0.00000000
-5.84992496,8.72696655,0.67384790,4.81104497,0.01608636,0.61348637,1.86950610,2.11781063,1.04173291,0.00000000
-5.84392196,8.74696885,0.67611155,4.80334549,0.01656376,0.61151430,1.86771994,2.14379043,1.05207510,0.00000000
-5.83791896,8.75858943,0.67785949,4.78807261,0.01703043,0.60909510,1.86518946,2.16956515,1.06267786,0.00000000
-5.83191596,8.76018199,0.67896077,4.76461283,0.01747715,0.60609832,1.86156664,2.19454234,1.07322648,0.00000000
-5.82591296,8.75027314,0.67928896,4.73248281,0.01789499,0.60240134,1.85650388,2.21816285,1.08340214,0.00000000
-5.81990995,8.72762152,0.67872696,4.69135386,0.01827554,0.59789453,1.84966767,2.23991958,1.09289185,0.00000000
-5.81390695,8.69126965,0.67717193,4.64107097,0.01861113,0.59248627,1.84075220,2.25937439,1.10139839,0.00000000
-5.80790395,8.64058619,0.67454020,4.58166579,0.01889506,0.58610752,1.82949270,2.27617251,1.10865002,0.00000000
-5.80190095,8.57529731,0.67077196,4.51336293,0.01912182,0.57871590,1.81567760,2.29005390,1.11440957,0.00000000
-5.79589795,8.49550544,0.66583558,4.43657925,0.01928719,0.57029895,1.79915926,2.30086107,1.11848266,0.00000000
-5.78989495,8.40169520,0.65973132,4.35191643,0.01938845,0.56087646,1.77986278,2.30854309,1.12072457,0.00000000
-5.78389195,8.29472584,0.65249434,4.26014701,0.01942438,0.55050174,1.75779229,2.31315572,1.12104566,0.00000000
-5.77788894,8.17581092,0.64419670,4.16219466,0.01939531,0.53926185,1.73303475,2.31485752,1.11941504,0.00000000
-5.77188594,8.04648582,0.63494841,4.05910955,0.01930314,0.52727654,1.70576083,2.31390222,1.11586235,0.00000000
-5.76588294,7.90856459,0.62489728,3.95203992,0.01915120,0.51469611,1.67622286,2.31062759,1.11047753,0.00000000
-5.75987994,7.76408792,0.61422766,3.84220095,0.01894415,0.50169821,1.64474995,2.30544150,1.10340866,0.00000000
-5.75387694,7.61526420,0.60315793,3.73084243,0.01868783,0.48848354,1.61174042,2.29880547,1.09485788,0.00000000
-5.74787394,7.46440624,0.59193693,3.61921627,0.01838902,0.47527079,1.57765179,2.29121672,1.08507564,0.00000000
-5.74187094,7.31386608,0.58083923,3.50854532,0.01805525,0.46229088,1.54298870,2.28318938,1.07435343,0.00000000
-5.73586793,7.16597031,0.57015964,3.39999448,0.01769449,0.44978068,1.50828929,2.27523568,1.06301529,0.00000000
-5.72986493,7.02295859,0.56020681,3.29464524,0.01731495,0.43797650,1.47411047,2.26784803,1.05140854,0.00000000
-5.72386193,6.88692740,0.55129633,3.19347436,0.01692477,0.42710748,1.44101260,2.26148263,1.03989397,0.00000000
-5.71785893,6.75978098,0.54374343,3.09733729,0.01653185,0.41738919,1.40954419,2.25654541,1.02883591,0.00000000
-5.71185593,6.64319115,0.53785546,3.00695676,0.01614354,0.40901752,1.38022714,2.25338081,1.01859251,0.00000000
-5.70585293,6.53856675,0.53392441,2.92291653,0.01576653,0.40216316,1.35354290,2.25226369,1.00950654,0.00000000
-5.69984992,6.44703362,0.53221959,2.84566026,0.01540666,0.39696678,1.32992011,2.25339474,1.00189701,0.00000000
-5.69384692,6.36942485,0.53298072,2.77549500,0.01506881,0.39353504,1.30972390,2.25689929,0.99605178,0.00000000
-5.68784392,6.30628101,0.53641145,2.71259888,0.01475688,0.39193748,1.29324730,2.26282935,0.99222132,0.00000000
-5.68184092,6.25785928,0.54267359,2.65703213,0.01447371,0.39220451,1.28070475,2.27116855,0.99061364,0.00000000
-5.67583792,6.22415033,0.55188211,2.60875055,0.01422114,0.39432638,1.27222788,2.28183948,0.99139060,0.00000000
-5.66983492,6.20490115,0.56410095,2.56762063,0.01400003,0.39825317,1.26786358,2.29471280,0.99466533,0.00000000
-5.66383192,6.19964220,0.57933983,2.53343518,0.01381039,0.40389588,1.26757421,2.30961745,1.00050084,0.00000000
-5.65782891,6.20771687,0.59755212,2.50592856,0.01365145,0.41112845,1.27123990,2.32635116,1.00890975,0.00000000
-5.65182591,6.22831161,0.61863381,2.48479076,0.01352182,0.41979074,1.27866274,2.34469076,1.01985492,0.00000000
-5.64582291,6.26048497,0.64242370,2.46967951,0.01341960,0.42969229,1.28957263,2.36440143,1.03325095,0.00000000
-5.63981991,6.30319418,0.66870479,2.46022983,0.01334253,0.44061688,1.30363464,2.38524463,1.04896646,0.00000000
-5.63381691,6.35531838,0.69720702,2.45606074,0.01328811,0.45232770,1.32045756,2.40698418,1.06682700,0.00000000
-5.62781391,6.41567773,0.72761131,2.45677895,0.01325374,0.46457295,1.33960345,2.42939031,1.08661857,0.00000000
-5.62181091,6.48304820,0.75955488,2.46197963,0.01323680,0.47709194,1.36059802,2.45224180,1.10809173,0.00000000
-5.61580790,6.55617228,0.79263784,2.47124454,0.01323476,0.48962125,1.38294150,2.47532609,1.13096616,0.00000000
-5.60980490,6.63376606,0.82643094,2.48413801,0.01324525,0.50190102,1.40611986,2.49843791,1.15493572,0.00000000
-5.60380190,6.71452362,0.86048436,2.50020147,0.01326608,0.51368120,1.42961614,2.52137655,1.17967400,0.00000000
-5.59779890,6.79711960,0.89433722,2.51894730,0.01329530,0.52472735,1.45292167,2.54394251,1.20484016,0.00000000
-5.59179590,6.88021132,0.92752773,2.53985284,0.01333116,0.53482618,1.47554688,2.56593384,1.23008521,0.00000000
-5.58579290,6.96244145,0.95960353,2.56235542,0.01337216,0.54379040,1.49703166,2.58714275,1.25505849,0.00000000
-5.57978989,7.04244233,0.99013197,2.58584926,0.01341698,0.55146279,1.51695473,2.60735297,1.27941424,0.00000000
-5.57378689,7.11884303,1.01870987,2.60968493,0.01346451,0.55771942,1.53494211,2.62633820,1.30281819,0.00000000
-5.56778389,7.19027948,1.04497251,2.63317196,0.01351372,0.56247192,1.55067425,2.64386204,1.32495393,0.00000000
-5.56178089,7.25540835,1.06860139,2.65558494,0.01356373,0.56566852,1.56389164,2.65967934,1.34552895,0.00000000
-5.55577789,7.31292444,1.08933052,2.67617330,0.01361370,0.56729413,1.57439884,2.67353922,1.36428005,0.00000000
-5.54977489,7.36158151,1.10695096,2.69417451,0.01366280,0.56736919,1.58206666,2.68518964,1.38097807,0.00000000
-5.54377189,7.40021572,1.12131343,2.70883065,0.01371025,0.56594748,1.58683252,2.69438307,1.39543167,0.00000000
-5.53776888,7.42777092,1.13232899,2.71940738,0.01375519,0.56311294,1.58869889,2.70088335,1.40749016,0.00000000
-5.53176588,7.44332469,1.13996764,2.72521486,0.01379677,0.55897563,1.58772991,2.70447305,1.41704515,0.00000000
-5.52576288,7.44611390,1.14425525,2.72562941,0.01383409,0.55366696,1.58404642,2.70496105,1.42403113,0.00000000
-5.51975988,7.43555846,1.14526870,2.72011510,0.01386621,0.54733451,1.57781936,2.70219001,1.42842501,0.00000000
-5.51375688,7.41128221,1.14312981,2.70824388,0.01389218,0.54013656,1.56926209,2.69604316,1.43024451,0.00000000
-5.50775388,7.37312954,1.13799834,2.68971350,0.01391107,0.53223654,1.55862177,2.68645025,1.42954585,0.00000000
-5.50175088,7.32117709,1.13006434,2.66436194,0.01392198,0.52379776,1.54617019,2.67339219,1.42642061,0.00000000
-5.49574787,7.25573955,1.11954047,2.63217770,0.01392409,0.51497855,1.53219449,2.65690430,1.42099215,0.00000000
-5.48974487,7.17736924,1.10665452,2.59330520,0.01391669,0.50592800,1.51698804,2.63707799,1.41341163,0.00000000
-5.48374187,7.08684924,1.09164258,2.54804500,0.01389924,0.49678247,1.50084197,2.61406073,1.40385403,0.00000000
-5.47773887,6.98518012,1.07474303,2.49684859,0.01387140,0.48766300,1.48403751,2.58805446,1.39251409,0.00000000
-5.47173587,6.87356078,1.05619174,2.44030785,0.01383310,0.47867369,1.46683943,2.55931239,1.37960252,0.00000000
-5.46573287,6.75336388,1.03621834,2.37913981,0.01378451,0.46990098,1.44949092,2.52813441,1.36534248,0.00000000
-5.45972986,6.62610668,1.01504387,2.31416694,0.01372614,0.46141387,1.43220978,2.49486125,1.34996633,0.00000000
-5.45372686,6.49341841,0.99287940,2.24629421,0.01365882,0.45326501,1.41518610,2.45986764,1.33371282,0.00000000
-5.44772386,6.35700510,0.96992582,2.17648354,0.01358374,0.44549236,1.39858137,2.42355467,1.31682445,0.00000000
-5.44172086,6.21861305,0.94637432,2.10572690,0.01350238,0.43812152,1.38252891,2.38634161,1.29954517,0.00000000
-5.43571786,6.07999209,0.92240744,2.03501908,0.01341659,0.43116828,1.36713540,2.34865747,1.28211816,0.00000000
