energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,14.37167339,2.27014780,11.27654078,0.02093794,0.22466052,0.28268915,0.15479315,2.53050746
-5.99399700,14.08835172,2.20137758,11.08302788,0.01943721,0.21348786,0.27160121,0.14847297,2.47631648
-5.98799400,13.76595445,2.12815872,10.85654806,0.01795237,0.20244016,0.26018949,0.14186721,2.41634691
-5.98199100,13.40729658,2.05093114,10.59937280,0.01649664,0.19156762,0.24848078,0.13500903,2.35096072
-5.97598799,13.01574826,1.97025199,10.31419945,0.01508178,0.18092348,0.23650947,0.12793841,2.28061520
-5.96998499,12.59516787,1.88678741,10.00409379,0.01371800,0.17056353,0.22431786,0.12070150,2.20585628
-5.96398199,12.14982205,1.80129967,9.67242427,0.01241389,0.16054519,0.21195601,0.11334971,2.12730895
-5.95797899,11.68429609,1.71463033,9.32279092,0.01117643,0.15092654,0.19948127,0.10593850,2.04566496
-5.95197599,11.20339850,1.62768024,8.95895174,0.01001098,0.14176500,0.18695743,0.09852603,1.96166875
-5.94597299,10.71206372,1.54138712,8.58474954,0.00892144,0.13311606,0.17445344,0.09117159,1.87610202
-5.93996998,10.21525657,1.45670176,8.20404183,0.00791025,0.12503181,0.16204195,0.08393408,1.78976769
-5.93396698,9.71788185,1.37456370,7.82063587,0.00697860,0.11755959,0.14979759,0.07687044,1.70347392
-5.92796398,9.22470160,1.29587747,7.43823077,0.00612654,0.11074057,0.13779503,0.07003420,1.61801881
-5.92196098,8.74026212,1.22149010,7.06036730,0.00535316,0.10460859,0.12610708,0.06347427,1.53417606
-5.91595798,8.26883181,1.15217079,6.69038621,0.00465677,0.09918900,0.11480281,0.05723379,1.45268222
-5.90995498,7.81435032,1.08859326,6.33139466,0.00403508,0.09449775,0.10394576,0.05134943,1.37422554
-5.90395198,7.38038883,1.03132143,5.98624022,0.00348538,0.09054068,0.09359237,0.04585084,1.29943669
-5.89794897,6.97012076,0.98079862,5.65749157,0.00300475,0.08731305,0.08379073,0.04076045,1.22888133
-5.89194597,6.58630175,0.93734053,5.34742474,0.00259019,0.08479931,0.07457957,0.03609351,1.16305443
-5.88594297,6.23125798,0.90113215,5.05801382,0.00223887,0.08297315,0.06598764,0.03185850,1.10237636
-5.87993997,5.90688129,0.87222838,4.79092509,0.00194823,0.08179777,0.05803352,0.02805760,1.04719046
-5.87393697,5.61463032,0.85055816,4.54751391,0.00171617,0.08122651,0.05072561,0.02468755,0.99776208
-5.86793397,5.35553664,0.83593197,4.32882380,0.00154118,0.08120369,0.04406266,0.02174050,0.95427887
-5.86193097,5.13021527,0.82805217,4.13558762,0.00142247,0.08166569,0.03803441,0.01920505,0.91685217
-5.85592796,4.93887942,0.82652565,3.96823096,0.00136006,0.08254227,0.03262255,0.01706726,0.88551955
-5.84992496,4.78135900,0.83087851,3.82687801,0.00135492,0.08375816,0.02780184,0.01531178,0.86024826
-5.84392196,4.65712315,0.84057189,3.71136048,0.00140895,0.08523470,0.02354137,0.01392279,0.84093953
-5.83791896,4.56530656,0.85501870,3.62122987,0.00152509,0.08689166,0.01980583,0.01288496,0.82743379
-5.83191596,4.50473950,0.87360029,3.55577356,0.00170727,0.08864912,0.01655680,0.01218423,0.81951652
-5.82591296,4.47398123,0.89568286,3.51403476,0.00196043,0.09042932,0.01375403,0.01180851,0.81692484
-5.81990995,4.47135625,0.92063274,3.49483615,0.00229041,0.09215844,0.01135657,0.01174813,0.81935453
-5.81390695,4.49499248,0.94783036,3.49680681,0.00270388,0.09376831,0.00932384,0.01199618,0.82646739
-5.80790395,4.54286032,0.97668217,3.51841156,0.00320816,0.09519787,0.00761651,0.01254863,0.83789876
-5.80190095,4.61281124,1.00663062,3.55798169,0.00381109,0.09639438,0.00619727,0.01340430,0.85326498
-5.79589795,4.70261453,1.03716162,3.61374575,0.00452075,0.09731443,0.00503140,0.01456465,0.87217060
-5.78989495,4.80999092,1.06780964,3.68385929,0.00534526,0.09792452,0.00408729,0.01603340,0.89421504
-5.78389195,4.93264180,1.09816050,3.76643206,0.00629248,0.09820144,0.00333665,0.01781605,0.91899864
-5.77788894,5.06827313,1.12785192,3.85955180,0.00736968,0.09813216,0.00275478,0.01991931,0.94612793
-5.77188594,5.21461374,1.15657221,3.96130384,0.00858329,0.09771356,0.00232060,0.02235040,0.97521997
-5.76588294,5.36942784,1.18405745,4.06978611,0.00993854,0.09695178,0.00201663,0.02511638,1.00590586
-5.75987994,5.53052246,1.21008762,4.18311980,0.01143921,0.09586135,0.00182892,0.02822346,1.03783333
-5.75387694,5.69575069,1.23448211,4.29945617,0.01308734,0.09446415,0.00174685,0.03167637,1.07066867
-5.74787394,5.86301225,1.25709506,4.41698045,0.01488305,0.09278821,0.00176295,0.03547776,1.10409799
-5.74187094,6.03025315,1.27781103,4.53391427,0.01682434,0.09086646,0.00187261,0.03962775,1.13782810
-5.73586793,6.19546604,1.29654129,4.64851789,0.01890702,0.08873541,0.00207384,0.04412354,1.17158712
-5.72986493,6.35669333,1.31322084,4.75909394,0.02112465,0.08643396,0.00236689,0.04895924,1.20512509
-5.72386193,6.51203417,1.32780663,4.86399387,0.02346865,0.08400215,0.00275395,0.05412576,1.23821452
-5.71785893,6.65965654,1.34027649,4.96162821,0.02592839,0.08148017,0.00323873,0.05961087,1.27065113
-5.71185593,6.79781486,1.35062912,5.05048132,0.02849134,0.07890735,0.00382609,0.06539933,1.30225466
