energy_ev,total_up,Cd_p_up,Cd_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-1.88194097,2.32905400,1.05658027,0.04312506,0.03686676,0.83835549,0.17892420,0.96545356
-1.87593797,2.24525374,1.01915129,0.04150021,0.03510248,0.80799522,0.17639763,0.93164029
-1.86993497,2.16654932,0.98473512,0.03996973,0.03339385,0.77858026,0.17423084,0.90064015
-1.86393197,2.09335315,0.95361582,0.03854419,0.03175021,0.75040637,0.17237120,0.87246816
-1.85792896,2.02590476,0.92598998,0.03723075,0.03017794,0.72370957,0.17075906,0.84706645
-1.85192596,1.96428904,0.90197255,0.03603340,0.02868069,0.69866672,0.16933099,0.82431842
-1.84592296,1.90845847,0.88160473,0.03495328,0.02725962,0.67539839,0.16802303,0.80406356
-1.83991996,1.85825781,0.86486317,0.03398910,0.02591388,0.65397371,0.16677369,0.78611208
-1.83391696,1.81344958,0.85166993,0.03313759,0.02464095,0.63441658,0.16552674,0.77025870
-1.82791396,1.77373901,0.84190235,0.03239391,0.02343718,0.61671289,0.16423344,0.75629485
-1.82191096,1.73879689,0.83540243,0.03175212,0.02229821,0.60081806,0.16285438,0.74401884
-1.81590795,1.70827959,0.83198508,0.03120556,0.02121948,0.58666450,0.16136067,0.73324371
-1.80990495,1.68184514,0.83144510,0.03074716,0.02019661,0.57416860,0.15973454,0.72380267
-1.80390195,1.65916524,0.83356251,0.03036978,0.01922573,0.56323673,0.15796939,0.71555208
-1.79789895,1.63993289,0.83810646,0.03006633,0.01830380,0.55377027,0.15606921,0.70837218
-1.79189595,1.62386610,0.84483764,0.02982996,0.01742874,0.54566936,0.15404759,0.70216601
-1.78589295,1.61070814,0.85350968,0.02965414,0.01659958,0.53883545,0.15192633,0.69685687
-1.77988994,1.60022490,0.86386970,0.02953262,0.01581645,0.53317278,0.14973373,0.69238475
-1.77388694,1.59220059,0.87565854,0.02945949,0.01508049,0.52858889,0.14750275,0.68870237
-1.76788394,1.58643235,0.88861109,0.02942911,0.01439377,0.52499445,0.14526913,0.68577120
-1.76188094,1.58272486,0.90245693,0.02943606,0.01375907,0.52230264,0.14306955,0.68355792
-1.75587794,1.58088568,0.91692185,0.02947513,0.01317963,0.52042831,0.14093999,0.68203167
-1.74987494,1.58072182,0.93173009,0.02954133,0.01265897,0.51928723,0.13891428,0.68116222
-1.74387194,1.58203812,0.94660768,0.02962983,0.01220054,0.51879547,0.13702297,0.68091924
-1.73786893,1.58463733,0.96128657,0.02973609,0.01180755,0.51886916,0.13529252,0.68127260
-1.73186593,1.58832200,0.97550951,0.02985584,0.01148267,0.51942462,0.13374479,0.68219349
-1.72586293,1.59289777,0.98903532,0.02998523,0.01122788,0.52037882,0.13239681,0.68365621
-1.71985993,1.59817768,1.00164415,0.03012084,0.01104427,0.52165020,0.13126085,0.68564030
-1.71385693,1.60398675,1.01314249,0.03025984,0.01093190,0.52315963,0.13034464,0.68813260
-1.70785393,1.61016652,1.02336731,0.03040001,0.01088976,0.52483147,0.12965175,0.69112889
-1.70185093,1.61657861,1.03218918,0.03053980,0.01091572,0.52659448,0.12918201,0.69463489
-1.69584792,1.62310702,1.03951393,0.03067831,0.01100652,0.52838263,0.12893199,0.69866629
