energy_ev,total_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,5.96225935,0.82246468,4.01095568,0.08911630,1.39564503,0.00417180,0.00011556
-5.99399700,5.99279385,0.81405496,4.03885840,0.09020795,1.42060914,0.00414106,0.00010991
-5.98799400,5.99489169,0.80203175,4.04542688,0.09079554,1.43797889,0.00411844,0.00010500
-5.98199100,5.96789513,0.78650887,4.03045109,0.09085242,1.44738056,0.00409640,0.00010074
-5.97598799,5.91173305,0.76766874,3.99409925,0.09036602,1.44857560,0.00406891,0.00009703
-5.96998499,5.82692167,0.74575610,3.93691417,0.08933773,1.44146891,0.00403129,0.00009377
-5.96398199,5.71454949,0.72107026,3.85980032,0.08778238,1.42611336,0.00398018,0.00009092
-5.95797899,5.57624654,0.69395621,3.76400180,0.08572733,1.40271023,0.00391337,0.00008842
-5.95197599,5.41413870,0.66479496,3.65107153,0.08321128,1.37160541,0.00382973,0.00008625
-5.94597299,5.23078837,0.63399331,3.52283261,0.08028278,1.33328134,0.00372906,0.00008440
-5.93996998,5.02912317,0.60197344,3.38133258,0.07699842,1.28834487,0.00361197,0.00008288
-5.93396698,4.81235476,0.56916262,3.22879211,0.07342091,1.23751137,0.00347977,0.00008170
-5.92796398,4.58389049,0.53598320,3.06754954,0.06961696,1.18158570,0.00333429,0.00008088
-5.92196098,4.34724051,0.50284324,2.90000296,0.06565516,1.12144061,0.00317779,0.00008045
-5.91595798,4.10592361,0.47012778,2.72855173,0.06160385,1.05799353,0.00301280,0.00008044
-5.90995498,3.86337481,0.43819126,2.55553925,0.05752921,0.99218249,0.00284202,0.00008088
-5.90395198,3.62285789,0.40735085,2.38319895,0.05349338,0.92494210,0.00266818,0.00008179
-5.89794897,3.38738570,0.37788111,2.21360512,0.04955289,0.85718060,0.00249395,0.00008317
-5.89194597,3.15965102,0.35000995,2.04863026,0.04575745,0.78975865,0.00232187,0.00008504
-5.88594297,2.94197006,0.32391596,1.88991020,0.04214891,0.72347069,0.00215421,0.00008738
-5.87993997,2.73624040,0.29972714,1.73881796,0.03876068,0.65902948,0.00199299,0.00009016
-5.87393697,2.54391445,0.27752107,1.59644702,0.03561739,0.59705408,0.00183988,0.00009333
-5.86793397,2.36598881,0.25732642,1.46360423,0.03273500,0.53806173,0.00169623,0.00009684
-5.86193097,2.20300952,0.23912573,1.34081213,0.03012103,0.48246354,0.00156300,0.00010061
-5.85592796,2.05509226,0.22285936,1.22832032,0.02777527,0.43056393,0.00144083,0.00010456
-5.84992496,1.92195613,0.20843051,1.12612483,0.02569049,0.38256355,0.00133003,0.00010859
-5.84392196,1.80296914,0.19571098,1.03399452,0.02385349,0.33856524,0.00123064,0.00011258
-5.83791896,1.69720318,0.18454765,0.95150303,0.02224617,0.29858264,0.00114245,0.00011644
-5.83191596,1.60349573,0.17476925,0.87806481,0.02084672,0.26255068,0.00106511,0.00012004
-5.82591296,1.52051585,0.16619342,0.81297371,0.01963076,0.23033757,0.00099813,0.00012327
-5.81990995,1.44683144,0.15863359,0.75544251,0.01857255,0.20175756,0.00094100,0.00012603
-5.81390695,1.38097538,0.15190560,0.70464188,0.01764599,0.17658389,0.00089324,0.00012822
-5.80790395,1.32150797,0.14583386,0.65973754,0.01682568,0.15456150,0.00085447,0.00012976
-5.80190095,1.26707368,0.14025675,0.61992432,0.01608768,0.13541905,0.00082449,0.00013059
-5.79589795,1.21645042,0.13503120,0.58445628,0.01541024,0.11887977,0.00080333,0.00013064
-5.78989495,1.16859014,0.13003641,0.55267216,0.01477434,0.10467111,0.00079133,0.00012990
-5.78389195,1.12264985,0.12517644,0.52401575,0.01416403,0.09253282,0.00078917,0.00012836
-5.77788894,1.07801280,0.12038187,0.49805094,0.01356665,0.08222343,0.00079796,0.00012602
-5.77188594,1.03429978,0.11561038,0.47447144,0.01297289,0.07352525,0.00081925,0.00012293
-5.76588294,0.99137112,0.11084645,0.45310543,0.01237673,0.06624773,0.00085506,0.00011913
-5.75987994,0.94931995,0.10610010,0.43391542,0.01177521,0.06022947,0.00090792,0.00011470
-5.75387694,0.90845790,0.10140495,0.41699372,0.01116820,0.05533895,0.00098087,0.00010971
-5.74787394,0.86929431,0.09681557,0.40255413,0.01055797,0.05147411,0.00107743,0.00010426
-5.74187094,0.83251006,0.09240438,0.39092024,0.00994885,0.04856097,0.00120163,0.00009845
-5.73586793,0.79892747,0.08825816,0.38251095,0.00934674,0.04655156,0.00135789,0.00009240
-5.72986493,0.76947710,0.08447433,0.37782352,0.00875868,0.04542107,0.00155103,0.00008621
