energy_ev,total_up,total_down,Li_s_up,Li_s_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.89361824,-0.93192803,0.22554627,-0.15917724,0.74524631,-0.16095522,0.32812590,-0.10729440,0.00725402,-0.01423353,0.26024675,-0.15647307,0.02348313,-0.00670738,0.74205624,-0.35599027
-5.99399700,1.96078422,-0.95562832,0.23080302,-0.16282635,0.79756502,-0.16470055,0.34055073,-0.11031390,0.00751769,-0.01435505,0.27666023,-0.16097024,0.02382093,-0.00705491,0.76079691,-0.36467951
-5.98799400,2.04194400,-0.97957588,0.23781594,-0.16599136,0.85523631,-0.16842821,0.35517488,-0.11331667,0.00781550,-0.01441820,0.29484000,-0.16575334,0.02433467,-0.00747945,0.78520048,-0.37316146
-5.98199100,2.13627578,-1.00370966,0.24648403,-0.16868317,0.91791056,-0.17217267,0.37180386,-0.11627933,0.00814070,-0.01442003,0.31462768,-0.17079470,0.02502101,-0.00797803,0.81501956,-0.38144564
-5.97598799,2.24263948,-1.02807677,0.25667306,-0.17094161,0.98510725,-0.17599617,0.39018902,-0.11918828,0.00848579,-0.01435991,0.33582079,-0.17607913,0.02587246,-0.00854706,0.84988215,-0.38959092
-5.96998499,2.35959324,-1.05283818,0.26821743,-0.17283603,1.05621907,-0.17998967,0.41003179,-0.12204057,0.00884261,-0.01423968,0.35817539,-0.18160529,0.02687744,-0.00918247,0.88929713,-0.39770716
-5.96398199,2.48541885,-1.07827013,0.28092288,-0.17446501,1.13051970,-0.18427283,0.43098978,-0.12484423,0.00920257,-0.01406372,0.38141009,-0.18738638,0.02802059,-0.00987981,0.93266311,-0.40595493
-5.95797899,2.61815526,-1.10476110,0.29456999,-0.17595505,1.20717517,-0.18899293,0.45268432,-0.12761827,0.00955688,-0.01383893,0.40521126,-0.19345024,0.02928305,-0.01063439,0.97928007,-0.41454349
-5.95197599,2.75563963,-1.13280449,0.30891844,-0.17745824,1.28525848,-0.19432276,0.47470941,-0.13039221,0.00989671,-0.01357460,0.42923954,-0.19983877,0.03064296,-0.01144142,1.02836394,-0.42372700
-5.94597299,2.89555453,-1.16298735,0.32371184,-0.17914905,1.36376712,-0.20045761,0.49664174,-0.13320529,0.01021352,-0.01328225,0.45313720,-0.20660679,0.03207594,-0.01229616,1.07906339,-0.43379908
-5.93996998,3.03547991,-1.19597523,0.33868312,-0.18122028,1.44164308,-0.20761119,0.51805136,-0.13610531,0.01049929,-0.01297534,0.47653621,-0.21382032,0.03355578,-0.01319410,1.13047854,-0.44508581
-5.93396698,3.17294832,-1.23249391,0.35356028,-0.18387819,1.51779469,-0.21601086,0.53851272,-0.13914716,0.01074672,-0.01266895,0.49906679,-0.22155436,0.03505498,-0.01413108,1.18168099,-0.45793747
