energy_ev,total_up,Co_p_up,Co_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,2.15761625,0.45744014,0.61773894,0.29127039,0.43476197,0.00813069,0.12428645,0.05280071,0.81788369
-5.99399700,2.16558664,0.46935405,0.62165766,0.29328845,0.43095824,0.00841048,0.12326913,0.05264139,0.82947676
-5.98799400,2.17145526,0.48183600,0.62335044,0.29501905,0.42784717,0.00880880,0.12212756,0.05232164,0.83966028
-5.98199100,2.17506877,0.49471628,0.62277916,0.29640438,0.42547250,0.00932971,0.12085106,0.05185692,0.84824003
-5.97598799,2.17626174,0.50780674,0.61993043,0.29738341,0.42385897,0.00997558,0.11942671,0.05126476,0.85502556
-5.96998499,2.17486963,0.52090756,0.61481765,0.29789463,0.42301413,0.01074710,0.11784026,0.05056440,0.85983825
-5.96398199,2.17074137,0.53381407,0.60748246,0.29787899,0.42293020,0.01164319,0.11607729,0.04977637,0.86251900
-5.95797899,2.16375088,0.54632326,0.59799569,0.29728263,0.42358578,0.01266103,0.11412424,0.04892203,0.86293542
-5.95197599,2.15380645,0.55823976,0.58645733,0.29605945,0.42494737,0.01379599,0.11196943,0.04802315,0.86098799
-5.94597299,2.14085791,0.56938103,0.57299578,0.29417333,0.42697061,0.01504168,0.10960398,0.04710134,0.85661480
-5.93996998,2.12490078,0.57958147,0.55776607,0.29159987,0.42960113,0.01638992,0.10702264,0.04617757,0.84979488
-5.93396698,2.10597745,0.58869547,0.54094714,0.28832766,0.43277516,0.01783077,0.10422432,0.04527166,0.84054964
-5.92796398,2.08417527,0.59659922,0.52273834,0.28435890,0.43641974,0.01935257,0.10121257,0.04440174,0.82894257
-5.92196098,2.05962188,0.60319141,0.50335511,0.27970942,0.44045277,0.02094201,0.09799570,0.04358377,0.81507725
-5.91595798,2.03247795,0.60839282,0.48302400,0.27440816,0.44478285,0.02258420,0.09458677,0.04283113,0.79909361
-5.90995498,2.00292812,0.61214499,0.46197735,0.26849601,0.44930918,0.02426277,0.09100336,0.04215418,0.78116295
