energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,5.77699056,-8.14431326,0.05546146,-0.10252889,0.46518741,-0.65338931,0.50885260,-1.22215941,0.18079262,-0.75728920,1.25967955,-1.03078385,0.84917190,-0.67400141,0.08848262,-0.12473817,2.38507297,-3.56924648
-5.99399700,5.59953135,-7.95292602,0.05184477,-0.10089131,0.44669872,-0.64631176,0.48432366,-1.20165930,0.17923606,-0.75323595,1.21226021,-0.99706784,0.82117226,-0.65960066,0.08989629,-0.12113729,2.31871922,-3.47517717
-5.98799400,5.42638896,-7.74025260,0.04839810,-0.09893618,0.42849133,-0.63708720,0.45921967,-1.17610878,0.17761285,-0.74631699,1.16381992,-0.96142131,0.79491477,-0.64328789,0.09160895,-0.11731479,2.25366406,-3.37211341
-5.98199100,5.25898345,-7.50788284,0.04511486,-0.09666933,0.41071116,-0.62580140,0.43380482,-1.14581363,0.17595201,-0.73656737,1.11500207,-0.92412174,0.77044591,-0.62519794,0.09361313,-0.11331321,2.19051307,-3.26083567
-5.97598799,5.09861975,-7.25785314,0.04198939,-0.09410287,0.39350615,-0.61258767,0.40835138,-1.11118308,0.17427902,-0.72408557,1.06643293,-0.88549831,0.74780748,-0.60550150,0.09589521,-0.10917727,2.12980796,-3.14230972
-5.96998499,4.94644234,-6.99260211,0.03901714,-0.09125492,0.37702227,-0.59762314,0.38313213,-1.07271725,0.17261441,-0.70903163,1.01870481,-0.84592852,0.72703384,-0.58440086,0.09843498,-0.10495258,2.07200674,-3.01766620
-5.96398199,4.80339513,-6.71491159,0.03619472,-0.08814920,0.36139915,-0.58112364,0.35841288,-1.03099204,0.17097273,-0.69162318,0.97236120,-0.80583290,0.70814846,-0.56212456,0.10120556,-0.10068446,2.01746744,-2.88817418
-5.95797899,4.67018880,-6.42783616,0.03351971,-0.08481439,0.34676581,-0.56333742,0.33444556,-0.98664212,0.16936181,-0.67212966,0.92788450,-0.76566808,0.69116011,-0.53892118,0.10417328,-0.09641664,1.96643624,-2.75520998
-5.95197599,4.54727746,-6.13462447,0.03099053,-0.08128346,0.33323648,-0.54453787,0.31146208,-0.94034283,0.16778243,-0.65086509,0.88568695,-0.72591848,0.67605904,-0.51505272,0.10729795,-0.09219019,1.91904068,-2.62022276
-5.94597299,4.43484589,-5.83863657,0.02860611,-0.07759272,0.32090692,-0.52501584,0.28966934,-0.89279163,0.16622832,-0.62817968,0.84610485,-0.68708711,0.66281348,-0.49078763,0.11053318,-0.08804246,1.87528827,-2.48469872
-5.93996998,4.33280809,-5.54326081,0.02636569,-0.07378098,0.30985142,-0.50507169,0.26924538,-0.84469005,0.16468665,-0.60445086,0.80939641,-0.64968565,0.65136676,-0.46639400,0.11382703,-0.08400630,1.83507044,-2.35012531
-5.93396698,4.24081700,-5.25183413,0.02426844,-0.06988850,0.30012046,-0.48500751,0.25033703,-0.79672656,0.16313873,-0.58007397,0.77574293,-0.61422451,0.64163535,-0.44213311,0.11712278,-0.08010948,1.79817166,-2.21795725
-5.92796398,4.15828503,-4.96756911,0.02231326,-0.06595601,0.29173939,-0.46511988,0.23305894,-0.74956109,0.16156117,-0.55545322,0.74525325,-0.58120291,0.63350792,-0.41825365,0.12035998,-0.07637432,1.76428313,-2.08958563
