energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.04618443,-2.50945000,0.47424271,-0.64484463,0.31071939,-0.36723665,0.00195362,-0.04307508,0.35639812,-0.73153700,0.00525316,-0.02182847,0.06338803,-0.38668221
-5.99399700,1.01844396,-2.41268237,0.46113389,-0.60765899,0.30197123,-0.35663681,0.00187078,-0.04360712,0.34448480,-0.69535990,0.00495204,-0.02002600,0.06563125,-0.38156678
-5.98799400,0.99209213,-2.32766755,0.44692372,-0.57432101,0.29404125,-0.34737414,0.00180551,-0.04422149,0.33236906,-0.66260355,0.00469454,-0.01834541,0.06862228,-0.37830669
-5.98199100,0.96754789,-2.25485483,0.43182237,-0.54492839,0.28709471,-0.33952251,0.00175908,-0.04491722,0.32023117,-0.63344181,0.00448541,-0.01680006,0.07233548,-0.37692189
-5.97598799,0.94522735,-2.19440788,0.41606377,-0.51950888,0.28129229,-0.33312089,0.00173236,-0.04569052,0.30826173,-0.60797183,0.00432857,-0.01539958,0.07673370,-0.37737981
-5.96998499,0.92553960,-2.14621175,0.39990104,-0.49802378,0.27678863,-0.32817356,0.00172583,-0.04653467,0.29665868,-0.58621644,0.00422717,-0.01415007,0.08176973,-0.37959607
-5.96398199,0.90888269,-2.10988665,0.38360152,-0.48037246,0.27373083,-0.32465108,0.00173960,-0.04744004,0.28562406,-0.56812815,0.00418365,-0.01305428,0.08738823,-0.38343658
-5.95797899,0.89564027,-2.08480758,0.36744181,-0.46639794,0.27225706,-0.32249205,0.00177340,-0.04839415,0.27536061,-0.55359438,0.00419986,-0.01211202,0.09352817,-0.38872115
-5.95197599,0.88617891,-2.07012928,0.35170285,-0.45589312,0.27249531,-0.32160554,0.00182665,-0.04938184,0.26606835,-0.54244381,0.00427718,-0.01132046,0.10012567,-0.39522844
-5.94597299,0.88084663,-2.06481543,0.33666540,-0.44860770,0.27456234,-0.32187405,0.00189849,-0.05038554,0.25794129,-0.53445354,0.00441665,-0.01067464,0.10711731,-0.40270212
-5.93996998,0.87997260,-2.06767137,0.32260607,-0.44425543,0.27856296,-0.32315702,0.00198780,-0.05138555,0.25116438,-0.52935687,0.00461911,-0.01016781,0.11444366,-0.41085801
-5.93396698,0.88386831,-2.07737932,0.30979408,-0.44252169,0.28458973,-0.32529465,0.00209328,-0.05236051,0.24591093,-0.52685144,0.00488530,-0.00979192,0.12205313,-0.41939207
-5.92796398,0.89283018,-2.09253514,0.29848879,-0.44307112,0.29272311,-0.32811217,0.00221345,-0.05328776,0.24234054,-0.52660762,0.00521606,-0.00953799,0.12990574,-0.42798902
-5.92196098,0.90714348,-2.11168584,0.28893812,-0.44555534,0.30303207,-0.33142418,0.00234679,-0.05414398,0.24059759,-0.52827684,0.00561235,-0.00939643,0.13797691,-0.43633119
-5.91595798,0.92708728,-2.13336671,0.28137775,-0.44962033,0.31557526,-0.33503922,0.00249170,-0.05490568,0.24081050,-0.53149982,0.00607544,-0.00935741,0.14626087,-0.44410751
-5.90995498,0.95294009,-2.15613727,0.27603107,-0.45491377,0.33040252,-0.33876433,0.00264660,-0.05554982,0.24309148,-0.53591448,0.00660687,-0.00941105,0.15477357,-0.45102223
-5.90395198,0.98498565,-2.17861524,0.27310967,-0.46109172,0.34755674,-0.34240957,0.00280998,-0.05605443,0.24753697,-0.54116340,0.00720858,-0.00954760,0.16355494,-0.45680317
-5.89794897,1.02351816,-2.19950748,0.27281408,-0.46782498,0.36707590,-0.34579228,0.00298041,-0.05639925,0.25422850,-0.54690077,0.00788288,-0.00975759,0.17267017,-0.46120917
-5.89194597,1.06884631,-2.21763746,0.27533472,-0.47480471,0.38899507,-0.34874123,0.00315661,-0.05656624,0.26323393,-0.55279856,0.00863239,-0.01003183,0.18220998,-0.46403656
-5.88594297,1.12129547,-2.23196825,0.28085252,-0.48174727,0.41334821,-0.35110019,0.00333748,-0.05654020,0.27460875,-0.55855205,0.00945998,-0.01036145,0.19228964,-0.46512436
-5.87993997,1.18120707,-2.24162087,0.28953908,-0.48839827,0.44016947,-0.35273121,0.00352208,-0.05630916,0.28839746,-0.56388432,0.01036868,-0.01073783,0.20304670,-0.46435817
-5.87393697,1.24893498,-2.24588726,0.30155616,-0.49453561,0.46949381,-0.35351721,0.00370970,-0.05586482,0.30463459,-0.56854991,0.01136148,-0.01115252,0.21463736,-0.46167248
-5.86793397,1.32483802,-2.24423794,0.31705407,-0.49997160,0.50135678,-0.35336405,0.00389980,-0.05520280,0.32334533,-0.57233749,0.01244115,-0.01159714,0.22723153,-0.45705147
-5.86193097,1.40926875,-2.23632413,0.33616906,-0.50455395,0.53579327,-0.35220183,0.00409205,-0.05432278,0.34454560,-0.57507139,0.01361002,-0.01206330,0.24100661,-0.45052825
-5.85592796,1.50255817,-2.22197460,0.35901942,-0.50816583,0.57283509,-0.34998552,0.00428628,-0.05322860,0.36824132,-0.57661231,0.01486973,-0.01254249,0.25614025,-0.44218255
-5.84992496,1.60499696,-2.20118761,0.38570041,-0.51072489,0.61250755,-0.34669493,0.00448246,-0.05192811,0.39442704,-0.57685691,0.01622093,-0.01302602,0.27280220,-0.43213718
-5.84392196,1.71681350,-2.17411841,0.41627811,-0.51218139,0.65482493,-0.34233391,0.00468065,-0.05043299,0.42308368,-0.57573658,0.01766307,-0.01350497,0.29114562,-0.42055317
-5.83791896,1.83814985,-2.14106307,0.45078240,-0.51251560,0.69978521,-0.33692900,0.00488094,-0.04875842,0.45417575,-0.57321548,0.01919408,-0.01397023,0.31129810,-0.40762410
-5.83191596,1.96903645,-2.10243946,0.48919926,-0.51173455,0.74736417,-0.33052747,0.00508343,-0.04692265,0.48764794,-0.56928785,0.02081019,-0.01441254,0.33335280,-0.39356955
-5.82591296,2.10936729,-2.05876629,0.53146299,-0.50986830,0.79750945,-0.32319497,0.00528812,-0.04494650,0.52342153,-0.56397495,0.02250573,-0.01482258,0.35736017,-0.37862835
-5.81990995,2.25887661,-2.01064106,0.57744859,-0.50696606,0.85013469,-0.31501276,0.00549486,-0.04285280,0.56139078,-0.55732155,0.02427298,-0.01519117,0.38332043,-0.36305147
-5.81390695,2.41711910,-1.95871806,0.62696495,-0.50309218,0.90511464,-0.30607480,0.00570334,-0.04066576,0.60141967,-0.54939244,0.02610216,-0.01550943,0.41117740,-0.34709519
-5.80790395,2.58345474,-1.90368702,0.67974918,-0.49832235,0.96228129,-0.29648469,0.00591295,-0.03841037,0.64333932,-0.54026879,0.02798138,-0.01576901,0.44081394,-0.33101453
