energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,4.77392786,0.00944348,1.11231113,0.02101071,0.00000000,1.34750538,1.52584636,0.11687572,1.39627303
-5.99399700,4.76159040,0.00924965,1.09399854,0.02130927,0.00000000,1.33840507,1.49965286,0.11638486,1.41434131
-5.98799400,4.74637801,0.00906013,1.07421272,0.02161405,0.00000000,1.32824335,1.47160971,0.11570258,1.43295052
-5.98199100,4.72834555,0.00887393,1.05306445,0.02192064,0.00000000,1.31710714,1.44183447,0.11484135,1.45195482
-5.97598799,4.70757165,0.00869051,1.03069070,0.02222457,0.00000000,1.30510343,1.41048214,0.11381711,1.47118114
-5.96998499,4.68415264,0.00850975,1.00725220,0.02252137,0.00000000,1.29235597,1.37774301,0.11264867,1.49043008
-5.96398199,4.65819930,0.00833200,0.98293071,0.02280670,0.00000000,1.27900206,1.34383969,0.11135709,1.50947890
-5.95797899,4.62983686,0.00815802,0.95792616,0.02307649,0.00000000,1.26518965,1.30902376,0.10996514,1.52808665
-5.95197599,4.59920834,0.00798899,0.93245381,0.02332709,0.00000000,1.25107504,1.27357201,0.10849681,1.54600137
-5.94597299,4.56648113,0.00782653,0.90674139,0.02355541,0.00000000,1.23682119,1.23778259,0.10697689,1.56296902
-5.93996998,4.53185599,0.00767265,0.88102649,0.02375908,0.00000000,1.22259663,1.20197090,0.10543068,1.57874369
-5.93396698,4.49557747,0.00752971,0.85555388,0.02393657,0.00000000,1.20857497,1.16646550,0.10388369,1.59309844
-5.92796398,4.45794462,0.00740047,0.83057287,0.02408731,0.00000000,1.19493470,1.13160378,0.10236153,1.60583623
-5.92196098,4.41932024,0.00728803,0.80633455,0.02421179,0.00000000,1.18185912,1.09772750,0.10088965,1.61680001
-5.91595798,4.38013747,0.00719580,0.78308881,0.02431156,0.00000000,1.16953601,1.06517794,0.09949324,1.62588136
-5.90995498,4.34090200,0.00712750,0.76108091,0.02438924,0.00000000,1.15815675,1.03429063,0.09819695,1.63302697
-5.90395198,4.30218891,0.00708710,0.74054763,0.02444844,0.00000000,1.14791466,1.00538954,0.09702465,1.63824232
-5.89794897,4.26463318,0.00707877,0.72171284,0.02449366,0.00000000,1.13900210,0.97878068,0.09599903,1.64159227
-5.89194597,4.22891350,0.00710683,0.70478247,0.02453007,0.00000000,1.13160652,0.95474517,0.09514108,1.64319824
-5.88594297,4.19572964,0.00717563,0.68993901,0.02456334,0.00000000,1.12590503,0.93353173,0.09446952,1.64323203
-5.87993997,4.16577390,0.00728947,0.67733559,0.02459932,0.00000000,1.12205789,0.91534893,0.09400006,1.64190661
-5.87393697,4.13969813,0.00745244,0.66708999,0.02464380,0.00000000,1.12020104,0.90035740,0.09374467,1.63946423
-5.86793397,4.11807806,0.00766830,0.65927863,0.02470221,0.00000000,1.12043803,0.88866223,0.09371071,1.63616270
-5.86193097,4.10137706,0.00794026,0.65393116,0.02477933,0.00000000,1.12283191,0.88030627,0.09390021,1.63226069
-5.85592796,4.08991199,0.00827085,0.65102576,0.02487902,0.00000000,1.12739755,0.87526445,0.09430911,1.62800293
-5.84992496,4.08382357,0.00866170,0.65048579,0.02500406,0.00000000,1.13409527,0.87343981,0.09492675,1.62360658
-5.84392196,4.08305388,0.00911333,0.65217792,0.02515601,0.00000000,1.14282611,0.87466162,0.09573545,1.61924960
-5.83791896,4.08733327,0.00962502,0.65591220,0.02533510,0.00000000,1.15342961,0.87868600,0.09671048,1.61506224
-5.83191596,4.09617835,0.01019463,0.66144430,0.02554033,0.00000000,1.16568447,0.88519922,0.09782018,1.61112229
-5.82591296,4.10890251,0.01081847,0.66848001,0.02576956,0.00000000,1.17931248,0.89382409,0.09902655,1.60745476
-5.81990995,4.12463911,0.01149123,0.67668215,0.02601974,0.00000000,1.19398595,0.90412920,0.10028610,1.60403612
-5.81390695,4.14237742,0.01220596,0.68567960,0.02628721,0.00000000,1.20933852,0.91564106,0.10155104,1.60080325
-5.80790395,4.16100977,0.01295408,0.69507849,0.02656806,0.00000000,1.22497921,0.92785884,0.10277078,1.59766649
-5.80190095,4.17938834,0.01372552,0.70447495,0.02685857,0.00000000,1.24050915,0.94027110,0.10389364,1.59452633
-5.79589795,4.19638858,0.01450883,0.71346916,0.02715564,0.00000000,1.25554039,0.95237418,0.10486881,1.59129255
-5.78989495,4.21097635,0.01529147,0.72168007,0.02745727,0.00000000,1.26971580,0.96369131,0.10564831,1.58790478
-5.78389195,4.22227493,0.01606005,0.72876017,0.02776291,0.00000000,1.28272925,0.97379186,0.10618897,1.58435296
-5.77788894,4.22962827,0.01680074,0.73440982,0.02807387,0.00000000,1.29434479,0.98230979,0.10645436,1.58069627
-5.77188594,4.23265657,0.01749957,0.73839031,0.02839354,0.00000000,1.30441399,0.98896056,0.10641640,1.57707912
-5.76588294,4.23130078,0.01814292,0.74053531,0.02872755,0.00000000,1.31289010,0.99355579,0.10605682,1.57374280
-5.75987994,4.22585306,0.01871790,0.74075994,0.02908375,0.00000000,1.31983838,0.99601482,0.10536810,1.57103167
-5.75387694,4.21697071,0.01921278,0.73906722,0.02947210,0.00000000,1.32544172,0.99637288,0.10435412,1.56939293
-5.74787394,4.20567225,0.01961736,0.73555157,0.02990431,0.00000000,1.33000092,0.99478523,0.10303020,1.56936964
-5.74187094,4.19331496,0.01992332,0.73039907,0.03039347,0.00000000,1.33392956,0.99152714,0.10142279,1.57158657
-5.73586793,4.18155430,0.02012449,0.72388450,0.03095339,0.00000000,1.33774327,0.98698959,0.09956855,1.57672945
-5.72986493,4.17228668,0.02021707,0.71636520,0.03159793,0.00000000,1.34204371,0.98167083,0.09751312,1.58551816
-5.72386193,4.16757768,0.02019970,0.70827204,0.03234023,0.00000000,1.34749788,0.97616393,0.09530938,1.59867492
-5.71785893,4.16957900,0.02007355,0.70009757,0.03319183,0.00000000,1.35481349,0.97114088,0.09301549,1.61688907
-5.71185593,4.18043762,0.01984220,0.69238206,0.03416188,0.00000000,1.36471139,0.96733352,0.09069265,1.64078005
-5.70585293,4.20220150,0.01951153,0.68569753,0.03525629,0.00000000,1.37789619,0.96551213,0.08840274,1.67086039
-5.69984992,4.23672596,0.01908945,0.68063059,0.03647705,0.00000000,1.39502638,0.96646222,0.08620600,1.70750084
-5.69384692,4.28558521,0.01858562,0.67776448,0.03782164,0.00000000,1.41668524,0.97096022,0.08415868,1.75089942
-5.68784392,4.34999306,0.01801109,0.67766078,0.03928255,0.00000000,1.44335365,0.97974891,0.08231097,1.80105623
-5.68184092,4.43073647,0.01737791,0.68084154,0.04084714,0.00000000,1.47538618,0.99351316,0.08070517,1.85775552
-5.67583792,4.52812487,0.01669872,0.68777214,0.04249752,0.00000000,1.51299131,1.01285685,0.07937417,1.92055625
-5.66983492,4.64195771,0.01598634,0.69884550,0.04421086,0.00000000,1.55621667,1.03828143,0.07834036,1.98879193
-5.66383192,4.77151135,0.01525342,0.71436801,0.04595977,0.00000000,1.60493992,1.07016698,0.07761497,2.06157995
-5.65782891,4.91554602,0.01451202,0.73454761,0.04771300,0.00000000,1.65886555,1.10875600,0.07719787,2.13784040
-5.65182591,5.07233219,0.01377339,0.75948435,0.04943626,0.00000000,1.71752780,1.15414068,0.07707778,2.21632354
-5.64582291,5.23969510,0.01304766,0.78916369,0.05109330,0.00000000,1.78029937,1.20625388,0.07723295,2.29564498
-5.63981991,5.41507534,0.01234370,0.82345276,0.05264698,0.00000000,1.84640577,1.26486413,0.07763223,2.37432699
-5.63381691,5.59560266,0.01166901,0.86209978,0.05406050,0.00000000,1.91494439,1.32957487,0.07823639,2.45084404
-5.62781391,5.77817967,0.01102964,0.90473654,0.05529865,0.00000000,1.98490773,1.39982801,0.07899980,2.52367081
-5.62181091,5.95957197,0.01043024,0.95088415,0.05632895,0.00000000,2.05520975,1.47491185,0.07987223,2.59133015
-5.61580790,6.13650076,0.00987414,0.99996174,0.05712279,0.00000000,2.12471435,1.55397309,0.08080075,2.65243925
-5.60980490,6.30573432,0.00936341,1.05129808,0.05765636,0.00000000,2.19226490,1.63603282,0.08173172,2.70575178
-5.60380190,6.46417496,0.00889907,1.10414571,0.05791145,0.00000000,2.25671379,1.72000604,0.08261262,2.75019437
-5.59779890,6.60893821,0.00848122,1.15769733,0.05787599,0.00000000,2.31695095,1.80472424,0.08339382,2.78489587
-5.59179590,6.73742164,0.00810925,1.21110391,0.05754443,0.00000000,2.37193049,1.88896041,0.08403012,2.80920858
-5.58579290,6.84736158,0.00778200,1.26349402,0.05691784,0.00000000,2.42069455,1.97145582,0.08448207,2.82272061
-5.57978989,6.93687611,0.00749795,1.31399391,0.05600372,0.00000000,2.46239386,2.05094788,0.08471694,2.82525931
