energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,3.84004306,0.03377853,0.33914737,2.56537247,1.82913081,1.35454220,0.00000000,1.03152794,0.53141827
-5.99399700,3.87277925,0.03520804,0.34942831,2.63577301,1.82752597,1.36435826,0.00000000,1.04116447,0.54069581
-5.98799400,3.90284469,0.03669908,0.35914100,2.70055627,1.82587047,1.37234203,0.00000000,1.04798387,0.54982323
-5.98199100,3.92973244,0.03822863,0.36822131,2.75894125,1.82402829,1.37838056,0.00000000,1.05194906,0.55872667
-5.97598799,3.95304448,0.03977208,0.37661387,2.81028104,1.82191099,1.38241175,0.00000000,1.05308050,0.56733406
-5.96998499,3.97249526,0.04130377,0.38427225,2.85407344,1.81947693,1.38442477,0.00000000,1.05145481,0.57557548
-5.96398199,3.98791149,0.04279760,0.39115908,2.88996731,1.81672898,1.38445850,0.00000000,1.04720164,0.58338337
-5.95797899,3.99922867,0.04422767,0.39724609,2.91776461,1.81371090,1.38259826,0.00000000,1.04049881,0.59069261
-5.95197599,4.00648444,0.04556888,0.40251414,2.93741835,1.81050259,1.37897098,0.00000000,1.03156629,0.59744059
-5.94597299,4.00980948,0.04679753,0.40695319,2.94902703,1.80721435,1.37373916,0.00000000,1.02065900,0.60356724
-5.93996998,4.00941624,0.04789184,0.41056226,2.95282560,1.80398044,1.36709384,0.00000000,1.00805903,0.60901517
-5.93396698,4.00558602,0.04883249,0.41334930,2.94917379,1.80095206,1.35924706,0.00000000,0.99406740,0.61372989
-5.92796398,3.99865487,0.04960300,0.41533102,2.93854206,1.79829004,1.35042388,0.00000000,0.97899577,0.61766019
-5.92196098,3.98899880,0.05019011,0.41653257,2.92149567,1.79615725,1.34085460,0.00000000,0.96315832,0.62075864
-5.91595798,3.97701853,0.05058399,0.41698708,2.89867765,1.79471109,1.33076715,0.00000000,0.94686412,0.62298232
-5.90995498,3.96312438,0.05077843,0.41673503,2.87079073,1.79409606,1.32038007,0.00000000,0.93041007,0.62429353
-5.90395198,3.94772153,0.05077083,0.41582337,2.83857908,1.79443664,1.30989622,0.00000000,0.91407469,0.62466077
-5.89794897,3.93119597,0.05056223,0.41430448,2.80281018,1.79583066,1.29949734,0.00000000,0.89811276,0.62405960
-5.89194597,3.91390165,0.05015709,0.41223487,2.76425714,1.79834326,1.28933968,0.00000000,0.88275099,0.62247363
-5.88594297,3.89614894,0.04956309,0.40967375,2.72368214,1.80200175,1.27955070,0.00000000,0.86818471,0.61989539
-5.87993997,3.87819502,0.04879082,0.40668143,2.68182114,1.80679144,1.27022684,0.00000000,0.85457554,0.61632710
-5.87393697,3.86023630,0.04785335,0.40331765,2.63937041,1.81265278,1.26143258,0.00000000,0.84205021,0.61178130
-5.86793397,3.84240335,0.04676587,0.39963990,2.59697499,1.81947998,1.25320056,0.00000000,0.83070033,0.60628129
-5.86193097,3.82475854,0.04554514,0.39570193,2.55521947,1.82712119,1.24553280,0.00000000,0.82058318,0.59986134
