energy_ev,total_up,Ca_p_up,Ca_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,0.11733370,0.00024430,0.00000000,0.00960056,0.04961724,0.00016184,0.00779480,0.00580975,0.06102713
-5.99399700,0.09663109,0.00020398,0.00000000,0.00782358,0.04048505,0.00021083,0.00635888,0.00474523,0.05042851
-5.98799400,0.07946345,0.00017130,0.00000000,0.00633643,0.03280499,0.00027310,0.00515338,0.00385132,0.04168508
-5.98199100,0.06545322,0.00014561,0.00000000,0.00510232,0.02640142,0.00035148,0.00415019,0.00310765,0.03460808
-5.97598799,0.05425068,0.00012632,0.00000000,0.00408734,0.02110824,0.00044929,0.00332289,0.00249499,0.02902406
-5.96998499,0.04553975,0.00011291,0.00000000,0.00326071,0.01677131,0.00057032,0.00264710,0.00199553,0.02477790
-5.96398199,0.03904163,0.00010498,0.00000000,0.00259483,0.01325001,0.00071884,0.00210068,0.00159309,0.02173475
-5.95797899,0.03451654,0.00010220,0.00000000,0.00206539,0.01041812,0.00089957,0.00166384,0.00127318,0.01978092
-5.95197599,0.03176386,0.00010435,0.00000000,0.00165129,0.00816398,0.00111771,0.00131916,0.00102306,0.01882388
-5.94597299,0.03062072,0.00011129,0.00000000,0.00133456,0.00639024,0.00137878,0.00105152,0.00083166,0.01879146
-5.93996998,0.03095959,0.00012297,0.00000000,0.00110028,0.00501320,0.00168866,0.00084797,0.00068952,0.01963042
-5.93396698,0.03268474,0.00013941,0.00000000,0.00093639,0.00396186,0.00205334,0.00069760,0.00058867,0.02130438
-5.92796398,0.03572805,0.00016068,0.00000000,0.00083363,0.00317684,0.00247889,0.00059134,0.00052245,0.02379139
-5.92196098,0.04004433,0.00018689,0.00000000,0.00078542,0.00260920,0.00297116,0.00052177,0.00048541,0.02708110
-5.91595798,0.04560614,0.00021816,0.00000000,0.00078788,0.00221930,0.00353567,0.00048293,0.00047311,0.03117173
-5.90995498,0.05239864,0.00025463,0.00000000,0.00083983,0.00197565,0.00417727,0.00047014,0.00048197,0.03606686
-5.90395198,0.06041428,0.00029640,0.00000000,0.00094297,0.00185386,0.00489995,0.00047981,0.00050911,0.04177225
-5.89794897,0.06964783,0.00034354,0.00000000,0.00110212,0.00183580,0.00570650,0.00050933,0.00055224,0.04829269
