energy_ev,total_up,total_down,Al_p_up,Al_p_down,Al_d_up,Al_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.98438775,-1.98416490,0.07925980,-0.07924585,0.00000000,-0.00000000,0.37488616,-0.37481363,0.26330672,-0.26324281,1.30837129,-1.30824129,0.00000000,-0.00000000
-5.99399700,2.00201581,-2.00184970,0.08021127,-0.08019753,0.00000000,-0.00000000,0.38213424,-0.38206551,0.26885438,-0.26879648,1.31945516,-1.31937067,0.00000000,-0.00000000
-5.98799400,2.01157051,-2.01146436,0.08102037,-0.08100648,0.00000000,-0.00000000,0.38858001,-0.38851569,0.27342260,-0.27337124,1.32440051,-1.32436432,0.00000000,-0.00000000
-5.98199100,2.01269274,-2.01264822,0.08172036,-0.08170587,0.00000000,-0.00000000,0.39410793,-0.39404831,0.27694024,-0.27689574,1.32292266,-1.32293654,0.00000000,-0.00000000
-5.97598799,2.00522124,-2.00523844,0.08235220,-0.08233661,0.00000000,-0.00000000,0.39864562,-0.39859065,0.27936448,-0.27932693,1.31486777,-1.31493242,0.00000000,-0.00000000
-5.96998499,1.98919502,-1.98927246,0.08296328,-0.08294605,0.00000000,-0.00000000,0.40216406,-0.40211339,0.28068191,-0.28065119,1.30021693,-1.30033196,0.00000000,-0.00000000
-5.96398199,1.96484960,-1.96498431,0.08360565,-0.08358623,0.00000000,-0.00000000,0.40467617,-0.40462916,0.28090851,-0.28088427,1.27908643,-1.27925040,0.00000000,-0.00000000
-5.95797899,1.93260732,-1.93279495,0.08433409,-0.08431190,0.00000000,-0.00000000,0.40623359,-0.40618937,0.28008870,-0.28007040,1.25172420,-1.25193463,0.00000000,-0.00000000
-5.95197599,1.89306183,-1.89329682,0.08520382,-0.08517834,0.00000000,-0.00000000,0.40692207,-0.40687961,0.27829342,-0.27828032,1.21850250,-1.21875596,0.00000000,-0.00000000
-5.94597299,1.84695765,-1.84723346,0.08626821,-0.08623896,0.00000000,-0.00000000,0.40685560,-0.40681376,0.27561732,-0.27560856,1.17990713,-1.18019935,0.00000000,-0.00000000
-5.93996998,1.79516547,-1.79547475,0.08757634,-0.08754292,0.00000000,-0.00000000,0.40616958,-0.40612717,0.27217526,-0.27216986,1.13652366,-1.13684963,0.00000000,-0.00000000
-5.93396698,1.73865421,-1.73898910,0.08917069,-0.08913280,0.00000000,-0.00000000,0.40501334,-0.40496921,0.26809825,-0.26809514,1.08902097,-1.08937512,0.00000000,-0.00000000
-5.92796398,1.67846106,-1.67881341,0.09108491,-0.09104239,0.00000000,-0.00000000,0.40354248,-0.40349559,0.26352904,-0.26352712,1.03813306,-1.03850937,0.00000000,-0.00000000
-5.92196098,1.61566075,-1.61602238,0.09334196,-0.09329479,0.00000000,-0.00000000,0.40191143,-0.40186087,0.25861754,-0.25861570,0.98463945,-0.98503163,0.00000000,-0.00000000
-5.91595798,1.55133526,-1.55169822,0.09595257,-0.09590087,0.00000000,-0.00000000,0.40026643,-0.40021153,0.25351638,-0.25351354,0.92934527,-0.92974693,0.00000000,-0.00000000
-5.90995498,1.48654537,-1.48690211,0.09891416,-0.09885823,0.00000000,-0.00000000,0.39873960,-0.39867992,0.24837678,-0.24837189,0.87306153,-0.87346629,0.00000000,-0.00000000
-5.90395198,1.42230498,-1.42264853,0.10221031,-0.10215061,0.00000000,-0.00000000,0.39744417,-0.39737954,0.24334485,-0.24333696,0.81658642,-0.81698810,0.00000000,-0.00000000
-5.89794897,1.35955934,-1.35988343,0.10581085,-0.10574801,0.00000000,-0.00000000,0.39647117,-0.39640169,0.23855866,-0.23854688,0.76068822,-0.76108091,0.00000000,-0.00000000
-5.89194597,1.29916775,-1.29946692,0.10967247,-0.10960725,0.00000000,-0.00000000,0.39588782,-0.39581384,0.23414596,-0.23412948,0.70609035,-0.70646854,0.00000000,-0.00000000
-5.88594297,1.24189138,-1.24216100,0.11374003,-0.11367332,0.00000000,-0.00000000,0.39573751,-0.39565960,0.23022275,-0.23020088,0.65345898,-0.65381765,0.00000000,-0.00000000
-5.87993997,1.18838614,-1.18862240,0.11794836,-0.11788114,0.00000000,-0.00000000,0.39604145,-0.39596037,0.22689274,-0.22686483,0.60339346,-0.60372813,0.00000000,-0.00000000
