energy_ev,total_up,Ge_p_up,Ge_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-5.20160080,5.23085571,1.98145750,0.00000000,2.26761895,2.98109980,0.90799072,0.00000000
-5.19559780,5.36162769,2.03938721,0.00000000,2.32936249,3.05830251,0.91612870,0.00000000
-5.18959480,5.48624860,2.09416931,0.00000000,2.38527576,3.13310560,0.92320605,0.00000000
-5.18359180,5.60341317,2.14534168,0.00000000,2.43482186,3.20478598,0.92907920,0.00000000
-5.17758879,5.71192772,2.19250511,0.00000000,2.47754547,3.27268034,0.93361052,0.00000000
-5.17158579,5.81073246,2.23532896,0.00000000,2.51307973,3.33619648,0.93667221,0.00000000
-5.16558279,5.89891978,2.27355476,0.00000000,2.54115165,3.39482215,0.93814991,0.00000000
-5.15957979,5.97574780,2.30699759,0.00000000,2.56158539,3.44813114,0.93794575,0.00000000
-5.15357679,6.04064876,2.33554531,0.00000000,2.57430357,3.49578629,0.93598075,0.00000000
-5.14757379,6.09323178,2.35915549,0.00000000,2.57932631,3.53753950,0.93219641,0.00000000
-5.14157079,6.13327993,2.37785038,0.00000000,2.57676800,3.57322856,0.92655553,0.00000000
-5.13556778,6.16074182,2.39170979,0.00000000,2.56683171,3.60277113,0.91904213,0.00000000
-5.12956478,6.17571801,2.40086252,0.00000000,2.54980159,3.62615611,0.90966069,0.00000000
-5.12356178,6.17844312,2.40547653,0.00000000,2.52603331,3.64343289,0.89843463,0.00000000
-5.11755878,6.16926450,2.40574839,0.00000000,2.49594296,3.65469911,0.88540431,0.00000000
-5.11155578,6.14861864,2.40189246,0.00000000,2.45999497,3.66008755,0.87062476,0.00000000
-5.10555278,6.11700675,2.39413042,0.00000000,2.41868943,3.65975303,0.85416322,0.00000000
-5.09954977,6.07497064,2.38268171,0.00000000,2.37254947,3.65385984,0.83609680,0.00000000
-5.09354677,6.02307047,2.36775511,0.00000000,2.32210920,3.64257072,0.81651051,0.00000000
-5.08754377,5.96186521,2.34954221,0.00000000,2.26790283,3.62603763,0.79549562,0.00000000
-5.08154077,5.89189702,2.32821271,0.00000000,2.21045526,3.60439509,0.77314874,0.00000000
-5.07553777,5.81368003,2.30391189,0.00000000,2.15027458,3.57775625,0.74957141,0.00000000
-5.06953477,5.72769394,2.27676024,0.00000000,2.08784664,3.54621172,0.72487045,0.00000000
