energy_ev,total_up,Al_p_up,Al_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,2.32284421,0.12180376,0.00000000,1.89572029,0.67181978,0.94873191,0.00000000
-5.99399700,2.36881997,0.12874718,0.00000000,1.88427120,0.69838938,0.96577994,0.00000000
-5.98799400,2.41457630,0.13600054,0.00000000,1.87007068,0.72646287,0.98195149,0.00000000
-5.98199100,2.45928541,0.14348714,0.00000000,1.85275336,0.75555167,0.99720434,0.00000000
-5.97598799,2.50222152,0.15112414,0.00000000,1.83210695,0.78518388,1.01152807,0.00000000
-5.96998499,2.54274604,0.15882217,0.00000000,1.80805775,0.81490418,1.02493094,0.00000000
-5.96398199,2.58029232,0.16648556,0.00000000,1.78065291,0.84427373,1.03742743,0.00000000
-5.95797899,2.61435161,0.17401304,0.00000000,1.75004073,0.87287055,1.04902732,0.00000000
-5.95197599,2.64446147,0.18129932,0.00000000,1.71645039,0.90029068,1.05972697,0.00000000
-5.94597299,2.67019803,0.18823708,0.00000000,1.68017225,0.92615043,1.06950350,0.00000000
-5.93996998,2.69117270,0.19471977,0.00000000,1.64153980,0.95008988,1.07831221,0.00000000
-5.93396698,2.70703406,0.20064479,0.00000000,1.60091404,0.97177771,1.08608748,0.00000000
-5.92796398,2.71747475,0.20591707,0.00000000,1.55867088,0.99091730,1.09274704,0.00000000
-5.92196098,2.72224311,0.21045297,0.00000000,1.51519179,1.00725405,1.09819943,0.00000000
-5.91595798,2.72115877,0.21418401,0.00000000,1.47085779,1.02058332,1.10235410,0.00000000
-5.90995498,2.71413087,0.21706060,0.00000000,1.42604645,1.03075894,1.10513339,0.00000000
-5.90395198,2.70117763,0.21905526,0.00000000,1.38113141,1.03770140,1.10648560,0.00000000
-5.89794897,2.68244537,0.22016532,0.00000000,1.33648384,1.04140539,1.10639814,0.00000000
-5.89194597,2.65822534,0.22041479,0.00000000,1.29247500,1.04194595,1.10490972,0.00000000
-5.88594297,2.62896656,0.21985538,0.00000000,1.24947909,1.03948257,1.10212062,0.00000000
-5.87993997,2.59528311,0.21856649,0.00000000,1.20787553,1.03426088,1.09820001,0.00000000
-5.87393697,2.55795449,0.21665415,0.00000000,1.16805003,1.02661126,1.09338973,0.00000000
-5.86793397,2.51791824,0.21424897,0.00000000,1.13039367,1.01694429,1.08800381,0.00000000
-5.86193097,2.47625437,0.21150307,0.00000000,1.09529972,1.00574269,1.08242344,0.00000000
-5.85592796,2.43416157,0.20858618,0.00000000,1.06315790,0.99355005,1.07708750,0.00000000
-5.84992496,2.39292596,0.20568115,0.00000000,1.03434616,0.98095654,1.07247873,0.00000000
-5.84392196,2.35388346,0.20297886,0.00000000,1.00922015,0.96858197,1.06910621,0.00000000
-5.83791896,2.31837736,0.20067303,0.00000000,0.98810101,0.95705707,1.06748494,0.00000000
-5.83191596,2.28771314,0.19895498,0.00000000,0.97126199,0.94700358,1.06811349,0.00000000
-5.82591296,2.26311259,0.19800860,0.00000000,0.95891485,0.93901425,1.07145099,0.00000000
-5.81990995,2.24566985,0.19800592,0.00000000,0.95119689,0.93363344,1.07789459,0.00000000
-5.81390695,2.23631128,0.19910317,0.00000000,0.94815948,0.93133943,1.08775879,0.00000000
-5.80790395,2.23576165,0.20143774,0.00000000,0.94975906,0.93252922,1.10125770,0.00000000
-5.80190095,2.24451803,0.20512600,0.00000000,0.95585131,0.93750648,1.11849128,0.00000000
-5.79589795,2.26283301,0.21026197,0.00000000,0.96618912,0.94647319,1.13943651,0.00000000
-5.78989495,2.29070786,0.21691690,0.00000000,0.98042469,0.95952537,1.16394374,0.00000000
-5.78389195,2.32789584,0.22513959,0.00000000,0.99811595,0.97665279,1.19173872,0.00000000
-5.77788894,2.37391523,0.23495733,0.00000000,1.01873711,0.99774271,1.22243006,0.00000000
-5.77188594,2.42807119,0.24637729,0.00000000,1.04169300,1.02258712,1.25552174,0.00000000
-5.76588294,2.48948480,0.25938806,0.00000000,1.06633652,1.05089288,1.29042992,0.00000000
-5.75987994,2.55712759,0.27396128,0.00000000,1.09198838,1.08229424,1.32650322,0.00000000
-5.75387694,2.62985924,0.29005298,0.00000000,1.11795824,1.11636658,1.36304527,0.00000000
-5.74787394,2.70646643,0.30760450,0.00000000,1.14356606,1.15264086,1.39933826,0.00000000
-5.74187094,2.78570043,0.32654292,0.00000000,1.16816272,1.19061764,1.43466644,0.00000000
-5.73586793,2.86631173,0.34678082,0.00000000,1.19114886,1.22978021,1.46833823,0.00000000
-5.72986493,2.94707986,0.36821540,0.00000000,1.21199117,1.26960602,1.49970596,0.00000000
-5.72386193,3.02683748,0.39072705,0.00000000,1.23023525,1.30957615,1.52818251,0.00000000
-5.71785893,3.10448798,0.41417746,0.00000000,1.24551489,1.34918254,1.55325422,0.00000000
-5.71185593,3.17901667,0.43840754,0.00000000,1.25755738,1.38793309,1.57448968,0.00000000
-5.70585293,3.24949596,0.46323536,0.00000000,1.26618492,1.42535481,1.59154463,0.00000000
-5.69984992,3.31508568,0.48845451,0.00000000,1.27131269,1.46099549,1.60416305,0.00000000
-5.69384692,3.37502977,0.51383312,0.00000000,1.27294381,1.49442444,1.61217495,0.00000000
-5.68784392,3.42865115,0.53911392,0.00000000,1.27116216,1.52523293,1.61549171,0.00000000
-5.68184092,3.47534643,0.56401563,0.00000000,1.26612377,1.55303502,1.61409952,0.00000000
-5.67583792,3.51458214,0.58823584,0.00000000,1.25804758,1.57746936,1.60805194,0.00000000
