energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.52725752,0.01092174,0.17260782,0.48648538,0.29058944,0.01343172,0.57110124,0.67934734,0.11720716
-5.99399700,1.48058090,0.01182441,0.16722800,0.46858401,0.28021342,0.01305660,0.55787503,0.65327592,0.11267822
-5.98799400,1.43296273,0.01274206,0.16159583,0.44943962,0.27052973,0.01267475,0.54374013,0.62610083,0.10802964
-5.98199100,1.38438117,0.01365791,0.15573593,0.42921355,0.26141046,0.01228465,0.52872404,0.59799136,0.10327747
-5.97598799,1.33488296,0.01455457,0.14968007,0.40809877,0.25273892,0.01188560,0.51288212,0.56914898,0.09844412
-5.96998499,1.28457252,0.01541441,0.14346548,0.38631123,0.24441058,0.01147761,0.49629223,0.53979875,0.09355694
-5.96398199,1.23360046,0.01621999,0.13713315,0.36408118,0.23633360,0.01106132,0.47904942,0.51018049,0.08864675
-5.95797899,1.18215249,0.01695454,0.13072619,0.34164458,0.22842923,0.01063789,0.46126094,0.48054015,0.08374643
-5.95197599,1.13043951,0.01760240,0.12428840,0.31923529,0.22063198,0.01020890,0.44304208,0.45112194,0.07888963
-5.94597299,1.07868951,0.01814949,0.11786303,0.29707826,0.21288995,0.00977629,0.42451279,0.42216156,0.07410959
-5.93996998,1.02714174,0.01858375,0.11149187,0.27538387,0.20516504,0.00934230,0.40579544,0.39388080,0.06943834
-5.93396698,0.97604309,0.01889549,0.10521465,0.25434381,0.19743339,0.00890938,0.38701349,0.36648365,0.06490596
-5.92796398,0.92564679,0.01907770,0.09906876,0.23412824,0.18968575,0.00848024,0.36829118,0.34015406,0.06054029
-5.92196098,0.87621298,0.01912630,0.09308923,0.21488446,0.18192794,0.00805775,0.34975391,0.31505504,0.05636672
-5.91595798,0.82801073,0.01904024,0.08730896,0.19673682,0.17418131,0.00764503,0.33152933,0.29132923,0.05240830
-5.90995498,0.78132102,0.01882155,0.08175909,0.17978773,0.16648300,0.00724541,0.31374853,0.26910038,0.04868596
-5.90395198,0.73644001,0.01847523,0.07646947,0.16411955,0.15888612,0.00686247,0.29654748,0.24847574,0.04521883
-5.89794897,0.69368202,0.01800908,0.07146916,0.14979707,0.15145965,0.00650003,0.28006815,0.22954875,0.04202467
-5.89194597,0.65338167,0.01743345,0.06678688,0.13687042,0.14428812,0.00616217,0.26445921,0.21240200,0.03912025
-5.88594297,0.61589483,0.01676086,0.06245137,0.12537806,0.13747086,0.00585324,0.24987618,0.19710992,0.03652169
-5.87993997,0.58159784,0.01600555,0.05849155,0.11534967,0.13112105,0.00557777,0.23648078,0.18374112,0.03424476
-5.87393697,0.55088496,0.01518309,0.05493655,0.10680875,0.12536438,0.00534050,0.22443946,0.17235999,0.03230500
-5.86793397,0.52416388,0.01430982,0.05181549,0.09977476,0.12033735,0.00514627,0.21392109,0.16302762,0.03071768
