energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,4.27885155,0.05543819,0.00522582,0.01127736,3.28475948,1.32736447,2.54343895
-5.99399700,4.06577842,0.05425504,0.00502968,0.01096872,3.11184609,1.26134732,2.41104898
-5.98799400,3.84224647,0.05317694,0.00481581,0.01063639,2.93028762,1.19355805,2.27142697
-5.98199100,3.61200999,0.05225807,0.00458729,0.01028692,2.74304204,1.12532279,2.12677479
-5.97598799,3.37880132,0.05155501,0.00434747,0.00992762,2.55302497,1.05794559,1.97927234
-5.96998499,3.14624573,0.05112572,0.00409987,0.00956639,2.36304180,0.99267925,1.83102669
-5.96398199,2.91778421,0.05102829,0.00384811,0.00921158,2.17572765,0.93069879,1.68402686
-5.95797899,2.69660632,0.05131964,0.00359583,0.00887179,1.99349682,0.87307812,1.54010556
-5.95197599,2.48559472,0.05205402,0.00334663,0.00855565,1.81850287,0.82077028,1.40090878
-5.94597299,2.28728229,0.05328151,0.00310401,0.00827167,1.65260988,0.77459169,1.26787380
-5.93996998,2.10382228,0.05504647,0.00287128,0.00802799,1.49737495,0.73521035,1.14221560
-5.93396698,1.93697156,0.05738606,0.00265155,0.00783221,1.35404155,0.70313816,1.02492150
-5.92796398,1.78808615,0.06032889,0.00244767,0.00769118,1.22354278,0.67872721,0.91675338
-5.92196098,1.65812827,0.06389379,0.00226219,0.00761095,1.10651356,0.66216985,0.81825664
-5.91595798,1.54768346,0.06808892,0.00209741,0.00759654,1.00331009,0.65350228,0.72977472
-5.90995498,1.45698625,0.07291112,0.00195528,0.00765198,0.91403532,0.65261137,0.65146811
-5.90395198,1.38595267,0.07834562,0.00183750,0.00778022,0.83856844,0.65924445,0.58333644
-5.89794897,1.33421784,0.08436620,0.00174547,0.00798315,0.77659716,0.67302151,0.52524247
-5.89194597,1.30117679,0.09093563,0.00168035,0.00826167,0.72765093,0.69344963,0.47693668
-5.88594297,1.28602681,0.09800667,0.00164308,0.00861578,0.69113396,0.71993910,0.43808143
-5.87993997,1.28780980,0.10552328,0.00163439,0.00904466,0.66635668,0.75182074,0.40827368
-5.87393697,1.30545301,0.11342231,0.00165486,0.00954688,0.65256476,0.78836417,0.38706558
-5.86793397,1.33780700,0.12163530,0.00170489,0.01012049,0.64896492,0.82879635,0.37398225
-5.86193097,1.38367984,0.13009063,0.00178477,0.01076323,0.65474695,0.87231998,0.36853648
-5.85592796,1.44186655,0.13871554,0.00189468,0.01147264,0.66910178,0.91813133,0.37024011
-5.84992496,1.51117345,0.14743832,0.00203466,0.01224625,0.69123543,0.96543703,0.37861211
-5.84392196,1.59043688,0.15619024,0.00220464,0.01308163,0.72037903,1.01346938,0.39318359
-5.83791896,1.67853652,0.16490728,0.00240438,0.01397655,0.75579521,1.06149988,0.41350006
-5.83191596,1.77440328,0.17353154,0.00263352,0.01492893,0.79678140,1.10885077,0.43912130
-5.82591296,1.87702243,0.18201218,0.00289146,0.01593694,0.84267059,1.15490428,0.46961954
-5.81990995,1.98543263,0.19030600,0.00317739,0.01699888,0.89283022,1.19910980,0.50457649
-5.81390695,2.09872167,0.19837748,0.00349021,0.01811312,0.94666011,1.24098885,0.54357984
-5.80790395,2.21602024,0.20619831,0.00382854,0.01927800,1.00359003,1.28013822,0.58621991
-5.80190095,2.33649471,0.21374657,0.00419061,0.02049166,1.06307789,1.31623156,0.63208704
-5.79589795,2.45934028,0.22100549,0.00457431,0.02175184,1.12460914,1.34901984,0.68077035
-5.78989495,2.58377570,0.22796187,0.00497709,0.02305574,1.18769800,1.37833109,0.73185823
-5.78389195,2.70904074,0.23460447,0.00539601,0.02439983,1.25189121,1.40407009,0.78494097
-5.77788894,2.83439732,0.24092218,0.00582770,0.02577965,1.31677435,1.42621816,0.83961578
-5.77188594,2.95913505,0.24690239,0.00626839,0.02718972,1.38198116,1.44483368,0.89549416
