energy_ev,total_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,3.88652218,0.44340459,0.00457362,0.02757966,2.44930244,1.74292362,1.57733443
-5.99399700,3.95132349,0.44718107,0.00468834,0.02817547,2.49787340,1.75869479,1.62112004
-5.98799400,4.03381309,0.45450541,0.00483433,0.02901847,2.55558434,1.78324609,1.67106295
-5.98199100,4.13228738,0.46532433,0.00501118,0.03010645,2.62113735,1.81600243,1.72609264
-5.97598799,4.24485265,0.47954250,0.00521821,0.03143174,2.69314435,1.85628932,1.78507620
-5.96998499,4.36945864,0.49702169,0.00545438,0.03298116,2.77015511,1.90334223,1.84684327
-5.96398199,4.50393300,0.51758014,0.00571830,0.03473614,2.85068563,1.95631659,1.91021120
-5.95797899,4.64601599,0.54099210,0.00600820,0.03667291,2.93324631,2.01429863,1.97400985
-5.95197599,4.79339518,0.56698788,0.00632195,0.03876295,3.01636926,2.07631683,2.03710544
-5.94597299,4.94373956,0.59525469,0.00665702,0.04097352,3.09863415,2.14135415,2.09842254
-5.93996998,5.09473302,0.62543845,0.00701049,0.04326835,3.17869205,2.20836111,2.15696398
-5.93396698,5.24410680,0.65714677,0.00737908,0.04560851,3.25528679,2.27626953,2.21182798
-5.92796398,5.38967097,0.68995339,0.00775916,0.04795335,3.32727371,2.34400713,2.26222231
-5.92196098,5.52934481,0.72340406,0.00814681,0.05026155,3.39363532,2.41051295,2.30747516
-5.91595798,5.66118599,0.75702402,0.00853786,0.05249224,3.45349416,2.47475335,2.34704277
-5.90995498,5.78341870,0.79032694,0.00892797,0.05460609,3.50612261,2.53573875,2.38051382
-5.90395198,5.89446033,0.82282509,0.00931274,0.05656650,3.55094995,2.59254074,2.40761076
-5.89794897,5.99294675,0.85404072,0.00968776,0.05834060,3.58756681,2.64430943,2.42818839
-5.89194597,6.07775564,0.88351799,0.01004877,0.05990024,3.61572723,2.69029058,2.44222996
-5.88594297,6.14802751,0.91083521,0.01039177,0.06122285,3.63534845,2.72984231,2.44984115
-5.87993997,6.20318360,0.93561684,0.01071309,0.06229208,3.64650865,2.76245063,2.45124228
-5.87393697,6.24294006,0.95754471,0.01100957,0.06309825,3.64944276,2.78774350,2.44675910
-5.86793397,6.26731734,0.97636791,0.01127861,0.06363867,3.64453612,2.80550255,2.43681233
-5.86193097,6.27664396,0.99191090,0.01151827,0.06391762,3.63231626,2.81567207,2.42190626
-5.85592796,6.27155385,1.00407930,0.01172738,0.06394618,3.61344242,2.81836452,2.40261649
-5.84992496,6.25297626,1.01286315,0.01190552,0.06374184,3.58869282,2.81386210,2.37957703
-5.84392196,6.22211802,1.01833721,0.01205308,0.06332784,3.55894953,2.80261385,2.35346669
-5.83791896,6.18043749,1.02065838,0.01217122,0.06273246,3.52518083,2.78522812,2.32499492
-5.83191596,6.12961067,1.02006008,0.01226185,0.06198807,3.48842118,2.76246011,2.29488727
-5.82591296,6.07148960,1.01684396,0.01232754,0.06113014,3.44974884,2.73519475,2.26387032
-5.81990995,6.00805423,1.01136902,0.01237143,0.06019617,3.41026157,2.70442498,2.23265662
-5.81390695,5.94135883,1.00403887,0.01239710,0.05922463,3.37105071,2.67122618,2.20192952
-5.80790395,5.87347479,0.99528736,0.01240844,0.05825392,3.33317444,2.63672724,2.17232846
-5.80190095,5.80643166,0.98556338,0.01240949,0.05732139,3.29763083,2.60207932,2.14443492
-5.79589795,5.74215860,0.97531547,0.01240430,0.05646250,3.26533163,2.56842330,2.11875948
-5.78989495,5.68242868,0.96497679,0.01239678,0.05571002,3.23707776,2.53685695,2.09573048
-5.78389195,5.62880789,0.95495118,0.01239056,0.05509351,3.21353736,2.50840328,2.07568455
-5.77788894,5.58261140,0.94560085,0.01238886,0.05463876,3.19522741,2.48398090,2.05885963
-5.77188594,5.54486839,0.93723613,0.01239442,0.05436758,3.18249967,2.46437783,2.04539061
-5.76588294,5.51629728,0.93010771,0.01240938,0.05429758,3.17553165,2.45022956,2.03530789
-5.75987994,5.49729203,0.92440155,0.01243530,0.05444211,3.17432298,2.44200226,2.02853914
-5.75387694,5.48792015,0.92023658,0.01247309,0.05481037,3.17869765,2.43998180,2.02491400
-5.74787394,5.48793227,0.91766520,0.01252303,0.05540751,3.18831186,2.44426888,2.02417195
-5.74187094,5.49678269,0.91667630,0.01258485,0.05623481,3.20266749,2.45478055,2.02597274
-5.73586793,5.51365998,0.91720059,0.01265775,0.05728996,3.22113056,2.47125788,2.02990937
-5.72986493,5.53752591,0.91911784,0.01274051,0.05856723,3.24295408,2.49327948,2.03552289
-5.72386193,5.56716114,0.92226559,0.01283153,0.06005775,3.26730450,2.52028030,2.04231863
-5.71785893,5.60121549,0.92644879,0.01292901,0.06174968,3.29329059,2.55157485,2.04978325
-5.71185593,5.63826071,0.93144985,0.01303097,0.06362840,3.31999385,2.58638402,2.05740194
-5.70585293,5.67684342,0.93703863,0.01313537,0.06567671,3.34649929,2.62386419,2.06467522
-5.69984992,5.71553628,0.94298189,0.01324023,0.06787487,3.37192533,2.66313766,2.07113464
-5.69384692,5.75298525,0.94905176,0.01334365,0.07020084,3.39545191,2.70332320,2.07635707
-5.68784392,5.78795144,0.95503291,0.01344387,0.07263031,3.41634580,2.74356539,2.07997680
-5.68184092,5.81934603,0.96072822,0.01353937,0.07513689,3.43398215,2.78306186,2.08169540
-5.67583792,5.84625729,0.96596278,0.01362879,0.07769229,3.44786176,2.82108726,2.08128880
-5.66983492,5.86796914,0.97058618,0.01371102,0.08026656,3.45762347,2.85701332,2.07861167
-5.66383192,5.88397099,0.97447319,0.01378513,0.08282838,3.46305137,2.89032420,2.07359879
-5.65782891,5.89395900,0.97752297,0.01385038,0.08534544,3.46407676,2.92062684,2.06626378
-5.65182591,5.89782948,0.97965705,0.01390618,0.08778489,3.46077509,2.94765610,2.05669510
-5.64582291,5.89566513,0.98081637,0.01395203,0.09011391,3.45335795,2.97127470,2.04504975
-5.63981991,5.88771546,0.98095773,0.01398748,0.09230028,3.44216095,2.99146838,2.03154499
-5.63381691,5.87437260,0.98004998,0.01401214,0.09431307,3.42762788,3.00833666,2.01644855
-5.62781391,5.85614418,0.97807032,0.01402558,0.09612335,3.41029215,3.02207992,2.00006772
-5.62181091,5.83362473,0.97500095,0.01402735,0.09770486,3.39075635,3.03298382,1.98273802
-5.61580790,5.80746715,0.97082644,0.01401695,0.09903477,3.36967081,3.04140165,1.96481173
-5.60980490,5.77835570,0.96553193,0.01399385,0.10009430,3.34771233,3.04773594,1.94664701
-5.60380190,5.74698181,0.95910236,0.01395747,0.10086934,3.32556366,3.05242012,1.92859793
-5.59779890,5.71402349,0.95152259,0.01390722,0.10135085,3.30389489,3.05590109,1.91100587
-5.59179590,5.68012938,0.94277868,0.01384255,0.10153532,3.28334721,3.05862371,1.89419248
-5.58579290,5.64590751,0.93285985,0.01376298,0.10142488,3.26451970,3.06101761,1.87845459
-5.57978989,5.61191908,0.92176115,0.01366814,0.10102742,3.24795939,3.06348687,1.86406096
-5.57378689,5.57867684,0.90948657,0.01355784,0.10035643,3.23415488,3.06640294,1.85125098
