energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
4.77538769,1.90181517,0.78766513,0.64992194,0.02231209,0.12721110,0.09212739,0.37551005,1.10151099,0.00566371
4.78139070,1.88333582,0.76670722,0.64137610,0.02219280,0.12597410,0.09087352,0.37447131,1.09230531,0.00563457
4.78739370,1.87170059,0.74967817,0.63525374,0.02222585,0.12484796,0.09027054,0.37435378,1.08812312,0.00561215
4.79339670,1.86694622,0.73667631,0.63157211,0.02240986,0.12383889,0.09033378,0.37516105,1.08890959,0.00559678
4.79939970,1.86899656,0.72774189,0.63031703,0.02274129,0.12295664,0.09106447,0.37687926,1.09449886,0.00558870
4.80540270,1.87766149,0.72285466,0.63144242,0.02321429,0.12221440,0.09244952,0.37947651,1.10461747,0.00558802
4.81140570,1.89263768,0.72193267,0.63487004,0.02382058,0.12162846,0.09446176,0.38290270,1.11889000,0.00559469
4.81740870,1.91351153,0.72483249,0.64048985,0.02454954,0.12121757,0.09706042,0.38708992,1.13684689,0.00560851
4.82341171,1.93976448,0.73135102,0.64816088,0.02538813,0.12100230,0.10019203,0.39195343,1.15793440,0.00562909
4.82941471,1.97078090,0.74122864,0.65771281,0.02632107,0.12100409,0.10379160,0.39739328,1.18152668,0.00565588
4.83541771,2.00585880,0.75415398,0.66894835,0.02733102,0.12124440,0.10778404,0.40329652,1.20693971,0.00568809
4.84142071,2.04422331,0.76977010,0.68164641,0.02839882,0.12174370,0.11208599,0.40954001,1.23344709,0.00572478
4.84742371,2.08504290,0.78768195,0.69556616,0.02950383,0.12252056,0.11660771,0.41599376,1.26029714,0.00576480
4.85342671,2.12744807,0.80746499,0.71045194,0.03062439,0.12359081,0.12125535,0.42252474,1.28673125,0.00580686
4.85942971,2.17055214,0.82867481,0.72603881,0.03173826,0.12496672,0.12593319,0.42900096,1.31200271,0.00584952
4.86543272,2.21347357,0.85085731,0.74205881,0.03282321,0.12665643,0.13054606,0.43529578,1.33539578,0.00589127
4.87143572,2.25535908,0.87355936,0.75824754,0.03385753,0.12866344,0.13500174,0.44129217,1.35624418,0.00593056
4.87743872,2.29540682,0.89633938,0.77435096,0.03482067,0.13098626,0.13921330,0.44688686,1.37394860,0.00596585
4.88344172,2.33288862,0.91877778,0.79013206,0.03569381,0.13361821,0.14310130,0.45199410,1.38799248,0.00599571
4.88944472,2.36717044,0.94048659,0.80537719,0.03646043,0.13654733,0.14659582,0.45654892,1.39795554,0.00601881
4.89544772,2.39773017,0.96111825,0.81990164,0.03710676,0.13975643,0.14963818,0.46050969,1.40352457,0.00603406
4.90145073,2.42417185,0.98037310,0.83355441,0.03762224,0.14322324,0.15218236,0.46385986,1.40450102,0.00604060
4.90745373,2.44623581,0.99800537,0.84622168,0.03799983,0.14692052,0.15419600,0.46660883,1.40080518,0.00603791
4.91345673,2.46380398,1.01382753,0.85782899,0.03823620,0.15081642,0.15566103,0.46879176,1.39247669,0.00602576
4.91945973,2.47690038,1.02771278,0.86834195,0.03833181,0.15487474,0.15657381,0.47046853,1.37967146,0.00600433
4.92546273,2.48568633,1.03959570,0.87776534,0.03829086,0.15905527,0.15694484,0.47172156,1.36265508,0.00597412
4.93146573,2.49045097,1.04947108,0.88614075,0.03812107,0.16331424,0.15679802,0.47265292,1.34179302,0.00593601
4.93746873,2.49159707,1.05739103,0.89354278,0.03783341,0.16760473,0.15616949,0.47338052,1.31753805,0.00589120
4.94347174,2.48962305,1.06346038,0.90007396,0.03744161,0.17187722,0.15510612,0.47403386,1.29041528,0.00584119
4.94947474,2.48510176,1.06783083,0.90585863,0.03696170,0.17608018,0.15366363,0.47474913,1.26100554,0.00578768
4.95547774,2.47865701,1.07069383,0.91103614,0.03641132,0.18016072,0.15190453,0.47566427,1.22992751,0.00573257
4.96148074,2.47093887,1.07227270,0.91575349,0.03580916,0.18406536,0.14989583,0.47691390,1.19781949,0.00567783
4.96748374,2.46259865,1.07281411,0.92015793,0.03517423,0.18774083,0.14770674,0.47862443,1.16532114,0.00562547
4.97348674,2.45426475,1.07257927,0.92438981,0.03452522,0.19113500,0.14540630,0.48090958,1.13305604,0.00557741
