energy_ev,total_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,0.91707039,0.17974689,0.00143908,0.53218854,0.00000000,0.57094989,0.30159530
-5.99399700,1.02187240,0.19786614,0.00160780,0.59513583,0.00000000,0.63306276,0.33843179
-5.98799400,1.13299249,0.21689668,0.00178813,0.66207893,0.00000000,0.69866315,0.37766570
-5.98199100,1.24954843,0.23662423,0.00197885,0.73253801,0.00000000,0.76716232,0.41903850
-5.97598799,1.37051310,0.25681581,0.00217850,0.80593971,0.00000000,0.83789590,0.46223300
-5.96998499,1.49472871,0.27722465,0.00238545,0.88162351,0.00000000,0.91013511,0.50687638
-5.96398199,1.62092725,0.29759602,0.00259783,0.95885192,0.00000000,0.98310148,0.55254536
-5.95797899,1.74775683,0.31767399,0.00281366,1.03682435,0.00000000,1.05598466,0.59877373
-5.95197599,1.87381332,0.33720882,0.00303081,1.11469448,0.00000000,1.12796301,0.64506198
-5.94597299,1.99767626,0.35596465,0.00324713,1.19159062,0.00000000,1.19822608,0.69088898
-5.93996998,2.11794784,0.37372726,0.00346043,1.26663847,0.00000000,1.26599820,0.73572511
-5.93396698,2.23329340,0.39031141,0.00366861,1.33898533,0.00000000,1.33056217,0.77904663
-5.92796398,2.34248168,0.40556743,0.00386968,1.40782487,0.00000000,1.39128189,0.82035051
-5.92196098,2.44442296,0.41938671,0.00406183,1.47242134,0.00000000,1.44762298,0.85916929
-5.91595798,2.53820332,0.43170565,0.00424348,1.53213220,0.00000000,1.49917005,0.89508515
-5.90995498,2.62311313,0.44250794,0.00441336,1.58642796,0.00000000,1.54563992,0.92774261
-5.90395198,2.69866835,0.45182476,0.00457051,1.63490826,0.00000000,1.58688980,0.95685928
-5.89794897,2.76462324,0.45973294,0.00471432,1.67731339,0.00000000,1.62291987,0.98223396
-5.89194597,2.82097368,0.46635105,0.00484455,1.71353050,0.00000000,1.65386999,1.00375180
-5.88594297,2.86795076,0.47183343,0.00496131,1.74359417,0.00000000,1.68001047,1.02138616
-5.87993997,2.90600456,0.47636249,0.00506506,1.76768115,0.00000000,1.70172718,1.03519703
-5.87393697,2.93577894,0.48013960,0.00515656,1.78609944,0.00000000,1.71950168,1.04532602
-5.86793397,2.95807829,0.48337485,0.00523683,1.79927226,0.00000000,1.73388711,1.05198820
-5.86193097,2.97382790,0.48627638,0.00530710,1.80771757,0.00000000,1.74548115,1.05546113
-5.85592796,2.98402993,0.48903967,0.00536873,1.81202422,0.00000000,1.75489728,1.05607167
-5.84992496,2.98971699,0.49183740,0.00542314,1.81282584,0.00000000,1.76273575,1.05418117
-5.84392196,2.99190600,0.49481035,0.00547174,1.81077387,0.00000000,1.76955591,1.05016988
-5.83791896,2.99155438,0.49806001,0.00551586,1.80651102,0.00000000,1.77585106,1.04442124
-5.83191596,2.98952092,0.50164302,0.00555670,1.80064648,0.00000000,1.78202741,1.03730701
-5.82591296,2.98653334,0.50556807,0.00559524,1.79373411,0.00000000,1.78838800,1.02917382
-5.81990995,2.98316392,0.50979525,0.00563225,1.78625461,0.00000000,1.79512248,1.02033186
-5.81390695,2.97981440,0.51423785,0.00566821,1.77860244,0.00000000,1.80230316,1.01104613
-5.80790395,2.97671057,0.51876680,0.00570335,1.77107792,0.00000000,1.80988745,1.00153071
-5.80190095,2.97390661,0.52321718,0.00573761,1.76388468,0.00000000,1.81772643,0.99194603
-5.79589795,2.97129834,0.52739663,0.00577070,1.75713235,0.00000000,1.82557882,0.98239930
-5.78989495,2.96864445,0.53109526,0.00580212,1.75084386,0.00000000,1.83312955,0.97294772
-5.78389195,2.96559404,0.53409629,0.00583117,1.74496679,0.00000000,1.84001164,0.96360415
-5.77788894,2.96171849,0.53618709,0.00585708,1.73938778,0.00000000,1.84583006,0.95434483
-5.77188594,2.95654580,0.53716988,0.00587898,1.73394880,0.00000000,1.85018612,0.94511842
-5.76588294,2.94959496,0.53687148,0.00589602,1.72846443,0.00000000,1.85270097,0.93585578
-5.75987994,2.94040864,0.53515181,0.00590739,1.72273874,0.00000000,1.85303689,0.92647994
-5.75387694,2.92858210,0.53191044,0.00591237,1.71658095,0.00000000,1.85091517,0.91691547
-5.74787394,2.91378703,0.52709111,0.00591038,1.70981897,0.00000000,1.84612980,0.90709684
-5.74187094,2.89578914,0.52068388,0.00590099,1.70231016,0.00000000,1.83855626,0.89697537
-5.73586793,2.87445896,0.51272504,0.00588397,1.69394885,0.00000000,1.82815524,0.88652435
-5.72986493,2.84977566,0.50329460,0.00585925,1.68467056,0.00000000,1.81497130,0.87574231
-5.72386193,2.82182426,0.49251191,0.00582695,1.67445291,0.00000000,1.79912697,0.86465430
-5.71785893,2.79078699,0.48052945,0.00578733,1.66331357,0.00000000,1.78081276,0.85331137
-5.71185593,2.75692982,0.46752534,0.00574079,1.65130574,0.00000000,1.76027424,0.84178837
-5.70585293,2.72058551,0.45369503,0.00568785,1.63851175,0.00000000,1.73779692,0.83018053
-5.69984992,2.68213459,0.43924262,0.00562909,1.62503565,0.00000000,1.71369029,0.81859903
-5.69384692,2.64198593,0.42437231,0.00556516,1.61099525,0.00000000,1.68827202,0.80716604
-5.68784392,2.60055800,0.40928043,0.00549670,1.59651470,0.00000000,1.66185338,0.79600967
-5.68184092,2.55826243,0.39414848,0.00542436,1.58171794,0.00000000,1.63472676,0.78525911
-5.67583792,2.51549061,0.37913743,0.00534878,1.56672376,0.00000000,1.60715608,0.77504042
-5.66983492,2.47260428,0.36438359,0.00527055,1.55164276,0.00000000,1.57937056,0.76547311
-5.66383192,2.42993044,0.34999611,0.00519026,1.53657649,0.00000000,1.55156209,0.75666781
-5.65782891,2.38776062,0.33605611,0.00510845,1.52161878,0.00000000,1.52388618,0.74872512
-5.65182591,2.34635446,0.32261753,0.00502567,1.50685914,0.00000000,1.49646644,0.74173552
-5.64582291,2.30594698,0.30970932,0.00494247,1.49238803,0.00000000,1.46940184,0.73578054
