energy_ev,total_up,Pb_p_up,Pb_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,1.82892903,0.24908659,0.00067442,0.42720497,0.88761775,1.07735810,0.00000000
-5.99399700,1.88226386,0.23812246,0.00073598,0.44443833,0.91148542,1.12777203,0.00000000
-5.98799400,1.93567926,0.22710636,0.00080020,0.46183887,0.93510216,1.17807498,0.00000000
-5.98199100,1.98838524,0.21619614,0.00086626,0.47919713,0.95813373,1.22754870,0.00000000
-5.97598799,2.03960772,0.20556042,0.00093337,0.49630682,0.98025018,1.27546419,0.00000000
-5.96998499,2.08860499,0.19537524,0.00100075,0.51297059,1.00113249,1.32109510,0.00000000
-5.96398199,2.13468924,0.18582164,0.00106769,0.52900743,1.02048164,1.36373400,0.00000000
-5.95797899,2.17725279,0.17708413,0.00113355,0.54426121,1.03802991,1.40271120,0.00000000
-5.95197599,2.21579806,0.16935024,0.00119784,0.55861024,1.05355410,1.43741572,0.00000000
-5.94597299,2.24996981,0.16281068,0.00126022,0.57197725,1.06688986,1.46731745,0.00000000
-5.93996998,2.27958784,0.15766026,0.00132056,0.58433923,1.07794655,1.49198948,0.00000000
-5.93396698,2.30467816,0.15409899,0.00137897,0.59573652,1.08672152,1.51112961,0.00000000
-5.92796398,2.32550022,0.15233328,0.00143580,0.60628056,1.09331293,1.52457957,0.00000000
-5.92196098,2.34256803,0.15257684,0.00149171,0.61615940,1.09792996,1.53234089,0.00000000
-5.91595798,2.35666295,0.15505083,0.00154761,0.62564066,1.10089950,1.53458613,0.00000000
-5.90995498,2.36883633,0.15998318,0.00160473,0.63507118,1.10266847,1.53166452,0.00000000
-5.90395198,2.38040048,0.16760656,0.00166453,0.64487306,1.10380106,1.52410124,0.00000000
-5.89794897,2.39290711,0.17815497,0.00172875,0.65553581,1.10497047,1.51258988,0.00000000
-5.89194597,2.40811294,0.19185880,0.00179931,0.66760460,1.10694503,1.49797796,0.00000000
-5.88594297,2.42793277,0.20893818,0.00187827,0.68166475,1.11056879,1.48124565,0.00000000
-5.87993997,2.45438132,0.22959501,0.00196780,0.69832271,1.11673713,1.46347848,0.00000000
-5.87393697,2.48950533,0.25400351,0.00207004,0.71818432,1.12636805,1.44583485,0.00000000
