energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,3.98301602,0.03493825,0.17788857,0.10956895,0.74258728,2.36857840,0.05624545,1.63192902
-5.99399700,3.85320026,0.03413387,0.17361456,0.10548865,0.72161832,2.28150109,0.05484839,1.58401500
-5.98799400,3.70732589,0.03314249,0.16850466,0.10100667,0.69742860,2.18591774,0.05316982,1.52884204
-5.98199100,3.54728558,0.03198197,0.16262149,0.09617848,0.67031606,2.08302291,0.05123495,1.46717954
-5.97598799,3.37521861,0.03067337,0.15604349,0.09106634,0.64063915,1.97412988,0.04907332,1.39991074
-5.96998499,3.19344437,0.02924028,0.14886233,0.08573715,0.60880462,1.86063042,0.04671787,1.32800483
-5.96398199,3.00439432,0.02770825,0.14118005,0.08026040,0.57525460,1.74395491,0.04420401,1.25248797
-5.95797899,2.81054493,0.02610405,0.13310595,0.07470609,0.54045343,1.62553389,0.04156862,1.17441449
-5.95197599,2.61435396,0.02445509,0.12475349,0.06914297,0.50487471,1.50676257,0.03884908,1.09483915
-5.94597299,2.41820195,0.02278871,0.11623721,0.06363689,0.46898903,1.38896924,0.03608230,1.01479140
-5.93996998,2.22434063,0.02113168,0.10766981,0.05824935,0.43325274,1.27338832,0.03330384,0.93525245
-5.93396698,2.03484944,0.01950960,0.09915952,0.05303643,0.39809800,1.16113862,0.03054715,0.85713551
-5.92796398,1.85160079,0.01794650,0.09080770,0.04804787,0.36392441,1.05320697,0.02784290,0.78126985
-5.92196098,1.67623446,0.01646446,0.08270695,0.04332648,0.33109227,0.95043733,0.02521844,0.70838860
-5.91595798,1.51014100,0.01508332,0.07493952,0.03890784,0.29991759,0.85352493,0.02269739,0.63912047
-5.90995498,1.35445368,0.01382048,0.06757625,0.03482014,0.27066876,0.76301526,0.02029945,0.57398521
-5.90395198,1.21004816,0.01269072,0.06067585,0.03108432,0.24356480,0.67930720,0.01804025,0.51339244
-5.89794897,1.07754901,0.01170619,0.05428465,0.02771436,0.21877506,0.60265965,0.01593139,0.45764358
-5.89194597,0.95734186,0.01087633,0.04843665,0.02471769,0.19642014,0.53320093,0.01398059,0.40693630
-5.88594297,0.84958993,0.01020789,0.04315394,0.02209568,0.17657384,0.47094034,0.01219194,0.36137102
-5.87993997,0.75425375,0.00970502,0.03844736,0.01984427,0.15926590,0.41578094,0.01056618,0.32095901
-5.87393697,0.67111299,0.00936923,0.03431734,0.01795454,0.14448523,0.36753313,0.00910116,0.28563141
-5.86793397,0.59978909,0.00919954,0.03075491,0.01641333,0.13218363,0.32592833,0.00779218,0.25524885
-5.86193097,0.53976807,0.00919249,0.02774278,0.01520384,0.12227949,0.29063231,0.00663248,0.22961125
-5.85592796,0.49042263,0.00934225,0.02525645,0.01430614,0.11466167,0.26125784,0.00561367,0.20846737
-5.84992496,0.45103297,0.00964065,0.02326532,0.01369771,0.10919325,0.23737635,0.00472614,0.19152397
-5.84392196,0.42080615,0.01007727,0.02173379,0.01335387,0.10571505,0.21852850,0.00395950,0.17845430
-5.83791896,0.39889374,0.01063955,0.02062228,0.01324817,0.10404913,0.20423362,0.00330287,0.16890597
-5.83191596,0.38440770,0.01131288,0.01988817,0.01335277,0.10400201,0.19399800,0.00274527,0.16250806
-5.82591296,0.37643472,0.01208074,0.01948669,0.01363879,0.10536781,0.18732212,0.00227586,0.15887752
-5.81990995,0.37404924,0.01292493,0.01937173,0.01407660,0.10793133,0.18370708,0.00188414,0.15762505
-5.81390695,0.37632532,0.01382575,0.01949660,0.01463614,0.11147106,0.18266026,0.00156015,0.15836036
-5.80790395,0.38234768,0.01476232,0.01981471,0.01528727,0.11576231,0.18370034,0.00129459,0.16069714
-5.80190095,0.39122217,0.01571294,0.02028024,0.01600009,0.12058032,0.18636208,0.00107890,0.16425764
-5.79589795,0.40208589,0.01665544,0.02084872,0.01674533,0.12570354,0.19020061,0.00090530,0.16867716
