energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-5.66383192,16.17255308,1.68080157,11.66538876,0.01846624,1.80044065,0.19916556,1.49040098
-5.65782891,16.44758625,1.68397699,11.91234550,0.01891110,1.82563630,0.20029702,1.50606821
-5.65182591,16.71381427,1.68730223,12.15190611,0.01932039,1.84905878,0.20083277,1.52201120
-5.64582291,16.96748238,1.69049885,12.38125650,0.01968512,1.87022054,0.20073364,1.53794003
-5.63981991,17.20498050,1.69332513,12.59767700,0.01999720,1.88865634,0.19996977,1.55356350
-5.63381691,17.42295793,1.69559465,12.79862328,0.02024961,1.90393723,0.19852223,1.56859930
-5.62781391,17.61843478,1.69719307,12.98180609,0.02043656,1.91568375,0.19638438,1.58278454
-5.62181091,17.78890596,1.69809208,13.14526702,0.02055364,1.92357815,0.19356280,1.59588584
-5.61580790,17.93243330,1.69835948,13.28744712,0.02059795,1.92737498,0.19007778,1.60770868
-5.60980490,18.04772157,1.69816488,13.40724526,0.02056814,1.92690996,0.18596334,1.61810532
-5.60380190,18.13417437,1.69778009,13.50406342,0.02046447,1.92210648,0.18126670,1.62698086
-5.59779890,18.19192655,1.69757410,13.57783596,0.02028875,1.91297963,0.17604733,1.63429704
-5.59179590,18.22185041,1.69800243,13.62904088,0.02004435,1.89963742,0.17037548,1.64007345
-5.58579290,18.22553389,1.69959106,13.65869116,0.01973603,1.88227900,0.16433038,1.64438611
-5.57978989,18.20523017,1.70291542,13.66830546,0.01936986,1.86118987,0.15799807,1.64736318
-5.57378689,18.16377914,1.70857516,13.65985798,0.01895297,1.83673404,0.15146901,1.64917813
-5.56778389,18.10450272,1.71716586,13.63570850,0.01849338,1.80934336,0.14483564,1.65004056
-5.56178089,18.03107735,1.72924870,13.59851453,0.01799978,1.77950420,0.13818982,1.65018499
-5.55577789,17.94738800,1.74531964,13.55112847,0.01748123,1.74774202,0.13162035,1.64985834
-5.54977489,17.85736958,1.76577960,13.49648375,0.01694695,1.71460419,0.12521079,1.64930649
