energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-5.93996998,3.66739163,-1.77429760,4.80321938,-2.22109798,1.03662574,-0.47204601,0.29132009,-0.19534068,0.30288839,-0.06831394,0.00577248,-0.00353508,1.48187049,-0.74775475,0.63133383,-0.34436638,0.00000000,-0.00000000
-5.93396698,3.68263652,-1.87735617,4.83695326,-2.35095477,1.03236087,-0.49329001,0.28947339,-0.21770800,0.30886951,-0.07472060,0.00594473,-0.00370179,1.48575873,-0.78083211,0.63534248,-0.37779598,0.00000000,-0.00000000
-5.92796398,3.69229867,-1.98501657,4.85136433,-2.48637470,1.02526419,-0.51495425,0.28904779,-0.24168699,0.31684456,-0.08176591,0.00617052,-0.00386343,1.48316083,-0.81456013,0.64213818,-0.41396880,0.00000000,-0.00000000
-5.92196098,3.69571624,-2.09760951,4.84569445,-2.62772735,1.01530576,-0.53719682,0.28991843,-0.26718583,0.32667158,-0.08946139,0.00644660,-0.00401548,1.47398160,-0.84919801,0.65143953,-0.45284391,0.00000000,-0.00000000
-5.91595798,3.69232646,-2.21544230,4.81956015,-2.77532040,1.00251138,-0.56019790,0.29193964,-0.29407891,0.33815963,-0.09780725,0.00676827,-0.00415368,1.45825205,-0.88503428,0.66290780,-0.49432511,0.00000000,-0.00000000
-5.90995498,3.68167459,-2.33876618,4.77296599,-2.92936087,0.98696139,-0.58415055,0.29494688,-0.32220474,0.35107086,-0.10679030,0.00712950,-0.00427423,1.43613046,-0.92237279,0.67615125,-0.53825342,0.00000000,-0.00000000
-5.90395198,3.66342041,-2.46774181,4.70630682,-3.08991572,0.96878821,-0.60924989,0.29875909,-0.35136458,0.36512418,-0.11638216,0.00752295,-0.00437382,1.40789979,-0.96151623,0.69073098,-0.58440118,0.00000000,-0.00000000
-5.89794897,3.63734230,-2.60240437,4.62035854,-3.25687333,0.94817270,-0.63568086,0.30318166,-0.38132241,0.38000049,-0.12653790,0.00794017,-0.00444972,1.37396165,-1.00274778,0.70616876,-0.63246819,0.00000000,-0.00000000
-5.89194597,3.60333901,-2.74262968,4.51625772,-3.42990762,0.92533949,-0.66360512,0.30800982,-0.41180610,0.39534948,-0.13719522,0.00837174,-0.00449992,1.33482661,-1.04631139,0.72195654,-0.68208036,0.00000000,-0.00000000
-5.88594297,3.56142915,-2.88810313,4.39547038,-3.60844681,0.90055134,-0.69314748,0.31303269,-0.44251001,0.41079771,-0.14827425,0.00880756,-0.00452309,1.29110140,-1.09239152,0.73756757,-0.73279115,0.00000000,-0.00000000
-5.87993997,3.51174871,-3.03829313,4.25975142,-3.79164864,0.87410276,-0.72438257,0.31803765,-0.47309913,0.42595793,-0.15967817,0.00923703,-0.00451867,1.24347310,-1.14109311,0.75246891,-0.78408615,0.00000000,-0.00000000
-5.87393697,3.45454646,-3.19243067,4.11109568,-3.97838365,0.84631295,-0.75732221,0.32281514,-0.50321467,0.44043930,-0.17129444,0.00964937,-0.00448688,1.19269106,-1.19242282,0.76613493,-0.83539072,0.00000000,-0.00000000
-5.86793397,3.39017772,-3.34949679,3.95168281,-4.16722832,0.81751827,-0.79190438,0.32716368,-0.53248108,0.45385810,-0.18299701,0.01003396,-0.00442866,1.13954694,-1.24627242,0.77806138,-0.88608092,0.00000000,-0.00000000
-5.86193097,3.31909636,-3.50821917,3.78381760,-4.35646905,0.78806445,-0.82798431,0.33089492,-0.56051437,0.46584867,-0.19464908,0.01038056,-0.00434567,1.08485363,-1.30240549,0.78777957,-0.93549728,0.00000000,-0.00000000
-5.85592796,3.24184525,-3.66707902,3.60986814,-4.54411800,0.75829862,-0.86532839,0.33383858,-0.58693147,0.47607404,-0.20610674,0.01067970,-0.00424021,1.02942387,-1.36044819,0.79486995,-0.98296117,0.00000000,-0.00000000
-5.84992496,3.15904534,-3.82432884,3.43220392,-4.72794102,0.72856148,-0.90361148,0.33584705,-0.61136032,0.48423593,-0.21722300,0.01092291,-0.00411516,0.97404908,-1.41988512,0.79897479,-1.02779326,0.00000000,-0.00000000
-5.84392196,3.07138350,-3.97802140,3.25313600,-4.90549779,0.69917970,-0.94241793,0.33679948,-0.63345046,0.49008364,-0.22785239,0.01110300,-0.00397389,0.91947932,-1.48006073,0.79980913,-1.06933330,0.00000000,-0.00000000
-5.83791896,2.97959925,-4.12604936,3.07486124,-5.07419312,0.67045881,-0.98124675,0.33660513,-0.65288346,0.49342148,-0.23785567,0.01121427,-0.00382014,0.86640503,-1.54018686,0.79716965,-1.10696053,0.00000000,-0.00000000
-5.83191596,2.88447050,-4.26619491,2.89941239,-5.23133856,0.64267668,-1.01952083,0.33520591,-0.66938298,0.49411440,-0.24710465,0.01125268,-0.00365795,0.81544100,-1.59935663,0.79094107,-1.14011383,0.00000000,-0.00000000
-5.82591296,2.78679877,-4.39618779,2.72861536,-5.37422218,0.61607786,-1.05660020,0.33257785,-0.68272392,0.49209165,-0.25548671,0.01121596,-0.00349149,0.76711327,-1.65656429,0.78109960,-1.16831060,0.00000000,-0.00000000
-5.81990995,2.68739388,-4.51376976,2.56405503,-5.50018451,0.59086882,-1.09179901,0.32873155,-0.69274015,0.48734819,-0.26290895,0.01110366,-0.00332502,0.72184919,-1.71073090,0.76771343,-1.19116365,0.00000000,-0.00000000
-5.81390695,2.58705865,-4.61676319,2.40705016,-5.60669771,0.56721434,-1.12440553,0.32371147,-0.69933051,0.47994393,-0.26930169,0.01091712,-0.00316271,0.67997096,-1.76073486,0.75094011,-1.20839508,0.00000000,-0.00000000
-5.80790395,2.48657388,-4.70314101,2.25863778,-5.69144523,0.54523506,-1.15370463,0.31759413,-0.70246275,0.47000079,-0.27462097,0.01065941,-0.00300860,0.64169269,-1.80544635,0.73102100,-1.21984655,0.00000000,-0.00000000
-5.80190095,2.38668411,-4.77109491,2.11956728,-5.75239847,0.52500624,-1.17900165,0.31048535,-0.70217508,0.45769772,-0.27885024,0.01033521,-0.00286646,0.60712102,-1.84376424,0.70827289,-1.22548530,0.00000000,-0.00000000
-5.79589795,2.28808448,-4.81909907,1.99030364,-5.78788758,0.50655791,-1.19964678,0.30251648,-0.69857527,0.44326394,-0.28200076,0.00995056,-0.00273973,0.57625908,-1.87465410,0.68307737,-1.22540559,0.00000000,-0.00000000
-5.78989495,2.19140933,-4.84596622,1.87103934,-5.79666313,0.48987626,-1.21505881,0.29383991,-0.69183726,0.42697082,-0.28411083,0.00951272,-0.00263144,0.54901356,-1.89718558,0.65586820,-1.21982532,0.00000000,-0.00000000
-5.78389195,2.09722278,-4.85089358,1.76171397,-5.77794590,0.47490623,-1.22474718,0.28462401,-0.68219531,0.40912255,-0.28524395,0.00902982,-0.00254414,0.52520450,-1.91056752,0.62711743,-1.20907804,0.00000000,-0.00000000
-5.77788894,2.00601177,-4.83349642,1.66204057,-5.73146261,0.46155539,-1.22833124,0.27504772,-0.66993608,0.39004630,-0.28548570,0.00851064,-0.00247989,0.50457732,-1.91417916,0.59732071,-1.19360057,0.00000000,-0.00000000
-5.77188594,1.91818180,-4.79382752,1.57153722,-5.65746577,0.44969870,-1.22555597,0.26529490,-0.65538871,0.37008207,-0.28493975,0.00796431,-0.00244013,0.48681658,-1.90759602,0.56698252,-1.17391681,0.00000000,-0.00000000
-5.76588294,1.83405557,-4.73238166,1.48956284,-5.55673657,0.43918429,-1.21630323,0.25554887,-0.63891365,0.34957279,-0.28372307,0.00739999,-0.00242575,0.47156097,-1.89060909,0.53660185,-1.15061849,0.00000000,-0.00000000
-5.75987994,1.75387465,-4.65008476,1.41535549,-5.43057061,0.42983981,-1.20059812,0.24598709,-0.62089044,0.32885500,-0.28196054,0.00682667,-0.00243702,0.45841885,-1.86323660,0.50665885,-1.12434377,0.00000000,-0.00000000
-5.75387694,1.67780393,-4.54826826,1.34807188,-5.28074685,0.42147931,-1.17861010,0.23677640,-0.60170520,0.30825042,-0.27977930,0.00625287,-0.00247358,0.44698393,-1.82572758,0.47760311,-1.09575472,0.00000000,-0.00000000
-5.74787394,1.60593883,-4.42862985,1.28682673,-5.10948110,0.41391030,-1.15064898,0.22806882,-0.58173834,0.28805877,-0.27730313,0.00568646,-0.00253448,0.43685039,-1.77855717,0.44984360,-1.06551468,0.00000000,-0.00000000
-5.74187094,1.53831473,-4.29318249,1.23073053,-4.91936589,0.40694079,-1.11715573,0.21999811,-0.56135293,0.26855193,-0.27464710,0.00513451,-0.00261818,0.42762703,-1.72241384,0.42374094,-1.03426670,0.00000000,-0.00000000
-5.73586793,1.47491836,-4.14419414,1.17892469,-4.71329929,0.40038608,-1.07868895,0.21267719,-0.54088446,0.24996960,-0.27191289,0.00460316,-0.00272256,0.41895001,-1.65817916,0.39960188,-1.00261390,0.00000000,-0.00000000
-5.72986493,1.41570035,-3.98412090,1.13061284,-4.49440559,0.39407498,-1.03590731,0.20619646,-0.52063221,0.23251659,-0.26918484,0.00409750,-0.00284502,0.41049384,-1.58690098,0.37767616,-0.97110275,0.00000000,-0.00000000
