energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up
-6.00000000,5.91239226,1.05978497,4.06569820,0.02715389,0.05858495,0.07991787,1.33060693,0.00000000
-5.99399700,6.07315233,1.08699061,4.20009099,0.02915239,0.06107681,0.08925302,1.34708620,0.00000000
-5.98799400,6.25718632,1.11825314,4.35121773,0.03135299,0.06382188,0.09995639,1.36808210,0.00000000
-5.98199100,6.46446892,1.15363942,4.51894818,0.03374438,0.06682961,0.11205769,1.39367923,0.00000000
-5.97598799,6.69437826,1.19310305,4.70273788,0.03630956,0.07010261,0.12557003,1.42383475,0.00000000
-5.96998499,6.94568377,1.23647765,4.90162073,0.03902574,0.07363584,0.14048739,1.45837541,0.00000000
-5.96398199,7.21655482,1.28347392,5.11421700,0.04186445,0.07741621,0.15678212,1.49699826,0.00000000
-5.95797899,7.50459122,1.33368075,5.33875779,0.04479185,0.08142234,0.17440287,1.53927521,0.00000000
-5.95197599,7.80687613,1.38657079,5.57312603,0.04776920,0.08562467,0.19327285,1.58466174,0.00000000
-5.94597299,8.12005036,1.44151065,5.81491315,0.05075361,0.08998590,0.21328880,1.63250941,0.00000000
-5.93996998,8.44040644,1.49777565,6.06149007,0.05369885,0.09446185,0.23432055,1.68208221,0.00000000
-5.93396698,8.76399940,1.55456883,6.31008974,0.05655648,0.09900250,0.25621148,1.73257637,0.00000000
-5.92796398,9.08677030,1.61104381,6.55789833,0.05927700,0.10355352,0.27877989,1.78314289,0.00000000
-5.92196098,9.40467764,1.66633064,6.80215079,0.06181115,0.10805786,0.30182117,1.83291234,0.00000000
-5.91595798,9.71383097,1.71956373,7.04022666,0.06411129,0.11245773,0.32511099,1.88102083,0.00000000
-5.90995498,10.01062079,1.76991088,7.26974137,0.06613274,0.11669655,0.34840934,1.92663644,0.00000000
-5.90395198,10.29183864,1.81660194,7.48862841,0.06783509,0.12072099,0.37146520,1.96898490,0.00000000
-5.89794897,10.55478142,1.85895613,7.69520811,0.06918342,0.12448301,0.39402190,2.00737354,0.00000000
-5.89194597,10.79733489,1.89640646,7.88823915,0.07014936,0.12794165,0.41582285,2.04121258,0.00000000
