energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,1.85991690,0.00925246,0.13029565,0.20004224,0.48515967,0.83339754,0.03372054,0.69848059
-5.99399700,1.86202021,0.00948720,0.13075709,0.19797577,0.49606263,0.82669443,0.03290600,0.70636380
-5.98799400,1.86108001,0.00971296,0.13117058,0.19634320,0.50728565,0.81742733,0.03191700,0.71401989
-5.98199100,1.85696533,0.00992382,0.13153080,0.19510536,0.51876971,0.80568545,0.03077346,0.72124752
-5.97598799,1.84958598,0.01011394,0.13183095,0.19421358,0.53045206,0.79159339,0.02949791,0.72784958
-5.96998499,1.83890455,0.01027789,0.13206310,0.19361275,0.54226967,0.77530995,0.02811487,0.73364461
-5.96398199,1.82494722,0.01041088,0.13221852,0.19324432,0.55416272,0.75702626,0.02665014,0.73847807
-5.95797899,1.80781316,0.01050900,0.13228807,0.19304922,0.56607801,0.73696326,0.02513010,0.74223268
-5.95197599,1.78768188,0.01056945,0.13226260,0.19297055,0.57797217,0.71536866,0.02358104,0.74483765
-5.94597299,1.76481840,0.01059073,0.13213334,0.19295595,0.58981461,0.69251342,0.02202858,0.74627621
-5.93996998,1.73957565,0.01057272,0.13189230,0.19295966,0.60158995,0.66868798,0.02049709,0.74659110
-5.93396698,1.71239409,0.01051683,0.13153272,0.19294412,0.61329993,0.64419814,0.01900926,0.74588777
-5.92796398,1.68379808,0.01042596,0.13104942,0.19288110,0.62496457,0.61936072,0.01758569,0.74433500
-5.92196098,1.65438911,0.01030449,0.13043923,0.19275248,0.63662255,0.59449902,0.01624470,0.74216285
-5.91595798,1.62483568,0.01015818,0.12970128,0.19255039,0.64833062,0.56993814,0.01500205,0.73965787
-5.90995498,1.59586000,0.00999398,0.12883730,0.19227704,0.66016202,0.54600008,0.01387099,0.73715577
-5.90395198,1.56822181,0.00981985,0.12785183,0.19194403,0.67220385,0.52299874,0.01286213,0.73503154
-5.89794897,1.54269945,0.00964451,0.12675229,0.19157138,0.68455337,0.50123484,0.01198357,0.73368751
-5.89194597,1.52006888,0.00947716,0.12554902,0.19118608,0.69731336,0.48099073,0.01124101,0.73353963
-5.88594297,1.50108115,0.00932716,0.12425511,0.19082061,0.71058651,0.46252525,0.01063786,0.73500248
-5.87993997,1.48643901,0.00920376,0.12288621,0.19051109,0.72446918,0.44606870,0.01017544,0.73847359
-5.87393697,1.47677355,0.00911579,0.12146014,0.19029549,0.73904464,0.43181804,0.00985316,0.74431748
-5.86793397,1.47262165,0.00907137,0.11999645,0.19021183,0.75437617,0.41993242,0.00966868,0.75285039
-5.86193097,1.47440514,0.00907772,0.11851584,0.19029652,0.77050022,0.41052923,0.00961809,0.76432586
-5.85592796,1.48241257,0.00914090,0.11703958,0.19058289,0.78742018,0.40368084,0.00969610,0.77892217
