energy_ev,total_up,Ag_p_up,Ag_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,4.20134158,0.51602757,1.50124270,2.80714941,0.84612496,0.00102016,1.36813990,0.02815797,0.23103006
-5.99399700,4.30497674,0.53924229,1.55705169,2.87296819,0.85460879,0.00113030,1.39005693,0.02861854,0.23799332
-5.98799400,4.40900363,0.56258507,1.61478038,2.93480470,0.86261995,0.00124657,1.41073375,0.02918295,0.24531096
-5.98199100,4.51243848,0.58570768,1.67393737,2.99186859,0.87008059,0.00136809,1.42992332,0.02985536,0.25293187
-5.97598799,4.61432746,0.60826746,1.73407078,3.04336915,0.87690431,0.00149388,1.44737167,0.03063918,0.26080404
-5.96998499,4.71376440,0.62993319,1.79477484,3.08853759,0.88299801,0.00162287,1.46282490,0.03153686,0.26887461
-5.96398199,4.80990755,0.65039120,1.85569400,3.12665114,0.88826449,0.00175390,1.47603701,0.03254960,0.27709006
-5.95797899,4.90199424,0.66935159,1.91652437,3.15705792,0.89260540,0.00188580,1.48677806,0.03367707,0.28539654
-5.95197599,4.98935244,0.68655430,1.97701216,3.17920096,0.89592447,0.00201734,1.49484223,0.03491718,0.29374017
-5.94597299,5.07140827,0.70177457,2.03694913,3.19264017,0.89813073,0.00214731,1.50005523,0.03626587,0.30206740
-5.93996998,5.14768863,0.71482764,2.09616524,3.19707080,0.89914146,0.00227451,1.50228061,0.03771693,0.31032529
-5.93396698,5.21781871,0.72557241,2.15451859,3.19233726,0.89888472,0.00239781,1.50142454,0.03926186,0.31846165
-5.92796398,5.28151431,0.73391378,2.21188344,3.17844133,0.89730124,0.00251611,1.49743878,0.04088975,0.32642510
-5.92196098,5.33856922,0.73980356,2.26813675,3.15554423,0.89434564,0.00262842,1.49032159,0.04258731,0.33416496
-5.91595798,5.38883862,0.74323994,2.32314413,3.12396215,0.88998682,0.00273383,1.48011665,0.04433879,0.34163106
-5.90995498,5.43221938,0.74426543,2.37674610,3.08415558,0.88420767,0.00283152,1.46690989,0.04612618,0.34877338
-5.90395198,5.46862881,0.74296342,2.42874554,3.03671269,0.87700408,0.00292078,1.45082462,0.04792930,0.35554172
-5.89794897,5.49798326,0.73945351,2.47889721,2.98232795,0.86838343,0.00300100,1.43201517,0.04972607,0.36188535
-5.89194597,5.52017827,0.73388584,2.52690023,2.92177670,0.85836278,0.00307166,1.41065955,0.05149285,0.36775278
-5.88594297,5.53507178,0.72643464,2.57239403,2.85588752,0.84696684,0.00313231,1.38695153,0.05320482,0.37309161
-5.87993997,5.54247179,0.71729146,2.61495834,2.78551332,0.83422604,0.00318259,1.36109270,0.05483647,0.37784874
-5.87393697,5.54212945,0.70665817,2.65411738,2.71150317,0.82017484,0.00322221,1.33328500,0.05636210,0.38197067
-5.86793397,5.53373840,0.69474034,2.68934815,2.63467580,0.80485043,0.00325094,1.30372406,0.05775646,0.38540428
-5.86193097,5.51694050,0.68174092,2.72009269,2.55579642,0.78829197,0.00326857,1.27259387,0.05899533,0.38809777
-5.85592796,5.49133781,0.66785483,2.74577351,2.47555753,0.77054037,0.00327500,1.24006289,0.06005612,0.39000191
-5.84992496,5.45651017,0.65326442,2.76581167,2.39456473,0.75163872,0.00327013,1.20628181,0.06091850,0.39107163
-5.84392196,5.41203734,0.63813596,2.77964641,2.31332771,0.73163322,0.00325396,1.17138298,0.06156498,0.39126758
-5.83791896,5.35752430,0.62261729,2.78675548,2.23225666,0.71057446,0.00322655,1.13548133,0.06198136,0.39055796
-5.83191596,5.29262834,0.60683663,2.78667505,2.15166374,0.68851918,0.00318805,1.09867680,0.06215715,0.38892021
-5.82591296,5.21708604,0.59090237,2.77901813,2.07176924,0.66553192,0.00313870,1.06105768,0.06208589,0.38634258
-5.81990995,5.13073878,0.57490387,2.76349081,1.99271153,0.64168676,0.00307888,1.02270482,0.06176534,0.38282558
-5.81390695,5.03355507,0.55891311,2.73990538,1.91456015,0.61706878,0.00300910,0.98369621,0.06119749,0.37838305
-5.80790395,4.92564869,0.54298692,2.70818987,1.83733082,0.59177511,0.00293002,0.94411156,0.06038853,0.37304287
-5.80190095,4.80729151,0.52716970,2.66839375,1.76100149,0.56591544,0.00284249,0.90403659,0.05934865,0.36684730
-5.79589795,4.67892053,0.51149647,2.62068956,1.68552853,0.53961201,0.00274751,0.86356678,0.05809171,0.35985291
-5.78989495,4.54113891,0.49599598,2.56537064,1.61086202,0.51299890,0.00264629,0.82281019,0.05663489,0.35213004
-5.78389195,4.39471105,0.48069374,2.50284539,1.53695957,0.48622069,0.00254023,0.78188938,0.05499814,0.34376197
-5.77788894,4.24055220,0.46561503,2.43362829,1.46379800,0.45943058,0.00243089,0.74094223,0.05320374,0.33484366
-5.77188594,4.07971339,0.45078741,2.35832842,1.39138250,0.43278798,0.00232002,0.70012171,0.05127568,0.32548032
-5.76588294,3.91336232,0.43624300,2.27763604,1.31975308,0.40645578,0.00220951,0.65959454,0.04923914,0.31578570
-5.75987994,3.74276141,0.42202022,2.19230794,1.24898823,0.38059734,0.00210140,0.61953905,0.04711990,0.30588031
-5.75387694,3.56924382,0.40816513,2.10315199,1.17920585,0.35537336,0.00199784,0.58014215,0.04494390,0.29588948
-5.74787394,3.39418847,0.39473213,2.01101169,1.11056180,0.33093879,0.00190104,0.54159576,0.04273665,0.28594152
