energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,3.81830482,0.03027925,0.16105495,0.11384803,1.74667617,1.21051661,0.02498040,2.35536014
-5.99399700,3.87973941,0.03018239,0.16211385,0.11528383,1.78447872,1.22140075,0.02549312,2.40081865
-5.98799400,3.93822299,0.03010666,0.16332982,0.11652469,1.82045337,1.23169177,0.02603279,2.44452258
-5.98199100,3.99507763,0.03005686,0.16479314,0.11761764,1.85499491,1.24199566,0.02660131,2.48718883
-5.97598799,4.05185277,0.03003893,0.16660672,0.11861695,1.88858387,1.25300688,0.02720238,2.52965793
-5.96998499,4.11026616,0.03005961,0.16888162,0.11958216,1.92176492,1.26548475,0.02784112,2.57286118
-5.96398199,4.17213743,0.03012606,0.17173220,0.12057605,1.95512250,1.28022708,0.02852369,2.61778350
-5.95797899,4.23931673,0.03024545,0.17527095,0.12166231,1.98925454,1.29804206,0.02925684,2.66542354
-5.95197599,4.31361115,0.03042459,0.17960335,0.12290322,2.02474551,1.31971939,0.03004743,2.71675250
-5.94597299,4.39671170,0.03066950,0.18482277,0.12435728,2.06213956,1.34600166,0.03090193,2.77267319
-5.93996998,4.49012333,0.03098515,0.19100575,0.12607692,2.10191500,1.37755695,0.03182596,2.83398096
-5.93396698,4.59510065,0.03137515,0.19820767,0.12810647,2.14446099,1.41495364,0.03282385,2.90132790
-5.92796398,4.71259154,0.03184164,0.20645919,0.13048021,2.19005734,1.45863798,0.03389824,2.97519149
-5.92196098,4.84319056,0.03238511,0.21576338,0.13322087,2.23885820,1.50891544,0.03504975,3.05584895
-5.91595798,4.98710374,0.03300450,0.22609390,0.13633845,2.29088025,1.56593613,0.03627679,3.14335812
-5.90995498,5.14412604,0.03369720,0.23739413,0.13982945,2.34599587,1.62968476,0.03757539,3.23754544
-5.90395198,5.31363197,0.03445929,0.24957744,0.14367652,2.40393152,1.69997549,0.03893920,3.33800165
-5.89794897,5.49458009,0.03528570,0.26252855,0.14784865,2.46427156,1.77645174,0.04035953,3.44408516
-5.89194597,5.68553096,0.03617053,0.27610603,0.15230173,2.52646734,1.85859089,0.04182558,3.55493316
-5.88594297,5.88467829,0.03710736,0.29014578,0.15697963,2.58985144,1.94571398,0.04332466,3.66948026
-5.87993997,6.08989236,0.03808955,0.30446551,0.16181566,2.65365651,2.03699991,0.04484260,3.78648391
-5.87393697,6.29877442,0.03911060,0.31886994,0.16673441,2.71703830,2.13150394,0.04636416,3.90455616
-5.86793397,6.50872060,0.04016445,0.33315666,0.17165393,2.77910209,2.22818000,0.04787350,4.02220069
-5.86193097,6.71699326,0.04124573,0.34712236,0.17648811,2.83893160,2.32590621,0.04935470,4.13785405
-5.85592796,6.92079783,0.04234998,0.36056923,0.18114931,2.89561958,2.42351291,0.05079231,4.24992993
-5.84992496,7.11736244,0.04347386,0.37331125,0.18555099,2.94829884,2.51981246,0.05217177,4.35686494
-5.84392196,7.30401795,0.04461518,0.38518027,0.18961041,2.99617270,2.61362997,0.05347997,4.45716456
-5.83791896,7.47827566,0.04577295,0.39603136,0.19325120,3.03854370,2.70383387,0.05470559,4.54944761
-5.83191596,7.63789982,0.04694734,0.40574754,0.19640577,3.07483940,2.78936553,0.05583945,4.63248775
-5.82591296,7.78097251,0.04813952,0.41424345,0.19901748,3.10463425,2.86926683,0.05687474,4.70525035
-5.81990995,7.90594830,0.04935148,0.42146797,0.20104237,3.12766652,2.94270463,0.05780718,4.76692347
-5.81390695,8.01169658,0.05058577,0.42740554,0.20245064,3.14384956,3.00899142,0.05863504,4.81694157
-5.80790395,8.09752984,0.05184518,0.43207632,0.20322752,3.15327669,3.06760113,0.05935905,4.85500105
-5.80190095,8.16321662,0.05313239,0.43553495,0.20337377,3.15621946,3.11817962,0.05998225,4.88106672
-5.79589795,8.20897846,0.05444957,0.43786821,0.20290556,3.15311917,3.16054933,0.06050969,4.89536899
-5.78989495,8.23547093,0.05579800,0.43919141,0.20185390,3.14457179,3.19470774,0.06094813,4.89839169
-5.78389195,8.24374925,0.05717766,0.43964395,0.20026356,3.13130687,3.22081989,0.06130557,4.89085085
-5.77788894,8.23521999,0.05858686,0.43938395,0.19819153,3.11416104,3.23920507,0.06159083,4.87366536
-5.77188594,8.21158063,0.06002194,0.43858235,0.19570505,3.09404730,3.25031824,0.06181308,4.84792049
-5.76588294,8.17474957,0.06147694,0.43741667,0.19287938,3.07192123,3.25472697,0.06198136,4.81482585
-5.75987994,8.12678940,0.06294344,0.43606459,0.18979523,3.04874539,3.25308491,0.06210413,4.77566946
-5.75387694,8.06982672,0.06441043,0.43469770,0.18653615,3.02545358,3.24610287,0.06218886,4.73176988
-5.74787394,8.00597180,0.06586432,0.43347558,0.18318581,3.00291619,3.23451879,0.06224170,4.68442821
-5.74187094,7.93724139,0.06728899,0.43254045,0.17982530,2.98190836,3.21906787,0.06226723,4.63488226
-5.73586793,7.86548789,0.06866602,0.43201251,0.17653069,2.96308189,3.20045413,0.06226828,4.58426437
-5.72986493,7.79233766,0.06997499,0.43198626,0.17337077,2.94694242,3.17932459,0.06224584,4.53356487
-5.72386193,7.71914087,0.07119390,0.43252773,0.17040507,2.93383248,3.15624718,0.06219912,4.48360244
-5.71785893,7.64693464,0.07229968,0.43367282,0.16768242,2.92392117,3.13169304,0.06212566,4.43500250
-5.71185593,7.57642086,0.07326874,0.43542674,0.16523975,2.91720090,3.10602418,0.06202153,4.38818430
-5.70585293,7.50795906,0.07407765,0.43776454,0.16310154,2.91349101,3.07948656,0.06188163,4.34335710
-5.69984992,7.44157422,0.07470379,0.44063270,0.16127960,2.91244826,3.05220892,0.06170008,4.30052531
