energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,0.89892667,0.03001783,0.04475337,0.42534180,0.12849625,0.44207159,0.00000000,0.18084612,0.21146177
-5.99399700,0.84528173,0.02875868,0.04083646,0.39593524,0.11935263,0.41816869,0.00000000,0.17190027,0.20147530
-5.98799400,0.79022490,0.02739331,0.03702254,0.36654784,0.11020900,0.39325419,0.00000000,0.16247155,0.19079963
-5.98199100,0.73440578,0.02593659,0.03334851,0.33746203,0.10116239,0.36763316,0.00000000,0.15266983,0.17957786
-5.97598799,0.67846174,0.02440587,0.02984535,0.30894189,0.09230265,0.34161477,0.00000000,0.14261077,0.16796043
-5.96998499,0.62300265,0.02282033,0.02653799,0.28122845,0.08371077,0.31550407,0.00000000,0.13241252,0.15610060
-5.96398199,0.56859749,0.02120017,0.02344537,0.25453585,0.07545754,0.28959436,0.00000000,0.12219248,0.14415010
-5.95797899,0.51576303,0.01956587,0.02058062,0.22904857,0.06760268,0.26416037,0.00000000,0.11206423,0.13225505
-5.95197599,0.46495500,0.01793754,0.01795152,0.20491975,0.06019430,0.23945246,0.00000000,0.10213486,0.12055236
-5.94597299,0.41656205,0.01633424,0.01556099,0.18227063,0.05326889,0.21569224,0.00000000,0.09250263,0.10916668
-5.93996998,0.37090232,0.01477347,0.01340776,0.16119104,0.04685162,0.19306937,0.00000000,0.08325520,0.09820806
-5.93396698,0.32822293,0.01327076,0.01148705,0.14174087,0.04095697,0.17173990,0.00000000,0.07446846,0.08777033
-5.92796398,0.28870185,0.01183937,0.00979138,0.12395252,0.03558971,0.15182596,0.00000000,0.06620585,0.07793020
-5.92196098,0.25245219,0.01049008,0.00831137,0.10783408,0.03074608,0.13341671,0.00000000,0.05851843,0.06874707
-5.91595798,0.21952852,0.00923117,0.00703646,0.09337317,0.02641510,0.11657059,0.00000000,0.05144536,0.06026350
-5.90995498,0.18993478,0.00806842,0.00595580,0.08054134,0.02258009,0.10131844,0.00000000,0.04501505,0.05250630
-5.90395198,0.16363351,0.00700527,0.00505892,0.06929879,0.01922016,0.08766765,0.00000000,0.03924670,0.04548807
-5.89794897,0.14055597,0.00604298,0.00433649,0.05959934,0.01631177,0.07560678,0.00000000,0.03415223,0.03920916
-5.89194597,0.12061276,0.00518098,0.00378096,0.05139548,0.01383024,0.06511071,0.00000000,0.02973854,0.03365991
-5.88594297,0.10370461,0.00441709,0.00338722,0.04464343,0.01175119,0.05614599,0.00000000,0.02600999,0.02882303
-5.87993997,0.08973301,0.00374789,0.00315315,0.03930799,0.01005191,0.04867629,0.00000000,0.02297098,0.02467612
-5.87393697,0.07861038,0.00316906,0.00308011,0.03536717,0.00871261,0.04266762,0.00000000,0.02062860,0.02119406
-5.86793397,0.07026957,0.00267572,0.00317343,0.03281644,0.00771752,0.03809337,0.00000000,0.01899521,0.01835143
-5.86193097,0.06467239,0.00226270,0.00344275,0.03167249,0.00705591,0.03493884,0.00000000,0.01809089,0.01612459
-5.85592796,0.06181698,0.00192485,0.00390234,0.03197644,0.00672289,0.03320522,0.00000000,0.01794566,0.01449368
-5.84992496,0.06174391,0.00165731,0.00457127,0.03379629,0.00672013,0.03291291,0.00000000,0.01860139,0.01344425
