energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.83835323,-0.07768022,0.37208564,-0.00883624,0.18703356,-0.00976084,0.00405026,-0.00000014,0.24718546,-0.02227082,0.02607190,-0.00119141,0.10062629,-0.01597618
-5.99399700,0.79925621,-0.06655844,0.35729740,-0.00759103,0.17927556,-0.00836543,0.00412795,-0.00000020,0.23621806,-0.01909246,0.02536989,-0.00102230,0.09533592,-0.01367800
-5.98799400,0.76849151,-0.05666466,0.34657781,-0.00648410,0.17332625,-0.00712363,0.00425129,-0.00000029,0.22779738,-0.01626373,0.02492176,-0.00087170,0.09096439,-0.01163529
-5.98199100,0.74603997,-0.04794253,0.33987388,-0.00551089,0.16918524,-0.00602851,0.00441898,-0.00000042,0.22190876,-0.01376923,0.02472745,-0.00073886,0.08751692,-0.00983567
-5.97598799,0.73168519,-0.04032513,0.33703643,-0.00466594,0.16680897,-0.00507177,0.00462861,-0.00000061,0.21847743,-0.01159055,0.02478080,-0.00062288,0.08497681,-0.00826464
-5.96998499,0.72502772,-0.03373883,0.33782730,-0.00394345,0.16611344,-0.00424426,0.00487664,-0.00000086,0.21737281,-0.00970737,0.02506989,-0.00052274,0.08330710,-0.00690633
-5.96398199,0.72550245,-0.02810713,0.34192831,-0.00333786,0.16697781,-0.00353647,0.00515850,-0.00000122,0.21841397,-0.00809859,0.02557737,-0.00043741,0.08245237,-0.00574425
-5.95797899,0.73239892,-0.02335417,0.34895153,-0.00284447,0.16924850,-0.00293892,0.00546868,-0.00000172,0.22137585,-0.00674341,0.02628104,-0.00036587,0.08234107,-0.00476204
-5.95197599,0.74488390,-0.01940800,0.35845076,-0.00246002,0.17274401,-0.00244263,0.00580083,-0.00000240,0.22599615,-0.00562224,0.02715436,-0.00030720,0.08288794,-0.00394405
-5.94597299,0.76202572,-0.01620366,0.36993390,-0.00218340,0.17726010,-0.00203949,0.00614791,-0.00000333,0.23198292,-0.00471775,0.02816724,-0.00026061,0.08399665,-0.00327597
-5.93996998,0.78282005,-0.01368599,0.38287608,-0.00201628,0.18257537,-0.00172260,0.00650232,-0.00000458,0.23902245,-0.00401563,0.02928672,-0.00022553,0.08556269,-0.00274531
-5.93396698,0.80621651,-0.01181228,0.39673320,-0.00196387,0.18845715,-0.00148660,0.00685612,-0.00000626,0.24678745,-0.00350552,0.03047783,-0.00020162,0.08747615,-0.00234196
-5.92796398,0.83114558,-0.01055478,0.41095566,-0.00203569,0.19466743,-0.00132804,0.00720120,-0.00000849,0.25494542,-0.00318178,0.03170448,-0.00018885,0.08962470,-0.00205854
-5.92196098,0.85654551,-0.00990307,0.42500211,-0.00224642,0.20096890,-0.00124560,0.00752947,-0.00001145,0.26316688,-0.00304429,0.03293033,-0.00018756,0.09189645,-0.00189089
-5.91595798,0.88138841,-0.00986649,0.43835278,-0.00261682,0.20713090,-0.00124047,0.00783311,-0.00001532,0.27113351,-0.00309928,0.03411969,-0.00019851,0.09418277,-0.00183845
-5.90995498,0.90470519,-0.01047646,0.45052223,-0.00317469,0.21293507,-0.00131661,0.00810472,-0.00002035,0.27854581,-0.00336009,0.03523843,-0.00022294,0.09638090,-0.00190461
