energy_ev,total_up,As_p_up,As_d_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up
-6.00000000,2.74157488,0.33708468,0.00000000,0.83215648,0.45219834,0.12921481,1.32674509
-5.99399700,2.72028460,0.33288865,0.00000000,0.82569012,0.44659962,0.12697790,1.31513125
-5.98799400,2.68802483,0.32699122,0.00000000,0.81590524,0.43895324,0.12413513,1.29814587
-5.98199100,2.64616389,0.31956625,0.00000000,0.80322016,0.42946823,0.12074787,1.27643435
-5.97598799,2.59630693,0.31081949,0.00000000,0.78812513,0.41839506,0.11689056,1.25075995
-5.96998499,2.54024514,0.30098208,0.00000000,0.77116700,0.40601812,0.11264894,1.22198064
-5.96398199,2.47989919,0.29030335,0.00000000,0.75293212,0.39264723,0.10811789,1.19102296
-5.95797899,2.41725898,0.27904327,0.00000000,0.73402810,0.37860830,0.10339910,1.15885377
-5.95197599,2.35432220,0.26746492,0.00000000,0.71506521,0.36423376,0.09859840,1.12645107
-5.94597299,2.29303397,0.25582712,0.00000000,0.69663804,0.34985297,0.09382320,1.09477505
-5.93996998,2.23522997,0.24437771,0.00000000,0.67930820,0.33578302,0.08917975,1.06474030
-5.93396698,2.18258498,0.23334745,0.00000000,0.66358868,0.32232022,0.08477057,1.03719039
-5.92796398,2.13656853,0.22294499,0.00000000,0.64993033,0.30973258,0.08069203,1.01287551
-5.92196098,2.09840922,0.21335281,0.00000000,0.63871092,0.29825354,0.07703215,0.99243394
-5.91595798,2.06906826,0.20472435,0.00000000,0.63022710,0.28807701,0.07386862,0.97637779
-5.90995498,2.04922299,0.19718225,0.00000000,0.62468926,0.27935397,0.07126725,0.96508338
-5.90395198,2.03926013,0.19081768,0.00000000,0.62221944,0.27219049,0.06928060,0.95878618
-5.89794897,2.03927860,0.18569071,0.00000000,0.62285214,0.26664731,0.06794715,0.95758036
-5.89194597,2.04910085,0.18183152,0.00000000,0.62653768,0.26274070,0.06729067,0.96142259
-5.88594297,2.06829201,0.17924239,0.00000000,0.63314794,0.26044467,0.06731999,0.97013956
-5.87993997,2.09618528,0.17790017,0.00000000,0.64248408,0.25969425,0.06802917,0.98343895
-5.87393697,2.13191246,0.17775920,0.00000000,0.65428569,0.26038961,0.06939791,1.00092290
-5.86793397,2.17443803,0.17875442,0.00000000,0.66824108,0.26240096,0.07139229,1.02210374
-5.86193097,2.22259547,0.18080457,0.00000000,0.68399825,0.26557389,0.07396581,1.04642097
-5.85592796,2.27512455,0.18381536,0.00000000,0.70117611,0.26973505,0.07706065,1.07325913
