energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.79169918,0.00700557,0.06560836,0.56668454,0.22016123,0.01637103,1.09516762,0.52837921,0.20075668
-5.99399700,1.79961099,0.00671901,0.06406837,0.56801670,0.22403393,0.01631570,1.10358450,0.53248939,0.20085842
-5.98799400,1.80919546,0.00645824,0.06239014,0.57045023,0.22859038,0.01623637,1.11319169,0.53686030,0.20099025
-5.98199100,1.82100230,0.00622079,0.06059887,0.57421436,0.23387501,0.01613575,1.12431553,0.54162943,0.20122860
-5.97598799,1.83553879,0.00600429,0.05872179,0.57950742,0.23992242,0.01601747,1.13725332,0.54692799,0.20164679
-5.96998499,1.85324176,0.00580641,0.05678722,0.58648717,0.24675338,0.01588585,1.15225601,0.55287365,0.20231172
-5.96398199,1.87445044,0.00562492,0.05482381,0.59526180,0.25437101,0.01574561,1.16951140,0.55956337,0.20328056
-5.95797899,1.89938107,0.00545765,0.05285964,0.60588211,0.26275725,0.01560159,1.18912839,0.56706659,0.20459772
-5.95197599,1.92810457,0.00530256,0.05092142,0.61833517,0.27186985,0.01545841,1.21112313,0.57541888,0.20629201
-5.94597299,1.96052807,0.00515766,0.04903379,0.63253965,0.28164003,0.01532024,1.23540760,0.58461644,0.20837434
-5.93996998,1.99638155,0.00502109,0.04721864,0.64834329,0.29197095,0.01519046,1.26178138,0.59461171,0.21083591
-5.93396698,2.03521044,0.00489111,0.04549449,0.66552257,0.30273723,0.01507148,1.28992731,0.60531039,0.21364709
-5.92796398,2.07637518,0.00476608,0.04387607,0.68378489,0.31378552,0.01496457,1.31941148,0.61657011,0.21675708
-5.92196098,2.11905808,0.00464448,0.04237394,0.70277336,0.32493639,0.01486969,1.34968797,0.62820088,0.22009439
-5.91595798,2.16227803,0.00452490,0.04099432,0.72207410,0.33598732,0.01478548,1.38010853,0.63996766,0.22356820
-5.90995498,2.20491283,0.00440606,0.03973901,0.74122609,0.34671707,0.01470930,1.40993723,0.65159491,0.22707061
-5.90395198,2.24572878,0.00428679,0.03860549,0.75973332,0.35689100,0.01463727,1.43836967,0.66277316,0.23047967
-5.89794897,2.28341663,0.00416606,0.03758715,0.77707872,0.36626754,0.01456451,1.46455624,0.67316743,0.23366320
-5.89194597,2.31663272,0.00404295,0.03667371,0.79273971,0.37460525,0.01448526,1.48762872,0.68242728,0.23648314
-5.88594297,2.34404366,0.00391670,0.03585168,0.80620454,0.38167047,0.01439328,1.50672905,0.69019805,0.23880041
-5.87993997,2.36437282,0.00378670,0.03510501,0.81698892,0.38724506,0.01428201,1.52103923,0.69613290,0.24047993
-5.87393697,2.37644644,0.00365247,0.03441578,0.82465232,0.39113398,0.01414500,1.52981089,0.69990514,0.24139567
-5.86793397,2.37923754,0.00351373,0.03376494,0.82881301,0.39317234,0.01397618,1.53239333,0.70122027,0.24143547
-5.86193097,2.37190535,0.00337037,0.03313309,0.82916155,0.39323156,0.01377016,1.52825874,0.69982723,0.24050545
-5.85592796,2.35382867,0.00322246,0.03250124,0.82547175,0.39122447,0.01352250,1.51702321,0.69552829,0.23853374
-5.84992496,2.32463142,0.00307026,0.03185154,0.81760900,0.38710889,0.01322996,1.49846290,0.68818719,0.23547339
-5.84392196,2.28419939,0.00291421,0.03116796,0.80553529,0.38088971,0.01289066,1.47252433,0.67773502,0.23130442
-5.83791896,2.23268738,0.00275493,0.03043679,0.78931097,0.37261933,0.01250415,1.43932849,0.66417385,0.22603469
-5.83191596,2.17051658,0.00259319,0.02964718,0.76909308,0.36239642,0.01207151,1.39916867,0.64757757,0.21969990
-5.82591296,2.09836246,0.00242990,0.02879143,0.74513047,0.35036303,0.01159529,1.35250215,0.62809038,0.21236241
-5.81990995,2.01713398,0.00226608,0.02786520,0.71775588,0.33670040,0.01107942,1.29993633,0.60592262,0.20410924
-5.81390695,1.92794523,0.00210283,0.02686759,0.68737557,0.32162343,0.01052910,1.24221005,0.58134459,0.19504912
-5.80790395,1.83208102,0.00194130,0.02580107,0.65445691,0.30537436,0.00995059,1.18017102,0.55467826,0.18530903
-5.80190095,1.73095826,0.00178264,0.02467132,0.61951450,0.28821570,0.00935101,1.11475060,0.52628772,0.17503010
-5.79589795,1.62608485,0.00162799,0.02348698,0.58309565,0.27042297,0.00873807,1.04693715,0.49656850,0.16436332
-5.78989495,1.51901803,0.00147841,0.02225925,0.54576552,0.25227744,0.00811987,0.97774894,0.46593639,0.15346520
-5.78389195,1.41132387,0.00133490,0.02100151,0.50809292,0.23405920,0.00750463,0.90820807,0.43481623,0.14249342
-5.77788894,1.30453955,0.00119833,0.01972885,0.47063690,0.21604082,0.00690048,0.83931613,0.40363113,0.13160287
-5.77188594,1.20013959,0.00106944,0.01845757,0.43393482,0.19848177,0.00631522,0.77203247,0.37279235,0.12094205
-5.76588294,1.09950699,0.00094883,0.01720474,0.39849207,0.18162377,0.00575620,0.70725579,0.34269046,0.11064998
-5.75987994,1.00390993,0.00083692,0.01598770,0.36477371,0.16568722,0.00523016,0.64580925,0.31368765,0.10085375
-5.75387694,0.91448403,0.00073401,0.01482365,0.33319802,0.15086848,0.00474309,0.58842924,0.28611162,0.09166658
-5.74787394,0.83222033,0.00064022,0.01372922,0.30413194,0.13733825,0.00430023,0.53575778,0.26025088,0.08318662
-5.74187094,0.75795822,0.00055554,0.01272014,0.27788830,0.12524077,0.00390598,0.48833817,0.23635164,0.07549616
-5.73586793,0.69238292,0.00047982,0.01181093,0.25472451,0.11469368,0.00356391,0.44661352,0.21461601,0.06866144
-5.72986493,0.63602654,0.00041280,0.01101465,0.23484258,0.10578855,0.00327676,0.41092746,0.19520141,0.06273279
-5.72386193,0.58927183,0.00035412,0.01034265,0.21838996,0.09859168,0.00304651,0.38152670,0.17822106,0.05774518
-5.71785893,0.55235773,0.00030335,0.00980442,0.20546118,0.09314522,0.00287434,0.35856452,0.16374525,0.05371884
-5.71185593,0.52538588,0.00026000,0.00940745,0.19609973,0.08946829,0.00276073,0.34210498,0.15180327,0.05066013
-5.70585293,0.50832733,0.00022353,0.00915708,0.19030013,0.08755811,0.00270548,0.33212711,0.14238569,0.04856239
-5.69984992,0.50102908,0.00019338,0.00905643,0.18801005,0.08739094,0.00270773,0.32852898,0.13544697,0.04740677
-5.69384692,0.50321992,0.00016899,0.00910628,0.18913225,0.08892287,0.00276601,0.33113136,0.13090814,0.04716307
-5.68784392,0.51451577,0.00014979,0.00930508,0.19352644,0.09209048,0.00287824,0.33968096,0.12865953,0.04779038
-5.68184092,0.53442441,0.00013522,0.00964881,0.20101109,0.09681132,0.00304172,0.35385342,0.12856355,0.04923782
-5.67583792,0.56235021,0.00012476,0.01013104,0.21136538,0.10298441,0.00325321,0.37325619,0.13045739,0.05144508
-5.66983492,0.59759918,0.00011789,0.01074288,0.22433130,0.11049079,0.00350887,0.39743181,0.13415590,0.05434308
-5.66383192,0.63938498,0.00011414,0.01147307,0.23961633,0.11919428,0.00380431,0.42586180,0.13945445,0.05785461
-5.65782891,0.68683668,0.00011307,0.01230801,0.25689673,0.12894262,0.00413462,0.45797182,0.14613205,0.06189515
-5.65182591,0.73900864,0.00011426,0.01323196,0.27582170,0.13956907,0.00449442,0.49313825,0.15395475,0.06637377
-5.64582291,0.79489321,0.00011732,0.01422721,0.29601859,0.15089461,0.00487790,0.53069670,0.16267933,0.07119433
-5.63981991,0.85343653,0.00012192,0.01527436,0.31709915,0.16273074,0.00527897,0.56995259,0.17205737,0.07625688
-5.63381691,0.91355744,0.00012772,0.01635266,0.33866692,0.17488312,0.00569132,0.61019384,0.18183973,0.08145936
-5.62781391,0.97416955,0.00013444,0.01744045,0.36032560,0.18715564,0.00610860,0.65070561,0.19178131,0.08669950
-5.62181091,1.03420583,0.00014182,0.01851557,0.38168826,0.19935530,0.00652460,0.69078669,0.20164609,0.09187700
-5.61580790,1.09264517,0.00014964,0.01955600,0.40238702,0.21129740,0.00693345,0.72976722,0.21121230,0.09689586
-5.60980490,1.14853993,0.00015770,0.02054030,0.42208298,0.22281095,0.00732978,0.76702688,0.22027748,0.10166675
-5.60380190,1.20104327,0.00016583,0.02144832,0.44047582,0.23374424,0.00770902,0.80201297,0.22866340,0.10610946
-5.59779890,1.24943503,0.00017389,0.02226171,0.45731267,0.24396997,0.00806756,0.83425740,0.23622037,0.11015515
-5.59179590,1.29314470,0.00018179,0.02296451,0.47239580,0.25339001,0.00840297,0.86339167,0.24283101,0.11374842
-5.58579290,1.33177033,0.00018944,0.02354365,0.48558860,0.26193921,0.00871416,0.88915906,0.24841296,0.11684898
-5.57978989,1.36509193,0.00019683,0.02398942,0.49681952,0.26958821,0.00900156,0.91142313,0.25292064,0.11943293
-5.57378689,1.39307856,0.00020393,0.02429573,0.50608361,0.27634493,0.00926718,0.93017194,0.25634573,0.12149346
-5.56778389,1.41588832,0.00021077,0.02446041,0.51344152,0.28225454,0.00951463,0.94551751,0.25871633,0.12304100
-5.56178089,1.43386084,0.00021742,0.02448523,0.51901579,0.28739798,0.00974915,0.95769037,0.26009483,0.12410270
-5.55577789,1.44750242,0.00022395,0.02437589,0.52298469,0.29188879,0.00997745,0.96702918,0.26057447,0.12472130
-5.54977489,1.45746406,0.00023047,0.02414179,0.52557363,0.29586850,0.01020754,0.97396578,0.26027484,0.12495347
-5.54377189,1.46451353,0.00023712,0.02379573,0.52704469,0.29950067,0.01044853,0.97900626,0.25933632,0.12486752
-5.53776888,1.46950240,0.00024404,0.02335345,0.52768469,0.30296380,0.01071028,0.98270895,0.25791385,0.12454083
-5.53176588,1.47332969,0.00025143,0.02283305,0.52779228,0.30644346,0.01100303,0.98566021,0.25617037,0.12405690
-5.52576288,1.47690380,0.00025946,0.02225441,0.52766496,0.31012395,0.01133703,0.98844935,0.25427000,0.12350221
-5.51975988,1.48110464,0.00026834,0.02163845,0.52758638,0.31417994,0.01172202,0.99164378,0.25237158,0.12296319
-5.51375688,1.48674764,0.00027831,0.02100645,0.52781475,0.31876849,0.01216684,0.99576569,0.25062267,0.12252319
-5.50775388,1.49455156,0.00028963,0.02037931,0.52857298,0.32402173,0.01267895,1.00127132,0.24915438,0.12225976
-5.50175088,1.50511146,0.00030257,0.01977692,0.53004082,0.33004082,0.01326400,1.00853395,0.24807728,0.12224240
-5.49574787,1.51887815,0.00031745,0.01921753,0.53234952,0.33689114,0.01392545,1.01783122,0.24747844,0.12253056
-5.48974487,1.53614492,0.00033464,0.01871723,0.53557925,0.34459933,0.01466426,1.02933736,0.24741987,0.12317241
-5.48374187,1.55704202,0.00035454,0.01828952,0.53975908,0.35315200,0.01547864,1.04312068,0.24793824,0.12420396
-5.47773887,1.58153885,0.00037766,0.01794502,0.54486972,0.36249637,0.01636396,1.05914603,0.24904587,0.12564883
