energy_ev,total_up,As_p_up,As_d_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-6.00000000,3.50650307,0.48346907,0.00000000,1.58662108,1.97201646,0.95512596,0.00000000
-5.99399700,3.61466414,0.49798299,0.00000000,1.65987204,2.02890587,0.98752444,0.00000000
-5.98799400,3.71320371,0.51268684,0.00000000,1.73009495,2.08016779,1.01564768,0.00000000
-5.98199100,3.80055945,0.52738972,0.00000000,1.79624616,2.12502060,1.03898755,0.00000000
-5.97598799,3.87539513,0.54189212,0.00000000,1.85734474,2.16282286,1.05714020,0.00000000
-5.96998499,3.93664343,0.55599286,0.00000000,1.91249999,2.19309613,1.06981699,0.00000000
-5.96398199,3.98354416,0.56949682,0.00000000,1.96093863,2.21554464,1.07685258,0.00000000
-5.95797899,4.01567662,0.58222329,0.00000000,2.00203094,2.23007126,1.07820991,0.00000000
-5.95197599,4.03298484,0.59401453,0.00000000,2.03531477,2.23678895,1.07398187,0.00000000
-5.94597299,4.03579444,0.60474425,0.00000000,2.06051658,2.23602708,1.06438958,0.00000000
-5.93996998,4.02482016,0.61432558,0.00000000,2.07756849,2.22833232,1.04977731,0.00000000
-5.93396698,4.00116326,0.62271804,0.00000000,2.08662035,2.21446358,1.03060426,0.00000000
-5.92796398,3.96629812,0.62993305,0.00000000,2.08804615,2.19538090,1.00743333,0.00000000
-5.92196098,3.92204782,0.63603774,0.00000000,2.08244383,2.17222823,0.98091733,0.00000000
-5.91595798,3.87054877,0.64115648,0.00000000,2.07062811,2.14631027,0.95178293,0.00000000
-5.90995498,3.81420453,0.64546990,0.00000000,2.05361595,2.11906367,0.92081290,0.00000000
-5.90395198,3.75562987,0.64921142,0.00000000,2.03260456,2.09202309,0.88882703,0.00000000
-5.89794897,3.69758580,0.65266090,0.00000000,2.00894223,2.06678283,0.85666226,0.00000000
-5.89194597,3.64290716,0.65613583,0.00000000,1.98409244,2.04495489,0.82515254,0.00000000
-5.88594297,3.59442454,0.65998000,0.00000000,1.95959205,2.02812441,0.79510880,0.00000000
-5.87993997,3.55488250,0.66455023,0.00000000,1.93700478,2.01780377,0.76729963,0.00000000
-5.87393697,3.52685642,0.67020154,0.00000000,1.91787126,2.01538649,0.74243293,0.00000000
-5.86793397,3.51267058,0.67727133,0.00000000,1.90365733,2.02210240,0.72113901,0.00000000
-5.86193097,3.51432002,0.68606335,0.00000000,1.89570228,2.03897551,0.70395546,0.00000000
-5.85592796,3.53339897,0.69683216,0.00000000,1.89516905,2.06678596,0.69131410,0.00000000
-5.84992496,3.57103853,0.70976878,0.00000000,1.90299824,2.10603756,0.68353035,0.00000000
-5.84392196,3.62785607,0.72498825,0.00000000,1.91986780,2.15693227,0.68079517,0.00000000
-5.83791896,3.70391883,0.74251995,0.00000000,1.94616032,2.21935279,0.68316991,0.00000000
