energy_ev,total_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.80270856,0.26462811,0.00865048,0.35332791,0.01193390,0.70658645,0.66814276,0.18711632
-5.99399700,1.88117451,0.27294332,0.00879537,0.37749851,0.01213564,0.72707009,0.72059451,0.19635273
-5.98799400,1.96682371,0.28297358,0.00893828,0.40203680,0.01244994,0.75170802,0.77752355,0.20574943
-5.98199100,2.05880373,0.29471155,0.00907418,0.42667839,0.01287516,0.78029593,0.83877074,0.21515550
-5.97598799,2.15611957,0.30811251,0.00919776,0.45115466,0.01340741,0.81254447,0.90411191,0.22441572
-5.96998499,2.25765860,0.32309405,0.00930364,0.47519894,0.01404068,0.84808739,0.97325815,0.23337495
-5.96398199,2.36221828,0.33953654,0.00938660,0.49855262,0.01476703,0.88649136,1.04585730,0.24188245
-5.95797899,2.46853566,0.35728429,0.00944176,0.52097117,0.01557683,0.92726714,1.12149657,0.24979623
-5.95197599,2.57531754,0.37614750,0.00946477,0.54222971,0.01645904,0.96988162,1.19970646,0.25698704
-5.94597299,2.68127047,0.39590498,0.00945199,0.56212792,0.01740151,1.01377054,1.27996597,0.26334193
-5.93996998,2.78512953,0.41630769,0.00940063,0.58049414,0.01839133,1.05835141,1.36170905,0.26876729
-5.93396698,2.88568528,0.43708298,0.00930882,0.59718850,0.01941510,1.10303641,1.44433223,0.27319113
-5.92796398,2.98180809,0.45793969,0.00917572,0.61210496,0.02045935,1.14724506,1.52720339,0.27656468
-5.92196098,3.07246922,0.47857381,0.00900154,0.62517223,0.02151081,1.19041613,1.60967133,0.27886310
-5.91595798,3.15675837,0.49867486,0.00878748,0.63635349,0.02255670,1.23201881,1.69107609,0.28008545
-5.90995498,3.23389716,0.51793266,0.00853571,0.64564501,0.02358506,1.27156268,1.77075945,0.28025382
-5.90395198,3.30324840,0.53604442,0.00824929,0.65307372,0.02458494,1.30860643,1.84807547,0.27941178
-5.89794897,3.36432099,0.55272189,0.00793198,0.65869382,0.02554657,1.34276493,1.92240048,0.27762214
-5.89194597,3.41677050,0.56769841,0.00758818,0.66258257,0.02646158,1.37371460,1.99314229,0.27496419
-5.88594297,3.46039552,0.58073551,0.00722274,0.66483555,0.02732300,1.40119698,2.05974810,0.27153054
-5.87993997,3.49513002,0.59162888,0.00684077,0.66556143,0.02812540,1.42502029,2.12171088,0.26742364
-5.87393697,3.52103216,0.60021345,0.00644752,0.66487661,0.02886479,1.44505910,2.17857400,0.26275224
