energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,0.83699491,-0.83698366,0.00445705,-0.00445703,0.18883971,-0.18883507,0.69162885,-0.69162081,0.30191333,-0.30190593,0.19601593,-0.19601558,0.00000000,-0.00000000,0.25011303,-0.25011306,0.03933569,-0.03933557
-5.99399700,0.89215997,-0.89214771,0.00442784,-0.00442782,0.21265871,-0.21265372,0.73836302,-0.73835432,0.33697966,-0.33697166,0.19672967,-0.19672920,0.00000000,-0.00000000,0.24852612,-0.24852602,0.03978184,-0.03978171
-5.98799400,0.95233626,-0.95232310,0.00439723,-0.00439721,0.23818402,-0.23817872,0.78889760,-0.78888832,0.37474184,-0.37473329,0.19817373,-0.19817315,0.00000000,-0.00000000,0.24786866,-0.24786844,0.04027848,-0.04027834
-5.98199100,1.01689347,-1.01687953,0.00436514,-0.00436512,0.26519049,-0.26518492,0.84269843,-0.84268865,0.41487680,-0.41486777,0.20027915,-0.20027848,0.00000000,-0.00000000,0.24804506,-0.24804473,0.04081763,-0.04081749
-5.97598799,1.08507230,-1.08505775,0.00433159,-0.00433157,0.29340211,-0.29339634,0.89912645,-0.89911630,0.45698162,-0.45697221,0.20296952,-0.20296877,0.00000000,-0.00000000,0.24895250,-0.24895208,0.04139048,-0.04139032
-5.96998499,1.15598602,-1.15597103,0.00429665,-0.00429663,0.32249314,-0.32248723,0.95744002,-0.95742964,0.50057507,-0.50056539,0.20616051,-0.20615969,0.00000000,-0.00000000,0.25048124,-0.25048075,0.04198695,-0.04198679
-5.96398199,1.22862816,-1.22861294,0.00426039,-0.00426037,0.35209131,-0.35208533,1.01680219,-1.01679173,0.54510252,-0.54509269,0.20976005,-0.20975918,0.00000000,-0.00000000,0.25251545,-0.25251490,0.04259559,-0.04259543
-5.95797899,1.30188676,-1.30187154,0.00422286,-0.00422284,0.38178329,-0.38177735,1.07629340,-1.07628301,0.58994414,-0.58993430,0.21366932,-0.21366841,0.00000000,-0.00000000,0.25493486,-0.25493428,0.04320350,-0.04320334
-5.95197599,1.37456527,-1.37455030,0.00418404,-0.00418402,0.41112236,-0.41111654,1.13492944,-1.13491930,0.63442656,-0.63441685,0.21778453,-0.21778361,0.00000000,-0.00000000,0.25761724,-0.25761664,0.04379651,-0.04379636
-5.94597299,1.44540985,-1.44539538,0.00414385,-0.00414383,0.43963808,-0.43963247,1.19168461,-1.19167491,0.67783771,-0.67782830,0.22199967,-0.22199876,0.00000000,-0.00000000,0.26044170,-0.26044110,0.04435955,-0.04435940
-5.93996998,1.51314224,-1.51312852,0.00410221,-0.00410219,0.46684782,-0.46684253,1.24551913,-1.24551004,0.71944447,-0.71943551,0.22620997,-0.22620910,0.00000000,-0.00000000,0.26329275,-0.26329217,0.04487716,-0.04487702
-5.93396698,1.57649710,-1.57648439,0.00405901,-0.00405899,0.49226968,-0.49226481,1.29540999,-1.29540168,0.75851257,-0.75850422,0.23031613,-0.23031529,0.00000000,-0.00000000,0.26606498,-0.26606444,0.04533422,-0.04533409
-5.92796398,1.63426242,-1.63425095,0.00401421,-0.00401420,0.51543635,-0.51543199,1.34038386,-1.34037650,0.79432802,-0.79432043,0.23422889,-0.23422811,0.00000000,-0.00000000,0.26866809,-0.26866759,0.04571674,-0.04571662
-5.92196098,1.68532100,-1.68531099,0.00396788,-0.00396787,0.53590935,-0.53590559,1.37955070,-1.37954443,0.82621922,-0.82621254,0.23787402,-0.23787332,0.00000000,-0.00000000,0.27103200,-0.27103155,0.04601273,-0.04601263
-5.91595798,1.72869124,-1.72868288,0.00392025,-0.00392024,0.55329301,-0.55328992,1.41213628,-1.41213124,0.85357876,-0.85357312,0.24119707,-0.24119645,0.00000000,-0.00000000,0.27311175,-0.27311137,0.04621308,-0.04621299
-5.90995498,1.76356507,-1.76355853,0.00387179,-0.00387178,0.56724753,-0.56724518,1.43751210,-1.43750838,0.87588395,-0.87587946,0.24416780,-0.24416728,0.00000000,-0.00000000,0.27489181,-0.27489149,0.04631240,-0.04631232
-5.90395198,1.78934103,-1.78933642,0.00382325,-0.00382325,0.57750067,-0.57749912,1.45522100,-1.45521868,0.89271509,-0.89271183,0.24678395,-0.24678351,0.00000000,-0.00000000,0.27638942,-0.27638915,0.04630969,-0.04630963
-5.89794897,1.80565062,-1.80564801,0.00377573,-0.00377573,0.58385719,-0.58385645,1.46499705,-1.46499616,0.90377061,-0.90376864,0.24907387,-0.24907353,0.00000000,-0.00000000,0.27765672,-0.27765651,0.04620894,-0.04620890
-5.89194597,1.81237641,-1.81237583,0.00373067,-0.00373067,0.58620584,-0.58620595,1.46677852,-1.46677908,0.90887822,-0.90887757,0.25109804,-0.25109779,0.00000000,-0.00000000,0.27878138,-0.27878121,0.04601943,-0.04601940
-5.88594297,1.80966064,-1.80966206,0.00368988,-0.00368988,0.58452345,-0.58452440,1.46071309,-1.46071507,0.90800162,-0.90800230,0.25294894,-0.25294877,0.00000000,-0.00000000,0.27988545,-0.27988531,0.04575579,-0.04575578
