energy_ev,total_up,Cu_p_up,Cu_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
-6.00000000,0.94649850,0.27043598,0.42666931,0.22160823,0.00065037,0.22237447,0.00000000
-5.99399700,1.02058638,0.29334170,0.46004707,0.23600370,0.00069583,0.24175008,0.00000000
-5.98799400,1.10133133,0.31842745,0.49618057,0.25243131,0.00074757,0.26271237,0.00000000
-5.98199100,1.18753921,0.34538068,0.53453178,0.27057188,0.00080478,0.28502290,0.00000000
-5.97598799,1.27788524,0.37384750,0.57450519,0.29007038,0.00086656,0.30841475,0.00000000
-5.96998499,1.37093571,0.40343715,0.61545816,0.31054110,0.00093190,0.33259645,0.00000000
-5.96398199,1.46517401,0.43372788,0.65671318,0.33157401,0.00099970,0.35725705,0.00000000
-5.95797899,1.55903087,0.46427421,0.69757173,0.35274203,0.00106880,0.38207210,0.00000000
-5.95197599,1.65091807,0.49461547,0.73732981,0.37360936,0.00113800,0.40671065,0.00000000
-5.94597299,1.73926523,0.52428562,0.77529442,0.39374061,0.00120608,0.43084292,0.00000000
-5.93996998,1.82255833,0.55282404,0.81080081,0.41271057,0.00127182,0.45414860,0.00000000
-5.93396698,1.89937892,0.57978709,0.84322979,0.43011440,0.00133407,0.47632539,0.00000000
-5.92796398,1.96844278,0.60475994,0.87202459,0.44557782,0.00139175,0.49709763,0.00000000
-5.92196098,2.02863630,0.62736839,0.89670662,0.45876698,0.00144386,0.51622449,0.00000000
-5.91595798,2.07904934,0.64729015,0.91688956,0.46939767,0.00148959,0.53350756,0.00000000
-5.90995498,2.11900314,0.66426513,0.93229109,0.47724344,0.00152824,0.54879742,0.00000000
-5.90395198,2.14807194,0.67810422,0.94274186,0.48214223,0.00155934,0.56199883,0.00000000
-5.89794897,2.16609726,0.68869619,0.94819131,0.48400129,0.00158263,0.57307441,0.00000000
-5.89194597,2.17319429,0.69601235,0.94870995,0.48280009,0.00159805,0.58204638,0.00000000
-5.88594297,2.16974964,0.70010865,0.94448800,0.47859110,0.00160579,0.58899645,0.00000000
-5.87993997,2.15641075,0.70112511,0.93583049,0.47149824,0.00160630,0.59406365,0.00000000
-5.87393697,2.13406697,0.69928242,0.92314885,0.46171325,0.00160022,0.59744019,0.00000000
-5.86793397,2.10382315,0.69487594,0.90694938,0.44948988,0.00158843,0.59936553,0.00000000
-5.86193097,2.06696669,0.68826713,0.88781900,0.43513628,0.00157199,0.60011870,0.00000000
-5.85592796,2.02492931,0.67987278,0.86640877,0.41900579,0.00155216,0.60000946,0.00000000
-5.84992496,1.97924497,0.67015250,0.84341595,0.40148650,0.00153029,0.59936833,0.00000000
-5.84392196,1.93150554,0.65959475,0.81956497,0.38299000,0.00150785,0.59853612,0.00000000
-5.83791896,1.88331589,0.64870218,0.79558826,0.36393975,0.00148639,0.59785321,0.00000000
-5.83191596,1.83624978,0.63797658,0.77220737,0.34475941,0.00146742,0.59764910,0.00000000
-5.82591296,1.79180832,0.62790416,0.75011503,0.32586162,0.00145245,0.59823258,0.00000000
-5.81990995,1.75138194,0.61894152,0.72995866,0.30763755,0.00144290,0.59988273,0.00000000
-5.81390695,1.71621712,0.61150290,0.71232573,0.29044748,0.00144007,0.60284125,0.00000000
-5.80790395,1.68738854,0.60594895,0.69773133,0.27461274,0.00144509,0.60730608,0.00000000
